|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/T13/T13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1592.95        500.000       0.162453E-001            NaN   99.9703       0.134274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000       0.359518E-003            NaN   99.0541       0.926529       0.189642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000                 NaN            NaN   99.0296       0.965418       0.494452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000                 NaN            NaN   99.0399       0.908660       0.514079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000                 NaN            NaN   98.9347       0.955885       0.109433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000                 NaN            NaN   99.1722       0.818087       0.974743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000                 NaN            NaN   99.0709       0.871907       0.572369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000                 NaN            NaN   99.0786       0.868350       0.530553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000                 NaN            NaN   99.0644       0.881503       0.541432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000                 NaN            NaN   99.1080       0.839165       0.528772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000                 NaN            NaN   99.1131       0.835649       0.512269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000                 NaN            NaN   98.6560        1.26955       0.744851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000                 NaN            NaN   99.5766       0.398229       0.251251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000                 NaN            NaN   99.6294       0.350167       0.204543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000                 NaN            NaN   98.6434        1.28363       0.729587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000                 NaN            NaN   99.1471       0.787941       0.649640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000                 NaN            NaN   99.1520       0.820520       0.274518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000                 NaN            NaN   99.1624       0.792205       0.454207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000                 NaN            NaN   99.1678       0.791004       0.412418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000                 NaN            NaN   99.1765       0.781602       0.419214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000                 NaN            NaN   99.1839       0.776094       0.400046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000                 NaN            NaN   99.1878       0.774828       0.373665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000                 NaN            NaN   99.1970       0.765488       0.375474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000                 NaN            NaN   99.2053       0.757540       0.371909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000                 NaN            NaN   99.2091       0.755500       0.354145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN            NaN   99.2172       0.749772       0.329788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000                 NaN            NaN   97.6808        2.11801       0.201211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000                 NaN            NaN   99.9782                 NaN  0.217634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000                 NaN            NaN   99.3352       0.664837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000                 NaN            NaN   99.2489       0.744937       0.614642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN            NaN   99.2530       0.741957       0.500756E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN            NaN   99.2601       0.729870       0.100474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN            NaN   99.2653       0.724371       0.103490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000                 NaN            NaN   99.2724       0.704445       0.231449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000                 NaN            NaN   99.2755       0.702456       0.220549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000                 NaN            NaN   99.2841       0.694959       0.209113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000                 NaN            NaN   99.2880       0.690668       0.213672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000                 NaN            NaN   99.2953       0.684327       0.203584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN            NaN   99.2993       0.682426       0.183221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000                 NaN            NaN   99.3049       0.677253       0.178426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN            NaN   99.3080       0.676256       0.156997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000                 NaN            NaN   99.3142       0.671005       0.147731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000                 NaN            NaN   99.3191       0.667612       0.133085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000                 NaN            NaN   99.0446       0.950812       0.459595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN            NaN   99.5992       0.398066       0.278033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000                 NaN            NaN   99.3349       0.652963       0.121086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN            NaN   99.3369       0.652783       0.103580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000                 NaN            NaN   99.3430       0.648109       0.885186E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN            NaN   99.3474       0.643341       0.928976E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000                 NaN            NaN   99.3512       0.642900       0.591177E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000                 NaN            NaN   99.3537       0.640780       0.550230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000                 NaN            NaN   99.3618       0.632740       0.550659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN            NaN   99.3636       0.632191       0.421678E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000                 NaN            NaN   99.3674       0.629183       0.337172E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000                 NaN            NaN   99.3720       0.625860       0.211659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000                 NaN            NaN   99.3747       0.613214       0.121344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN            NaN   99.3835       0.609821       0.667853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000                 NaN            NaN   99.3833       0.598689       0.180539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN            NaN   99.3886       0.604802       0.664559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000                 NaN            NaN   99.2960       0.639945       0.640875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN            NaN   99.4970       0.503016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000                 NaN            NaN   99.3988       0.601237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000                 NaN            NaN   99.4019       0.598091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000                 NaN            NaN   99.4040       0.596038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000                 NaN            NaN   99.4075       0.592501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000                 NaN            NaN   99.4110       0.589033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000                 NaN            NaN   99.4150       0.584955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000                 NaN            NaN   99.4190       0.581002       0.837427E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN            NaN   99.4200       0.579982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000                 NaN            NaN   99.4243       0.575653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN            NaN   99.4285       0.571543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000                 NaN            NaN   99.4299       0.570077       0.304093E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN            NaN   99.4354       0.564637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        500.000                 NaN            NaN   99.4344       0.565578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN            NaN   99.4407       0.559336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        500.000                 NaN            NaN   99.2042       0.795765       0.150786E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN            NaN   99.6788       0.321221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        500.000                 NaN            NaN   99.4459       0.554041       0.186062E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        500.000                 NaN            NaN   99.4496       0.550400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        500.000                 NaN            NaN   99.4522       0.547832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        500.000                 NaN            NaN   99.4558       0.544221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        500.000                 NaN            NaN   99.4545       0.545545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        500.000                 NaN            NaN   99.4600       0.540022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN            NaN   99.4608       0.539197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        500.000                 NaN            NaN   99.4652       0.534775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        500.000                 NaN            NaN   99.4647       0.535296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000                 NaN            NaN   99.4677       0.532310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        500.000                 NaN            NaN   99.4690       0.531021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        500.000                 NaN            NaN   99.4873       0.512667       0.246306E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        500.000                 NaN            NaN   99.0340       0.406249                 NaN  0.559721                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        500.000                 NaN            NaN   98.8971       0.329198                 NaN  0.773660                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        500.000                 NaN            NaN   98.8944       0.219447                 NaN  0.137517       0.748672                 NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN            NaN   98.8776       0.392247E-002            NaN  0.704718       0.413801                 NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN            NaN   98.8749       0.979869E-001            NaN  0.709658       0.317419                 NaN            NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN            NaN   98.9106       0.155472E-003            NaN  0.694741       0.394521                 NaN            NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN            NaN   98.9081       0.146735E-001            NaN  0.688565       0.388663                 NaN            NaN            NaN            NaN            NaN
  1448.80        500.000                 NaN            NaN   98.9165       0.154389E-001            NaN  0.683246       0.384777                 NaN            NaN            NaN            NaN            NaN
  1447.31        500.000                 NaN            NaN   98.9252                 NaN            NaN  0.676536       0.398263                 NaN            NaN            NaN            NaN            NaN
  1445.83        500.000                 NaN            NaN   98.9344                 NaN            NaN  0.394437       0.671205                 NaN            NaN            NaN            NaN            NaN
  1444.34        500.000                 NaN            NaN   98.9422                 NaN            NaN  0.666836       0.390967                 NaN            NaN            NaN            NaN            NaN
  1442.85        500.000                 NaN            NaN   98.9520                 NaN            NaN  0.387021       0.660993                 NaN            NaN            NaN            NaN            NaN
  1441.37        500.000                 NaN            NaN   98.9613       0.243848                 NaN  0.110213       0.684681                 NaN            NaN            NaN            NaN            NaN
  1439.88        500.000                 NaN            NaN   98.9711                 NaN            NaN  0.649751       0.379131                 NaN            NaN            NaN            NaN            NaN
  1438.40        500.000                 NaN            NaN   98.9789                 NaN            NaN  0.646383       0.374707                 NaN            NaN            NaN            NaN            NaN
  1436.91        500.000                 NaN            NaN   98.9842                 NaN            NaN  0.374046       0.641716                 NaN            NaN            NaN            NaN            NaN
  1435.42        500.000                 NaN            NaN   98.9921                 NaN            NaN  0.637913       0.370022                 NaN            NaN            NaN            NaN            NaN
  1433.94        500.000                 NaN            NaN   98.9983                 NaN            NaN  0.634307       0.367376                 NaN            NaN            NaN            NaN            NaN
  1432.45        500.000                 NaN            NaN   99.0051                 NaN            NaN  0.364743       0.630177                 NaN            NaN            NaN            NaN            NaN
  1430.97        500.000                 NaN            NaN   99.0147                 NaN            NaN  0.624862       0.360463                 NaN            NaN            NaN            NaN            NaN
  1429.48        500.000                 NaN            NaN   99.0188                 NaN            NaN  0.358696       0.622462                 NaN            NaN            NaN            NaN            NaN
  1427.99        500.000                 NaN            NaN   99.0300                 NaN            NaN  0.354435       0.615585                 NaN            NaN            NaN            NaN            NaN
  1426.51        500.000                 NaN            NaN   99.0350                 NaN            NaN  0.612529       0.352457                 NaN            NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN            NaN   99.0417                 NaN            NaN  0.349158       0.609129                 NaN            NaN            NaN            NaN            NaN
  1423.54        500.000                 NaN            NaN   98.8491                 NaN            NaN  0.629570       0.437910       0.834483E-001            NaN            NaN            NaN            NaN
  1422.05        500.000                 NaN            NaN   97.3418                 NaN            NaN   1.13399       0.801183       0.723049                 NaN            NaN            NaN            NaN
  1420.56        500.000                 NaN            NaN   97.3945                 NaN            NaN  0.786136        1.11118       0.708162                 NaN            NaN            NaN            NaN
  1419.08        500.000                 NaN            NaN   97.4425                 NaN            NaN   1.09105       0.771715       0.694743                 NaN            NaN            NaN            NaN
  1417.59        500.000                 NaN            NaN   97.4914                 NaN            NaN  0.758317        1.06937       0.680916                 NaN            NaN            NaN            NaN
  1416.11        500.000                 NaN            NaN   97.5383                 NaN            NaN  0.744146        1.04971       0.667822                 NaN            NaN            NaN            NaN
  1414.62        500.000                 NaN            NaN   97.5793                 NaN            NaN  0.734096        1.03124       0.655331                 NaN            NaN            NaN            NaN
  1413.13        500.000                 NaN            NaN   97.6352                 NaN            NaN   1.00922       0.715169       0.640421                 NaN            NaN            NaN            NaN
  1411.65        500.000                 NaN            NaN   97.6712                 NaN            NaN  0.993399       0.705115       0.630278                 NaN            NaN            NaN            NaN
  1410.16        500.000                 NaN            NaN   97.7106                 NaN            NaN  0.693861       0.976321       0.619190                 NaN            NaN            NaN            NaN
