|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1576.92        500.000        99.4823       0.517701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        500.000        99.1328       0.835728       0.314886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        500.000        99.1386       0.813661       0.477034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        500.000        99.1496       0.803748       0.466610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        500.000        99.1564       0.799794       0.438336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        500.000        99.1603       0.797003       0.426926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        500.000        99.9985                 NaN  0.146761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        500.000        97.7526        2.13966       0.107758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        500.000        99.7887       0.200351       0.109171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.1994       0.762719       0.378671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        500.000        99.1948       0.768323       0.369226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        500.000        99.2073       0.755368       0.373610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        500.000        99.2125       0.751194       0.363440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        500.000        99.2202       0.745244       0.345144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000        98.2453        1.68469       0.699854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        500.000        99.7961       0.195982       0.790769E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        500.000        99.6566       0.329579       0.137816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        500.000        99.7650       0.225409       0.962452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        500.000        98.7312        1.21813       0.506334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        500.000        99.2554       0.717006       0.276330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        500.000        99.2622       0.709469       0.283000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        500.000        99.2665       0.708063       0.254706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000        99.2718       0.702866       0.253554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        98.9404        1.02228       0.373327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        500.000        99.6263       0.361490       0.122217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000        99.2895       0.688190       0.222851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        500.000        99.2944       0.684599       0.210049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        99.7250       0.275001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        500.000        98.8783        1.08338       0.383473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000        99.3089       0.674103       0.170150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        500.000        99.3173       0.665377       0.173257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000        99.3203       0.663016       0.167226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        500.000        99.2479       0.736582       0.154898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        500.000        99.4032       0.584205       0.126385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        500.000        99.3348       0.651822       0.134022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000        99.3385       0.649523       0.120057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.2462       0.740486       0.133104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        500.000        99.4439       0.548522       0.759634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.3493       0.641643       0.907192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        500.000        99.3564       0.635983       0.764416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000        99.3600       0.633153       0.686598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000        99.3638       0.630397       0.581545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000        99.3650       0.631837       0.320455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000        99.3715       0.624784       0.370840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        500.000        99.1792       0.811340       0.945061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        500.000        99.6432       0.339269       0.175580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        500.000        99.3114       0.688574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000        99.3880       0.603872       0.812404E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        500.000        99.3903       0.609717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        500.000        99.4000       0.546531       0.534914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        500.000        99.4007       0.599320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        500.000        99.3997       0.582851       0.174173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        500.000        99.4060       0.593951       0.126743E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        500.000        99.4078       0.592195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        500.000        99.4102       0.589808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        500.000        99.4135       0.586511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        500.000        99.4168       0.583243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        500.000        99.5924       0.407597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.5572       0.370650       0.721384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        500.000        99.1160       0.883950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.17        500.000        99.4066       0.593418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.5201       0.479859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.27        500.000        99.3628       0.637187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        500.000        99.4363       0.563657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.38        500.000        99.4364       0.563571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.94        500.000        99.4441       0.555933       0.727395E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.4428       0.557184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.04        500.000        99.4482       0.551811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.60        500.000        99.4485       0.551483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.15        500.000        99.4645       0.535537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.4394       0.560623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000        99.4567       0.543269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.81        500.000        99.4556       0.544385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.37        500.000        99.1088       0.470978                 NaN  0.420232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.92        500.000        98.8491       0.410541                 NaN  0.740387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.48        500.000        98.8598       0.405542                 NaN  0.734700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000        98.8690       0.401759                 NaN  0.729262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        500.000        98.8812       0.396207                 NaN  0.722581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.14        500.000        98.8866       0.392760                 NaN  0.720602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.69        500.000        98.9036       0.386458                 NaN  0.709930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        98.9101       0.382820                 NaN  0.707126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.80        500.000        98.9205       0.377848                 NaN  0.701665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.35        500.000        98.9291       0.374314                 NaN  0.696629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        500.000        98.9408       0.369481                 NaN  0.689743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.46        500.000        98.9471       0.366302                 NaN  0.686598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.02        500.000        99.2735       0.251334                 NaN  0.475125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.57        500.000        98.5610                 NaN            NaN  0.613793       0.825226                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        500.000        98.9210       0.651391E-001            NaN  0.377915       0.635985                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.68        500.000        98.9266                 NaN            NaN  0.628980       0.444440                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        500.000        99.0223                 NaN            NaN  0.403534       0.574153                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.79        500.000        98.8584                 NaN            NaN  0.471072       0.670505                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000        98.9538       0.133709E-002            NaN  0.429313       0.615557                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.90        500.000        98.9618                 NaN            NaN  0.611973       0.426225                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.45        500.000        98.9728       0.349903E-001            NaN  0.384452       0.607791                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.00        500.000        98.9775                 NaN            NaN  0.603469       0.419037                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        500.000        98.9883                 NaN            NaN  0.598114       0.413560                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.11        500.000        98.9957                 NaN            NaN  0.594772       0.409519                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.67        500.000        97.3380                 NaN            NaN  0.840572        1.14922       0.672179                 NaN            NaN            NaN            NaN            NaN
  1435.22        500.000        97.0754                 NaN            NaN   1.26731       0.869065       0.788264                 NaN            NaN            NaN            NaN            NaN
  1433.77        500.000        97.1346                 NaN            NaN   1.24037       0.852894       0.772168                 NaN            NaN            NaN            NaN            NaN
  1432.33        500.000        97.2013                 NaN            NaN  0.833119        1.21161       0.753996                 NaN            NaN            NaN            NaN            NaN
  1430.88        500.000        97.2602                 NaN            NaN   1.18532       0.816511       0.737946                 NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        97.3195                 NaN            NaN   1.15951       0.799224       0.721792                 NaN            NaN            NaN            NaN            NaN
  1427.99        500.000        97.3721                 NaN            NaN   1.13643       0.784042       0.707434                 NaN            NaN            NaN            NaN            NaN
  1426.54        500.000        97.4326                 NaN            NaN  0.766276        1.11014       0.691015                 NaN            NaN            NaN            NaN            NaN
  1425.10        500.000        97.4848                 NaN            NaN   1.08728       0.751396       0.676548                 NaN            NaN            NaN            NaN            NaN
  1423.65        500.000        97.5330                 NaN            NaN  0.736978        1.06670       0.663356                 NaN            NaN            NaN            NaN            NaN
  1422.21        500.000        97.5812                 NaN            NaN   1.04516       0.723548       0.650101                 NaN            NaN            NaN            NaN            NaN
  1420.76        500.000        97.6302                 NaN            NaN  0.709329        1.02385       0.636619                 NaN            NaN            NaN            NaN            NaN
  1419.32        500.000        97.6666                 NaN            NaN   1.00787       0.698946       0.626593                 NaN            NaN            NaN            NaN            NaN
  1417.87        500.000        97.7239                 NaN            NaN  0.681559       0.983671       0.610830                 NaN            NaN            NaN            NaN            NaN
  1416.42        500.000        97.7565                 NaN  0.687989E-005  0.969718       0.672146       0.601634                 NaN            NaN            NaN            NaN            NaN
  1414.98        500.000        97.8065                 NaN            NaN  0.657779       0.947621       0.588140                 NaN            NaN            NaN            NaN            NaN
  1413.53        500.000        97.8403                 NaN  0.139326E-001  0.650447       0.914852       0.580426                 NaN            NaN            NaN            NaN            NaN
  1412.09        500.000        97.8762                 NaN  0.159546       0.666526       0.706667       0.591084                 NaN            NaN            NaN            NaN            NaN
  1410.64        500.000        97.9114                 NaN  0.161907       0.688118       0.656828       0.581710                 NaN            NaN            NaN            NaN            NaN
  1409.19        500.000        97.9474                 NaN  0.163779       0.647019       0.669851       0.571968                 NaN            NaN            NaN            NaN            NaN
