|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1525.64        500.000       100.0000       0.905976E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.32        500.000        99.7303       0.144695       0.125018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.01        500.000        99.5165       0.581813E-002  0.477658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000        99.2805       0.883318E-002  0.710709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.37        500.000        99.7623       0.122309E-002  0.236437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        500.000        99.5252       0.493946E-002  0.469853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.74        500.000        99.5275       0.387224E-002  0.468596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        500.000        99.5315       0.312665E-002  0.465422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.10        500.000        99.5269       0.233863E-002  0.470766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.5441       0.361080E-002  0.452267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.47        500.000        99.4472                 NaN  0.552758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        500.000        99.6334       0.169058E-002  0.364922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000        99.5471       0.246181E-002  0.450418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.51        500.000        99.5473       0.160103E-005  0.452667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.20        500.000        99.5491       0.222256E-002  0.448669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        500.000        99.5554                 NaN  0.444552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.56        500.000        99.5617       0.251999E-001  0.413054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.24        500.000        99.5594       0.459833E-002  0.436050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.93        500.000        99.5623                 NaN  0.437737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000        99.5647                 NaN  0.435283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.29        500.000        99.5146                 NaN  0.485389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000        99.6377                 NaN  0.362302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.66        500.000        99.5570                 NaN  0.442978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.5749                 NaN  0.425050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.02        500.000        99.5766       0.394947E-005  0.423400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.4839                 NaN  0.688077E-001  0.447272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.39        500.000        99.4675                 NaN  0.897239E-003  0.531617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.4715                 NaN  0.781390E-001  0.450318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.75        500.000        99.4687                 NaN            NaN  0.531278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000        99.4466                 NaN            NaN  0.553368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.12        500.000        99.4864                 NaN  0.913162E-001  0.422275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000        99.4934                 NaN  0.256766       0.249785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.48        500.000        99.3929                 NaN            NaN  0.607052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000        99.7699                 NaN            NaN  0.230063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.85        500.000        99.2427                 NaN            NaN  0.757329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000        99.4750                 NaN  0.385032E-001  0.486500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.21        500.000        99.4427                 NaN  0.178858E-001  0.539429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000        99.5604                 NaN            NaN  0.439636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.58        500.000        99.4005                 NaN            NaN  0.599507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000        99.4658                 NaN            NaN  0.534247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
