|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/LAR/LAR_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q              pxmn          
  1397.44        500.000        99.8970       0.102969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.44        500.000        98.9708       0.216502       0.524765       0.287979                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.45        500.000        98.8653       0.334175       0.489674       0.310857                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.45        500.000        98.8813       0.383152       0.349795       0.316149       0.695755E-001            NaN            NaN            NaN            NaN            NaN
  1393.46        500.000        98.8954       0.326095       0.355860       0.317339       0.105336                 NaN            NaN            NaN            NaN            NaN
  1392.46        500.000        98.9056       0.352840       0.321900       0.314494       0.105195                 NaN            NaN            NaN            NaN            NaN
  1391.46        500.000        98.9188       0.312677       0.350076       0.310827       0.107629                 NaN            NaN            NaN            NaN            NaN
  1390.47        500.000        98.9258       0.348492       0.308638       0.309052       0.107978                 NaN            NaN            NaN            NaN            NaN
  1389.47        500.000        98.9097       0.355185       0.305351       0.314051       0.115717                 NaN            NaN            NaN            NaN            NaN
  1388.48        500.000        98.9879       0.327506       0.294856       0.290563       0.991636E-001            NaN            NaN            NaN            NaN            NaN
  1387.48        500.000        98.9629       0.291139       0.338281       0.298655       0.109019                 NaN            NaN            NaN            NaN            NaN
  1386.48        500.000        98.9733       0.335372       0.286141       0.295738       0.109417                 NaN            NaN            NaN            NaN            NaN
  1385.49        500.000        98.9530       0.289869       0.341099       0.302319       0.113747                 NaN            NaN            NaN            NaN            NaN
  1384.49        500.000        99.0275       0.319336       0.266329       0.280146       0.106715                 NaN            NaN            NaN            NaN            NaN
  1383.49        500.000        99.0044       0.327161       0.270258       0.287189       0.110997                 NaN            NaN            NaN            NaN            NaN
  1382.50        500.000        99.0143       0.324490       0.265328       0.284379       0.111550                 NaN            NaN            NaN            NaN            NaN
  1381.50        500.000        99.0240       0.260112       0.322037       0.281707       0.112158                 NaN            NaN            NaN            NaN            NaN
  1380.51        500.000        99.8065       0.682618E-001  0.480694E-001  0.554104E-001  0.217558E-001            NaN            NaN            NaN            NaN            NaN
  1379.51        500.000        98.2673       0.457310       0.572504       0.500096       0.202835                 NaN            NaN            NaN            NaN            NaN
  1378.51        500.000        99.0521       0.245474       0.314389       0.273991       0.114072                 NaN            NaN            NaN            NaN            NaN
  1377.52        500.000        99.0624       0.311599       0.241202       0.270884       0.113895                 NaN            NaN            NaN            NaN            NaN
  1376.52        500.000        99.0704       0.309876       0.235728       0.268930       0.115041                 NaN            NaN            NaN            NaN            NaN
  1375.53        500.000        99.0800       0.306984       0.232257       0.266048       0.114756                 NaN            NaN            NaN            NaN            NaN
  1374.53        500.000        99.0873       0.227420       0.305438       0.264176       0.115677                 NaN            NaN            NaN            NaN            NaN
  1373.53        500.000        99.0969       0.222941       0.302640       0.261409       0.116137                 NaN            NaN            NaN            NaN            NaN
  1372.54        500.000        99.1056       0.218758       0.300589       0.258869       0.116141                 NaN            NaN            NaN            NaN            NaN
  1371.54        500.000        99.1099       0.214209       0.299600       0.258221       0.118075                 NaN            NaN            NaN            NaN            NaN
  1370.55        500.000        99.1249       0.295616       0.209625       0.253142       0.116723                 NaN            NaN            NaN            NaN            NaN
  1369.55        500.000        99.1052       0.302428       0.212182       0.259227       0.120998                 NaN            NaN            NaN            NaN            NaN
  1368.55        500.000        99.3539       0.149006       0.220042       0.187573       0.894365E-001            NaN            NaN            NaN            NaN            NaN
  1367.56        500.000        98.9534       0.355033       0.245414       0.302908       0.143258                 NaN            NaN            NaN            NaN            NaN
  1366.56        500.000        99.1449       0.195706       0.293552       0.247505       0.118302                 NaN            NaN            NaN            NaN            NaN
  1365.57        500.000        99.1717       0.188069       0.279328       0.240721       0.120155                 NaN            NaN            NaN            NaN            NaN
  1364.57        500.000        99.1685       0.186918       0.284166       0.241166       0.119251                 NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        99.1752       0.282779       0.182711       0.239307       0.120031                 NaN            NaN            NaN            NaN            NaN
  1362.58        500.000        99.1831       0.178912       0.280734       0.237198       0.120106                 NaN            NaN            NaN            NaN            NaN
  1361.58        500.000        99.1899       0.278843       0.175795       0.235094       0.120340                 NaN            NaN            NaN            NaN            NaN
  1360.58        500.000        99.2408       0.328916                 NaN  0.231751       0.198556                 NaN            NaN            NaN            NaN            NaN
  1359.59        500.000        99.1590       0.223661       0.342006       0.232717       0.425845E-001            NaN            NaN            NaN            NaN            NaN
