|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/LAR/LAR_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q              pxmn          
  1397.44        500.000        99.9151       0.849107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.44        500.000        99.0920       0.181296       0.432856       0.293873                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.45        500.000        98.9996       0.279672       0.403593       0.317149                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.45        500.000        99.0160       0.315544       0.292527       0.322415       0.534904E-001            NaN            NaN            NaN            NaN            NaN
  1393.46        500.000        99.0299       0.268340       0.297402       0.323479       0.808635E-001            NaN            NaN            NaN            NaN            NaN
  1392.46        500.000        99.0397       0.294619       0.264617       0.320429       0.806469E-001            NaN            NaN            NaN            NaN            NaN
  1391.46        500.000        99.0522       0.256819       0.292086       0.316542       0.823812E-001            NaN            NaN            NaN            NaN            NaN
  1390.47        500.000        99.0590       0.290562       0.253264       0.314585       0.825459E-001            NaN            NaN            NaN            NaN            NaN
  1389.47        500.000        99.0459       0.295923       0.250329       0.319524       0.883229E-001            NaN            NaN            NaN            NaN            NaN
  1388.48        500.000        99.1148       0.272618       0.241509       0.295464       0.755784E-001            NaN            NaN            NaN            NaN            NaN
  1387.48        500.000        99.0938       0.238274       0.281377       0.303558       0.829772E-001            NaN            NaN            NaN            NaN            NaN
  1386.48        500.000        99.1037       0.278743       0.233956       0.300446       0.831533E-001            NaN            NaN            NaN            NaN            NaN
  1385.49        500.000        99.0866       0.236814       0.283332       0.306986       0.863165E-001            NaN            NaN            NaN            NaN            NaN
  1384.49        500.000        99.1525       0.264997       0.217354       0.284310       0.808614E-001            NaN            NaN            NaN            NaN            NaN
  1383.49        500.000        99.1330       0.271275       0.220369       0.291324       0.839908E-001            NaN            NaN            NaN            NaN            NaN
  1382.50        500.000        99.1424       0.268836       0.216147       0.288328       0.842819E-001            NaN            NaN            NaN            NaN            NaN
  1381.50        500.000        99.1516       0.211705       0.266585       0.285472       0.846225E-001            NaN            NaN            NaN            NaN            NaN
  1380.51        500.000        99.8323       0.562360E-001  0.390222E-001  0.560891E-001  0.163201E-001            NaN            NaN            NaN            NaN            NaN
  1379.51        500.000        98.4949       0.371883       0.473684       0.506780       0.152750                 NaN            NaN            NaN            NaN            NaN
  1378.51        500.000        99.1782       0.199252       0.259639       0.277221       0.857080E-001            NaN            NaN            NaN            NaN            NaN
  1377.52        500.000        99.1879       0.257128       0.195569       0.273934       0.854201E-001            NaN            NaN            NaN            NaN            NaN
  1376.52        500.000        99.1955       0.255513       0.190992       0.271815       0.861581E-001            NaN            NaN            NaN            NaN            NaN
  1375.53        500.000        99.2045       0.252905       0.187988       0.268760       0.858199E-001            NaN            NaN            NaN            NaN            NaN
  1374.53        500.000        99.2116       0.183908       0.251430       0.266727       0.863810E-001            NaN            NaN            NaN            NaN            NaN
  1373.53        500.000        99.2206       0.180105       0.248930       0.263792       0.865921E-001            NaN            NaN            NaN            NaN            NaN
  1372.54        500.000        99.2288       0.176570       0.247016       0.261087       0.864854E-001            NaN            NaN            NaN            NaN            NaN
  1371.54        500.000        99.2331       0.172734       0.246006       0.260294       0.878178E-001            NaN            NaN            NaN            NaN            NaN
  1370.55        500.000        99.2469       0.242536       0.168884       0.255034       0.866766E-001            NaN            NaN            NaN            NaN            NaN
  1369.55        500.000        99.2306       0.247927       0.170784       0.261026       0.897058E-001            NaN            NaN            NaN            NaN            NaN
  1368.55        500.000        99.4451       0.119806       0.180179       0.188734       0.661861E-001            NaN            NaN            NaN            NaN            NaN
  1367.56        500.000        99.1015       0.290631       0.197212       0.304753       0.105938                 NaN            NaN            NaN            NaN            NaN
  1366.56        500.000        99.2666       0.157096       0.240122       0.248808       0.874067E-001            NaN            NaN            NaN            NaN            NaN
  1365.57        500.000        99.2906       0.150809       0.228228       0.241848       0.885626E-001            NaN            NaN            NaN            NaN            NaN
  1364.57        500.000        99.2884       0.149737       0.231968       0.242163       0.877787E-001            NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        99.2948       0.230639       0.146225       0.240161       0.882146E-001            NaN            NaN            NaN            NaN            NaN
  1362.58        500.000        99.3021       0.143065       0.228793       0.237910       0.881543E-001            NaN            NaN            NaN            NaN            NaN
  1361.58        500.000        99.3087       0.227057       0.140436       0.235665       0.881834E-001            NaN            NaN            NaN            NaN            NaN
  1360.58        500.000        99.3550       0.267571                 NaN  0.232163       0.145301                 NaN            NaN            NaN            NaN            NaN
  1359.59        500.000        99.2814       0.181799       0.272674       0.233027       0.311128E-001            NaN            NaN            NaN            NaN            NaN
  1358.59        500.000        99.3285       0.222000       0.131964       0.229198       0.883065E-001            NaN            NaN            NaN            NaN            NaN
  1357.60        500.000        99.3345       0.220735       0.128976       0.227306       0.884742E-001            NaN            NaN            NaN            NaN            NaN
  1356.60        500.000        99.3400       0.125638       0.219576       0.225756       0.890228E-001            NaN            NaN            NaN            NaN            NaN
  1355.60        500.000        99.3479       0.216951       0.124344       0.222779       0.880028E-001            NaN            NaN            NaN            NaN            NaN
  1354.61        500.000        99.3506       0.119788       0.217291       0.222501       0.898459E-001            NaN            NaN            NaN            NaN            NaN
  1353.61        500.000        99.3618       0.212935       0.119896       0.217995       0.874019E-001            NaN            NaN            NaN            NaN            NaN
  1352.62        500.000        99.3644       0.212966       0.116911       0.217508       0.881876E-001            NaN            NaN            NaN            NaN            NaN
  1351.62        500.000        99.3712       0.211399       0.113390       0.215466       0.885712E-001            NaN            NaN            NaN            NaN            NaN
