|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.75/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              hed           
  1586.54        500.000       0.404013E-002   99.7011       0.294823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        500.000                 NaN   99.2370       0.763040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        500.000                 NaN   99.2412       0.758786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        500.000                 NaN   99.2491       0.750875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        500.000                 NaN   99.2560       0.744003       0.171970E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        500.000                 NaN   99.2641       0.719718       0.162177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        500.000                 NaN   99.2726       0.694319       0.330530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        500.000                 NaN   99.2802       0.687215       0.325916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        500.000                 NaN   99.2866       0.682062       0.313686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        500.000                 NaN   99.2915       0.679068       0.294621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        500.000                 NaN   99.2994       0.671322       0.293143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        500.000                 NaN   99.3077       0.663039       0.292848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        500.000                 NaN   99.3128       0.659074       0.280841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        500.000                 NaN   99.3171       0.656111       0.267651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        500.000                 NaN   99.3267       0.645873       0.274646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        500.000                 NaN   99.3294       0.646214       0.243408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        500.000                 NaN   99.3233       0.649813       0.268557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        500.000                 NaN   99.3621       0.612574       0.253321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        500.000                 NaN   99.3487       0.628485       0.227879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        500.000                 NaN   99.3539       0.623861       0.222058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        500.000                 NaN   99.3609       0.618016       0.210710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        500.000                 NaN   99.3650       0.613938       0.210264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.3720       0.607569       0.204130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        500.000                 NaN   98.9945       0.967552       0.379374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        500.000                 NaN   99.7159       0.275862       0.821907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000                 NaN   99.4433       0.539879       0.168029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        500.000                 NaN   99.3930       0.589517       0.174423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        500.000                 NaN   99.3983       0.585653       0.160952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        500.000                 NaN   99.4028       0.580541       0.166679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.4069       0.578826       0.143155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN   99.4108       0.574882       0.142781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        500.000                 NaN   99.4168       0.570231       0.129624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        500.000                 NaN   99.4206       0.563137       0.162211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        500.000                 NaN   99.4218       0.572425       0.574806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        500.000                 NaN   99.4278       0.558871       0.132800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        500.000                 NaN   99.4369       0.554961       0.813917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000                 NaN   99.4374       0.553421       0.916072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000                 NaN   99.4387       0.551289       0.100167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        500.000                 NaN   99.4502       0.542945       0.688999E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        500.000                 NaN   99.4497       0.543954       0.634881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        500.000                 NaN   99.3664       0.624626       0.893545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   99.5462       0.443361       0.104840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        500.000                 NaN   99.4595       0.539544       0.100603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        500.000                 NaN   99.4639       0.536053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        500.000                 NaN   99.4743       0.495944       0.297297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.4726       0.527388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.4760       0.523976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.4836       0.469246       0.471332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        500.000                 NaN   99.4872       0.512846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN   99.4870       0.513007       0.215379E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        500.000                 NaN   99.4912       0.503527       0.522606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000                 NaN   99.4952       0.504837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        500.000                 NaN   99.4969       0.503104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.5005       0.499508       0.107833E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        500.000                 NaN   99.5025       0.497457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN   99.5048       0.490546       0.467576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        500.000                 NaN   99.5114       0.488645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000                 NaN   99.5109       0.489134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        500.000                 NaN   99.5154       0.480629       0.396085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
