|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.8867       0.113348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.3155       0.649611                 NaN            NaN  0.349125E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.2287       0.586479       0.140751                 NaN  0.421358E-001  0.195294E-002            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.1498       0.530286       0.318800                 NaN            NaN  0.115839E-002            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.1373       0.309608       0.542494                 NaN            NaN  0.105545E-001            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.7193       0.187869       0.590532E-001            NaN            NaN  0.338237E-001            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        98.6287       0.860313       0.499565                 NaN            NaN  0.114401E-001            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        98.4329        1.00051       0.499804                 NaN  0.124647E-001  0.542784E-001            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.9223       0.497926E-001  0.251665E-001            NaN            NaN  0.273649E-002            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.1855       0.519343       0.268014                 NaN            NaN  0.270944E-001            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.1896       0.515857       0.268358                 NaN            NaN  0.261513E-001            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.1926       0.268614       0.513318                 NaN            NaN  0.254882E-001            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.1972       0.510650       0.267492                 NaN            NaN  0.246476E-001            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.2012       0.507549       0.267362                 NaN            NaN  0.238633E-001            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.2052       0.504970       0.266706                 NaN            NaN  0.230996E-001            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.2103       0.266025       0.501410                 NaN            NaN  0.222808E-001            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.1451       0.542971       0.288462                 NaN            NaN  0.234970E-001            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.8856       0.383992E-001  0.727374E-001            NaN            NaN  0.322070E-002            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        98.6227       0.467889       0.873549                 NaN            NaN  0.358211E-001            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.2258       0.264404       0.490499                 NaN            NaN  0.193350E-001            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.1791       0.520248       0.280692                 NaN            NaN  0.199411E-001            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.2827       0.453064       0.247371                 NaN            NaN  0.168784E-001            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.2334       0.485104       0.264580                 NaN            NaN  0.168865E-001            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        99.2438       0.478344       0.260829                 NaN            NaN  0.170198E-001            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.2441       0.478177       0.261905                 NaN            NaN  0.158207E-001            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.6906       0.993506E-001  0.200426                 NaN            NaN  0.967102E-002            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        98.8012       0.756344       0.422164                 NaN            NaN  0.203168E-001            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        98.6757       0.463249       0.836692                 NaN            NaN  0.243496E-001            NaN            NaN            NaN            NaN            NaN
