|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.8728       0.127215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.2317       0.728610                 NaN            NaN  0.397077E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.1326       0.657904       0.159195                 NaN  0.479344E-001  0.231845E-002            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.0431       0.594885       0.360673                 NaN            NaN  0.137572E-002            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.0284       0.350391       0.608687                 NaN            NaN  0.125400E-001            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.6818       0.211031       0.669155E-001            NaN            NaN  0.402442E-001            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        98.4559       0.965158       0.565382                 NaN            NaN  0.136018E-001            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        98.2323        1.12299       0.565874                 NaN  0.141958E-001  0.646089E-001            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.9122       0.559834E-001  0.285508E-001            NaN            NaN  0.326258E-002            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.0803       0.583515       0.303864                 NaN            NaN  0.322917E-001            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.0847       0.579751       0.304403                 NaN            NaN  0.311939E-001            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.0877       0.304812       0.577021                 NaN            NaN  0.304229E-001            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.0927       0.574199       0.303651                 NaN            NaN  0.294366E-001            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.0970       0.570830       0.303614                 NaN            NaN  0.285153E-001            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.1013       0.568112       0.302989                 NaN            NaN  0.276215E-001            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.1067       0.302330       0.564264                 NaN            NaN  0.266602E-001            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.0327       0.611206       0.327922                 NaN            NaN  0.281257E-001            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.8704       0.437181E-001  0.819876E-001            NaN            NaN  0.386214E-002            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        98.4420       0.531986       0.983124                 NaN            NaN  0.429125E-001            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.1232       0.300968       0.552612                 NaN            NaN  0.231940E-001            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.0701       0.586284       0.319645                 NaN            NaN  0.239409E-001            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.1871       0.510795       0.281870                 NaN            NaN  0.202751E-001            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.1310       0.547077       0.301573                 NaN            NaN  0.203034E-001            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        99.1425       0.539584       0.297410                 NaN            NaN  0.204736E-001            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.1427       0.539550       0.298755                 NaN            NaN  0.190431E-001            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.6484       0.113482       0.226423                 NaN            NaN  0.116574E-001            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        98.6404       0.853416       0.481671                 NaN            NaN  0.244726E-001            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        98.4975       0.528692       0.944461                 NaN            NaN  0.293639E-001            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.8221       0.632494E-001  0.111382                 NaN            NaN  0.327347E-002            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.7259       0.968259E-001  0.171883                 NaN            NaN  0.540571E-002            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        98.5939       0.882934       0.499507                 NaN            NaN  0.236438E-001            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.1595       0.528215       0.298254                 NaN            NaN  0.140803E-001            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        99.1006       0.564862       0.321225                 NaN            NaN  0.132897E-001            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.2407       0.476689       0.271601                 NaN            NaN  0.109670E-001            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.1734       0.296103       0.519342                 NaN            NaN  0.111797E-001            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        99.1756       0.296011       0.518005                 NaN            NaN  0.104103E-001            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.1779       0.296232       0.516143                 NaN            NaN  0.971178E-002            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.1807       0.514863       0.295636                 NaN            NaN  0.882670E-002            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.1829       0.513228       0.295732                 NaN            NaN  0.817542E-002            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        99.1836       0.296267       0.512411                 NaN            NaN  0.768397E-002            NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00        99.1424       0.312139       0.538531                 NaN            NaN  0.698036E-002            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        98.6996       0.352467       0.545968                 NaN            NaN  0.135301       0.266620                 NaN            NaN            NaN            NaN
  1433.03        2500.00        98.0906       0.641611       0.406645                 NaN            NaN  0.301653       0.550278       0.917064E-002            NaN            NaN            NaN
  1431.81        2500.00        98.2083       0.591001       0.467588                 NaN            NaN  0.225943       0.507212                 NaN            NaN            NaN            NaN
  1430.60        2500.00        98.1691       0.622356       0.413769                 NaN            NaN  0.270360       0.524378                 NaN            NaN            NaN            NaN
  1429.39        2500.00        98.1888       0.617422       0.403706                 NaN            NaN  0.271173       0.518867                 NaN            NaN            NaN            NaN
  1428.17        2500.00        98.2193       0.392159       0.608814                 NaN            NaN  0.269923       0.509846                 NaN            NaN            NaN            NaN
  1426.96        2500.00        98.2235       0.609206       0.384128                 NaN            NaN  0.273910       0.509262                 NaN            NaN            NaN            NaN
  1425.75        2500.00        98.2706       0.371541       0.593812                 NaN            NaN  0.268882       0.495188                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.2805       0.362880       0.592160                 NaN            NaN  0.271617       0.492855                 NaN            NaN            NaN            NaN
  1423.32        2500.00        98.3014       0.353458       0.586409                 NaN            NaN  0.271840       0.486855                 NaN            NaN            NaN            NaN
  1422.11        2500.00        98.3177       0.582745       0.344163                 NaN            NaN  0.273106       0.482289                 NaN            NaN            NaN            NaN
  1420.90        2500.00        98.3440       0.574870       0.334784                 NaN            NaN  0.271741       0.474612                 NaN            NaN            NaN            NaN
  1419.68        2500.00        98.3589       0.325862       0.571438                 NaN            NaN  0.273193       0.470625                 NaN            NaN            NaN            NaN
  1418.47        2500.00        98.3788       0.565424       0.317652                 NaN            NaN  0.273209       0.464915                 NaN            NaN            NaN            NaN
  1417.26        2500.00        97.0360       0.570156        1.03569                 NaN            NaN  0.507242       0.850949                 NaN            NaN            NaN            NaN
