|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/WD94/WD94_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000       0.980338E-002   99.8227       0.870855E-001  0.804116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000                 NaN   99.2809       0.681849       0.372207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000                 NaN   99.2812       0.684476       0.343541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000                 NaN   99.2978       0.664235       0.379291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000                 NaN   99.3047       0.657699       0.375649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000                 NaN   99.3082       0.656742       0.350310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000                 NaN   99.3142       0.651282       0.345133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000                 NaN   99.3196       0.646432       0.339977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000                 NaN   99.3248       0.643832       0.314067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000                 NaN   99.5884       0.394730       0.168390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000                 NaN   99.0788       0.876327       0.448269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000                 NaN   99.3425       0.626505       0.309561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000                 NaN   99.3473       0.624114       0.286306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000                 NaN   99.3526       0.618878       0.285664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000                 NaN   99.3517       0.619881       0.284209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000                 NaN   98.9544        1.00113       0.444210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000                 NaN   99.7885       0.201911       0.962203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000                 NaN   99.3738       0.601026       0.251281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000                 NaN   99.3783       0.597962       0.237409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000                 NaN   99.3833       0.593131       0.235231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000                 NaN   99.3863       0.593042       0.206677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000                 NaN   99.6621       0.322532       0.153448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000                 NaN   99.1335       0.833649       0.328396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000                 NaN   99.4031       0.575341       0.215575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000                 NaN   99.3861       0.592496       0.213845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000                 NaN   99.4334       0.548542       0.180705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000                 NaN   99.4150       0.541914       0.430617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000                 NaN   99.4213       0.578718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000                 NaN   99.4228       0.567106       0.100913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN   99.4286       0.559386       0.119804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000                 NaN   99.4324       0.552624       0.149609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000                 NaN   99.4368       0.548270       0.149609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000                 NaN   99.3838       0.601870       0.142872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.5002       0.488856       0.109483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000                 NaN   99.4487       0.539853       0.114883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000                 NaN   99.4519       0.546259       0.182320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000                 NaN   99.3880       0.593034       0.189520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000                 NaN   99.7282       0.266950       0.483728E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000                 NaN   99.2632       0.717912       0.189124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000                 NaN   99.4652       0.531416       0.334158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000                 NaN   99.4702       0.525135       0.463252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN   99.4735       0.520043       0.648680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000                 NaN   99.8174       0.120855       0.617394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.1544       0.772862       0.727123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000                 NaN   99.4851       0.514879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000                 NaN   99.4883       0.511742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000                 NaN   99.4908       0.509192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   99.4999       0.472451       0.276197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
