|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/TAY13/TAY13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1557.69        500.000        99.7190       0.263786       0.172459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.29        500.000        99.3168       0.643235       0.400004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.89        500.000        99.3205       0.641564       0.378970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        500.000        99.3265       0.636086       0.373997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.10        500.000        99.3298       0.633510       0.366848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        500.000        99.3389       0.624924       0.361924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.30        500.000        99.3432       0.640106       0.167428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        500.000        99.3493       0.599390       0.513085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.51        500.000        99.3257       0.634889       0.394343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000        99.9020       0.933393E-001  0.469022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.71        500.000        98.8529        1.09010       0.570262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.32        500.000        99.3696       0.599856       0.305872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.92        500.000        99.3734       0.597151       0.294453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        500.000        99.3796       0.590998       0.293641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.12        500.000        99.3841       0.587554       0.283819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        500.000        99.3877       0.580894       0.313647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.33        500.000        99.3922       0.586978       0.208529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        500.000        99.3970       0.577875       0.250918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.53        500.000        99.4010       0.574947       0.240854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        500.000        99.4074       0.568395       0.241956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.74        500.000        99.4099       0.567896       0.222109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        500.000        99.4151       0.562422       0.224507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.94        500.000        99.4199       0.557623       0.224753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.4242       0.553614       0.222147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.14        500.000        99.4276       0.550794       0.216516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.4324       0.549007       0.185755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.35        500.000        99.4352       0.547136       0.176892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.4384       0.544790       0.168376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.55        500.000        99.4418       0.542479       0.157265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000        99.4475       0.536627       0.158962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.76        500.000        99.4479       0.536614       0.154448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000        99.1755       0.796797       0.277118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.96        500.000        99.7457       0.254269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000        99.4623       0.520274       0.174737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.17        500.000        99.4638       0.524720       0.114883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.4702       0.516763       0.130556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.37        500.000        99.4732       0.506573       0.201875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.97        500.000        99.4747       0.518609       0.664729E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.58        500.000        99.4762       0.523800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        500.000        99.4790       0.515639       0.532106E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.78        500.000        99.4798       0.515002       0.517204E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.38        500.000        99.4934       0.500658       0.592646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.99        500.000        99.4896       0.506289       0.410731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000        99.4965       0.474372       0.291203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.19        500.000        99.4984       0.488133       0.134509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
