|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.75/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1580.13        500.000        99.4747       0.525317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        500.000        99.1482       0.837653       0.141085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        500.000        99.1545       0.803400       0.420837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        500.000        99.1616       0.794241       0.441233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        500.000        99.1564       0.801875       0.417027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        500.000        99.1966       0.763291       0.401135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        500.000        99.1843       0.778051       0.376467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        500.000        99.1947       0.767357       0.379359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        500.000        99.1986       0.763205       0.382090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        500.000        99.2110       0.752416       0.366002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        500.000        99.2146       0.751050       0.343180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        500.000        98.3816        1.57095       0.474478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        500.000        99.9908                 NaN  0.921572E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        500.000        99.9099       0.882200E-001  0.190221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        500.000        98.6416        1.30853       0.499152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        500.000        98.4478        1.51916       0.330258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        500.000        99.9999                 NaN  0.103615E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        500.000        99.3002       0.671859       0.279733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        500.000        99.2635       0.688925       0.475958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        500.000        99.2700       0.725525       0.449670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        500.000        99.2839       0.689968       0.261679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        500.000        99.2843       0.690554       0.251633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        500.000        99.2898       0.686372       0.238039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        500.000        99.2956       0.680698       0.237195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        500.000        99.3026       0.674615       0.228132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3054       0.674118       0.204622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        500.000        99.3127       0.666889       0.204500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.3172       0.662596       0.202443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        500.000        99.3213       0.661300       0.173575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        500.000        99.3285       0.652955       0.185791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        500.000        99.3338       0.635190       0.310412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        500.000        99.3341       0.665548       0.302683E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        500.000        99.3421       0.644150       0.137025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000        99.3457       0.641758       0.125261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000        99.3500       0.638717       0.112396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000        99.3558       0.632014       0.121629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000        99.3573       0.634969       0.771272E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        500.000        99.3650       0.624445       0.105936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        500.000        99.3693       0.621778       0.895178E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        500.000        99.3730       0.618833       0.819997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        500.000        99.3746       0.620024       0.533724E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000        99.3825       0.610124       0.735771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        500.000        99.3851       0.608160       0.675354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000        99.3889       0.608486       0.261639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        500.000        99.3900       0.608895       0.108712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
