|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1423.08        500.000       0.356617E-003   99.9996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000       0.850869E-003   99.5446       0.393229       0.284105E-001  0.329411E-001            NaN            NaN            NaN            NaN
  1420.96        500.000       0.853194E-003   99.3627       0.402695       0.219194       0.145602E-001            NaN            NaN            NaN            NaN
  1419.90        500.000       0.847078E-003   99.3610       0.397286       0.240852                 NaN            NaN            NaN            NaN            NaN
  1418.84        500.000       0.814239E-003   99.3645       0.239452       0.395251                 NaN            NaN            NaN            NaN            NaN
  1417.78        500.000       0.721537E-003   99.4219       0.217353       0.360047                 NaN            NaN            NaN            NaN            NaN
  1416.72        500.000       0.823193E-003   99.3165       0.424840       0.257830                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000       0.130178E-002   98.7809       0.757883       0.459890                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000       0.339336E-004   99.9748       0.101289E-001  0.150578E-001            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000       0.141556E-003   99.8624       0.857753E-001  0.516885E-001            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000       0.115815E-002   98.9007       0.413646       0.684451                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000       0.602126E-003   99.3847       0.383085       0.231551       0.261591E-004            NaN            NaN            NaN            NaN
  1410.36        500.000       0.578537E-003   99.3905       0.229325       0.379610                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000       0.211741E-003   98.5781       0.460468       0.596823                 NaN  0.364369                 NaN            NaN            NaN
  1408.24        500.000                 NaN   98.4975       0.633256       0.466015                 NaN  0.403274                 NaN            NaN            NaN
  1407.17        500.000                 NaN   97.7758       0.938394       0.689307                 NaN  0.596498                 NaN            NaN            NaN
  1406.11        500.000                 NaN   99.3030       0.208568       0.231782       0.608949E-001  0.195720                 NaN            NaN            NaN
  1405.05        500.000                 NaN   98.5494       0.416858       0.485905       0.138513       0.409336                 NaN            NaN            NaN
  1403.99        500.000                 NaN   98.5662       0.407582       0.481554       0.139783       0.404887                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.5844       0.476976       0.398131       0.140498       0.399957                 NaN            NaN            NaN
  1401.87        500.000                 NaN   98.6012       0.389767       0.471636       0.141945       0.395478                 NaN            NaN            NaN
  1400.81        500.000       0.776235E-003   99.3844       0.169366       0.207522       0.637148E-001  0.174235                 NaN            NaN            NaN
  1399.75        500.000                 NaN   97.8660       0.722927       0.586290       0.221769       0.602995                 NaN            NaN            NaN
  1398.69        500.000       0.448591E-003   97.1053       0.982871       0.785352       0.309387       0.816669                 NaN            NaN            NaN
  1397.63        500.000                 NaN   99.9998       0.927399E-004            NaN  0.126444E-003            NaN            NaN            NaN            NaN
  1396.57        500.000                 NaN   98.8603       0.296628       0.390345       0.129399       0.323360                 NaN            NaN            NaN
  1395.51        500.000       0.403667E-002   98.6782       0.366257       0.440130       0.138169       0.373208                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.7240       0.440119       0.319506       0.153715       0.362631                 NaN            NaN            NaN
  1393.39        500.000                 NaN   98.5019       0.377156       0.518716       0.176173       0.426060                 NaN            NaN            NaN
  1392.33        500.000                 NaN   98.9558       0.246412       0.363890       0.135728       0.298207                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.7506       0.325319       0.429854       0.140819       0.353431                 NaN            NaN            NaN
  1390.21        500.000                 NaN   98.7635       0.301603       0.429908       0.153406       0.351627                 NaN            NaN            NaN
  1389.15        500.000                 NaN   98.5307       0.351417       0.513110       0.186683       0.418047                 NaN            NaN            NaN
  1388.09        500.000                 NaN   99.0355       0.229344       0.337005       0.123731       0.274404                 NaN            NaN            NaN
  1387.03        500.000                 NaN   98.8048       0.419235       0.279377       0.156320       0.340304                 NaN            NaN            NaN
  1385.97        500.000                 NaN   98.8116       0.418172       0.273670       0.157805       0.338707                 NaN            NaN            NaN
  1384.91        500.000                 NaN   98.8281       0.266998       0.413154       0.157794       0.333937                 NaN            NaN            NaN
  1383.85        500.000                 NaN   98.8387       0.410838       0.259936       0.159371       0.331151                 NaN            NaN            NaN
  1382.79        500.000                 NaN   98.8496       0.252832       0.408450       0.160670       0.328466                 NaN            NaN            NaN
  1381.73        500.000                 NaN   98.8594       0.404566       0.248481       0.161690       0.325874                 NaN            NaN            NaN
  1380.67        500.000                 NaN   98.8752       0.239752       0.401521       0.162270       0.321304                 NaN            NaN            NaN
  1379.61        500.000                 NaN   98.8840       0.399486       0.235245       0.162615       0.318609                 NaN            NaN            NaN
  1378.55        500.000                 NaN   98.8959       0.227777       0.396298       0.164202       0.315803                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.9056       0.222292       0.394187       0.165028       0.312914                 NaN            NaN            NaN
  1376.42        500.000                 NaN   98.9149       0.392144       0.216752       0.165941       0.310264                 NaN            NaN            NaN
  1375.36        500.000                 NaN   98.9256       0.389525       0.210740       0.166705       0.307412                 NaN            NaN            NaN
  1374.30        500.000                 NaN   98.9355       0.387167       0.205133       0.167539       0.304656                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.9455       0.384927       0.199044       0.168506       0.301990                 NaN            NaN            NaN
  1372.18        500.000                 NaN   98.9555       0.382366       0.193922       0.169095       0.299129                 NaN            NaN            NaN
