|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1423.08        500.000       0.228645E-003   99.9998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000       0.545931E-003   99.6116       0.337647       0.240628E-001  0.261919E-001            NaN            NaN            NaN            NaN
  1420.96        500.000       0.547789E-003   99.4565       0.345728       0.185605       0.115728E-001            NaN            NaN            NaN            NaN
  1419.90        500.000       0.543960E-003   99.4547       0.340942       0.203837                 NaN            NaN            NaN            NaN            NaN
  1418.84        500.000       0.523057E-003   99.4579       0.202542       0.339059                 NaN            NaN            NaN            NaN            NaN
  1417.78        500.000       0.463549E-003   99.5071       0.183770       0.308693                 NaN            NaN            NaN            NaN            NaN
  1416.72        500.000       0.529196E-003   99.4174       0.364193       0.217891                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000       0.837603E-003   98.9608       0.649787       0.388610                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000       0.218054E-004   99.9786       0.854232E-002  0.128847E-001            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000       0.909973E-004   99.8829       0.733982E-001  0.435854E-001            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000       0.745878E-003   99.0641       0.349044       0.586125                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000       0.387536E-003   99.4768       0.327695       0.195130       0.206336E-004            NaN            NaN            NaN            NaN
  1410.36        500.000       0.372536E-003   99.4819       0.193156       0.324564                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000       0.136366E-003   98.7233       0.393724       0.502649                 NaN  0.380179                 NaN            NaN            NaN
  1408.24        500.000                 NaN   98.6481       0.532937       0.398248                 NaN  0.420729                 NaN            NaN            NaN
  1407.17        500.000                 NaN   97.9980       0.790093       0.589296                 NaN  0.622613                 NaN            NaN            NaN
  1406.11        500.000                 NaN   99.3755       0.175123       0.197679       0.477372E-001  0.203950                 NaN            NaN            NaN
  1405.05        500.000                 NaN   98.7003       0.349994       0.414459       0.108494       0.426757                 NaN            NaN            NaN
  1403.99        500.000                 NaN   98.7164       0.341917       0.410426       0.109326       0.421981                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.7337       0.406249       0.333684       0.109712       0.416702                 NaN            NaN            NaN
  1401.87        500.000                 NaN   98.7497       0.326384       0.401381       0.110673       0.411895                 NaN            NaN            NaN
  1400.81        500.000       0.496751E-003   99.4507       0.141606       0.176360       0.495655E-001  0.181293                 NaN            NaN            NaN
  1399.75        500.000                 NaN   98.0940       0.614861       0.490468       0.172515       0.628106                 NaN            NaN            NaN
  1398.69        500.000       0.286887E-003   97.4195       0.834646       0.655865       0.239013       0.850718                 NaN            NaN            NaN
  1397.63        500.000                 NaN   99.9998       0.772239E-004            NaN  0.975791E-004            NaN            NaN            NaN            NaN
  1396.57        500.000                 NaN   98.9857       0.247214       0.330892       0.100090       0.336088                 NaN            NaN            NaN
