|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1625.00        2500.00        99.3280       0.612364       0.596534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        99.1473       0.743590       0.109072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00        98.9733       0.891115       0.135592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00        98.4204        1.36497       0.213422       0.121083E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00        99.7755       0.193933       0.305448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0977       0.785049       0.117281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00        99.1062       0.778232       0.115521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5206        1.28694       0.192505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        99.6941       0.267108       0.387755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00        99.1740       0.720388       0.105621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00        99.1447       0.745986       0.109282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00        99.1527       0.738507       0.108811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00        99.1546       0.737441       0.108002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.1787       0.718462       0.102878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00        99.1802       0.715769       0.104048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1860       0.711728       0.102265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00        99.1935       0.705307       0.101185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.6454       0.309679       0.448922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00        98.7680        1.07912       0.152930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00        99.2169       0.686455       0.966807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00        99.2275       0.676709       0.957459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.2340       0.671514       0.945035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00        99.1518       0.745041       0.103195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.3358       0.582670       0.815381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00        99.0194       0.858303       0.122282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.4994       0.436834       0.637693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00        99.2695       0.642715       0.877814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00        98.6434        1.20471       0.151885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00        99.9096       0.789234E-001  0.114311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00        99.2672       0.649099       0.837495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00        99.3106       0.608091       0.812835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.5951        1.23942       0.165459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00        99.9860       0.134854E-001  0.560235E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00        99.3424       0.582127       0.755088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00        99.3120       0.609742       0.782375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00        99.3291       0.594237       0.766682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00        99.3288       0.594970       0.762659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00        99.3363       0.587846       0.758853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00        99.3410       0.584073       0.749654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.3458       0.581516       0.726873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00        99.3511       0.578024       0.709172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00        99.3572       0.569786       0.730170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00        99.3611       0.572569       0.663794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00        99.3678       0.563366       0.688618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00        99.1128       0.803774       0.834587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00        99.9302       0.644785E-001  0.529191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
