|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1625.00        2500.00        99.2499       0.681779       0.683538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        99.0474       0.827624       0.124945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00        98.8524       0.992212       0.155417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00        98.2350        1.51870       0.244426       0.185031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00        99.7487       0.216213       0.350663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        98.9906       0.874787       0.134608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00        99.0000       0.867338       0.132615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.3458        1.43327       0.220886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        99.6573       0.298106       0.445992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00        99.0751       0.803488       0.121410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00        99.0420       0.832280       0.125689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00        99.0506       0.824218       0.125207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00        99.0524       0.823301       0.124300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.0796       0.801984       0.118421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00        99.0808       0.799355       0.119832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.0870       0.795105       0.117855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00        99.0953       0.788058       0.116662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.6018       0.346401       0.517985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00        98.6178        1.20582       0.176366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00        99.1208       0.767621       0.111604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00        99.1325       0.756909       0.110559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.1395       0.751317       0.109189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00        99.0470       0.833745       0.119282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.2534       0.652316       0.943089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00        98.8967       0.961575       0.141733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.4367       0.489459       0.738255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00        99.1784       0.719982       0.101632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00        98.4758        1.34839       0.175771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00        99.8982       0.885388E-001  0.132619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00        99.1750       0.727810       0.971514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00        99.2238       0.681933       0.942666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.4191        1.38912       0.191813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00        99.9842       0.151441E-001  0.651125E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00        99.2590       0.653344       0.877002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00        99.2246       0.684468       0.909116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00        99.2436       0.667229       0.891237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00        99.2430       0.668334       0.887096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00        99.2512       0.660493       0.882989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00        99.2563       0.656420       0.872512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.2617       0.653698       0.846436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00        99.2675       0.649891       0.826024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00        99.2741       0.640798       0.851021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00        99.2785       0.644074       0.773996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00        99.2857       0.633973       0.803293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00        98.9979       0.904298       0.978370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00        99.9212       0.726403E-001  0.618824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00        98.9470       0.940525       0.112438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8417        1.02757       0.130769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00        99.7838       0.192432       0.237203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.3150       0.612511       0.724819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00        99.3211       0.607539       0.713145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00        99.3206       0.609510       0.698439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00        99.3367       0.593628       0.697109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00        99.3351       0.595034       0.698722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00        99.3388       0.596651       0.645036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
