|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.25/K22/K22_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.2413                 NaN  0.750967       0.770526E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.2956                 NaN  0.597858       0.106501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.0120                 NaN  0.987952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.1574                 NaN  0.842642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.1572                 NaN  0.696670       0.143594       0.258433E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.2274                 NaN  0.772557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.1869                 NaN  0.813120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.1933                 NaN  0.806704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.1978                 NaN  0.802181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.2144                 NaN  0.785356       0.199205E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.2217                 NaN  0.778296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.2266                 NaN  0.773365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.2311                 NaN  0.766443       0.242381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.2419                 NaN  0.758110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.2524                 NaN  0.747606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.2574                 NaN  0.742635       0.223427E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.2604                 NaN  0.732031       0.760353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.2767                 NaN  0.723336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.2788                 NaN  0.721234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.2834                 NaN  0.716612       0.853367E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.2791                 NaN  0.709868       0.110291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.3155                 NaN  0.673605       0.108533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.3029                 NaN  0.689990       0.711373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3161                 NaN  0.673656       0.102779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.3198                 NaN  0.671452       0.876684E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.3235                 NaN  0.669560       0.694453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.3316                 NaN  0.660827       0.754741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        98.7910                 NaN   1.20279       0.618488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.8080                 NaN  0.157706       0.343075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.7256                 NaN  0.274423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
