|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.25/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.1324                 NaN  0.858643       0.900508E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.1915                 NaN  0.683939       0.124556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        98.8699                 NaN   1.13006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.0356                 NaN  0.964374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.0300                 NaN  0.797885       0.168088       0.406299E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.1150                 NaN  0.884953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.0684                 NaN  0.931574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.0757                 NaN  0.924324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.0806                 NaN  0.919382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.0993                 NaN  0.900472       0.233751E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.1075                 NaN  0.892471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.1129                 NaN  0.887064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.1180                 NaN  0.879164       0.284457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.1299                 NaN  0.870144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.1416                 NaN  0.858397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.1473                 NaN  0.852658       0.262481E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.1501                 NaN  0.841007       0.894200E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.1689                 NaN  0.831112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.1713                 NaN  0.828664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.1764                 NaN  0.823627       0.100404E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.1710                 NaN  0.816060       0.129833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.2126                 NaN  0.774595       0.127825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.1980                 NaN  0.793638       0.838054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2127                 NaN  0.775161       0.121134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.2168                 NaN  0.772847       0.103372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.2210                 NaN  0.770766       0.819234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.2301                 NaN  0.761003       0.890690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        98.6085                 NaN   1.38426       0.729372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.7776                 NaN  0.181858       0.405498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.6836                 NaN  0.316426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        98.9186                 NaN   1.07913       0.224866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2646                 NaN  0.735352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
