|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9679                 NaN  0.320665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.0983                 NaN  0.337222       0.564522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0589                 NaN  0.623517       0.317541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0641                 NaN  0.315399       0.620449                 NaN            NaN  0.325825E-005            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0726                 NaN  0.313105       0.614247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0771                 NaN  0.312306       0.610614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0831                 NaN  0.606699       0.310238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0886                 NaN  0.602749       0.308664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0670                 NaN  0.617654       0.315366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.9097                 NaN  0.610299E-001  0.287616E-001            NaN            NaN  0.552535E-003            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.3248                 NaN  0.567774        1.10745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1080                 NaN  0.303689       0.588286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1036                 NaN  0.592334       0.304111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1362                 NaN  0.576200       0.277551                 NaN            NaN  0.100031E-001            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1305                 NaN  0.258195       0.586965                 NaN            NaN  0.243285E-001            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        98.2752                 NaN   1.15904       0.524484                 NaN            NaN  0.412500E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.9350                 NaN  0.437726E-001  0.195794E-001            NaN            NaN  0.166865E-002            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2143                 NaN  0.238521       0.528572                 NaN            NaN  0.186287E-001            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1480                 NaN  0.572948       0.259449                 NaN            NaN  0.195616E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1523                 NaN  0.259395       0.569480                 NaN            NaN  0.187919E-001            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.0618                 NaN  0.629447       0.288658                 NaN            NaN  0.201048E-001            NaN            NaN            NaN            NaN            NaN
