|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9717                 NaN  0.283232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2056                 NaN  0.295419       0.498972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1710                 NaN  0.550974       0.278071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1758                 NaN  0.276080       0.548103                 NaN            NaN  0.270781E-005            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1835                 NaN  0.273980       0.542502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1877                 NaN  0.273165       0.539129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1932                 NaN  0.535520       0.271249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1984                 NaN  0.531866       0.269755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1796                 NaN  0.544919       0.275529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.9207                 NaN  0.537654E-001  0.250862E-001            NaN            NaN  0.457106E-003            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.5267                 NaN  0.496063       0.977279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2165                 NaN  0.264961       0.518545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2129                 NaN  0.521876       0.265215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2423                 NaN  0.507510       0.241949                 NaN            NaN  0.826180E-002            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2381                 NaN  0.224981       0.516833                 NaN            NaN  0.200830E-001            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        98.4878                 NaN   1.02101       0.457131                 NaN            NaN  0.340420E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.9431                 NaN  0.384698E-001  0.170241E-001            NaN            NaN  0.137354E-002            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.3122                 NaN  0.207535       0.464911                 NaN            NaN  0.153435E-001            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2545                 NaN  0.503779       0.225655                 NaN            NaN  0.161006E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2584                 NaN  0.225502       0.500643                 NaN            NaN  0.154582E-001            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1794                 NaN  0.553154       0.250887                 NaN            NaN  0.165269E-001            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.3512                 NaN  0.438022       0.198002                 NaN            NaN  0.127929E-001            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2709                 NaN  0.223874       0.491746                 NaN            NaN  0.135302E-001            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2740                 NaN  0.223382       0.489461                 NaN            NaN  0.131337E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1493                 NaN  0.260900       0.574469                 NaN            NaN  0.146474E-001  0.676729E-003            NaN            NaN            NaN            NaN
