|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.132220E-001   99.9564                 NaN  0.303360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.713024E-003   99.1400                 NaN  0.505413E-001  0.808773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1270                 NaN            NaN  0.872969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1356                 NaN            NaN  0.864412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1409                 NaN  0.570426E-005  0.859093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1428                 NaN            NaN  0.857216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1469                 NaN            NaN  0.853096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1543                 NaN            NaN  0.845735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1563                 NaN            NaN  0.843712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1615                 NaN            NaN  0.838544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1669                 NaN            NaN  0.833067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1691                 NaN            NaN  0.830923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1316                 NaN            NaN  0.868363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2192                 NaN            NaN  0.780778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1809                 NaN            NaN  0.819150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1849                 NaN            NaN  0.815145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1885                 NaN            NaN  0.811478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.1912                 NaN            NaN  0.808791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.0733                 NaN            NaN  0.284808       0.641941                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   97.8110                 NaN            NaN            NaN   2.18901                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.9832                 NaN            NaN            NaN  0.167881E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.323442E-003   99.8672                 NaN            NaN            NaN  0.132523                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.169309E-001   98.0252                 NaN            NaN            NaN   1.95791                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.108715E-001   98.8312                 NaN            NaN            NaN   1.15791                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.592617E-002   98.7935                 NaN            NaN  0.187351        1.01318                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.125355E-001   97.9121                 NaN            NaN            NaN   1.19379       0.881552                 NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.105892E-001   98.1908                 NaN            NaN            NaN   1.25459       0.544003                 NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.103556E-001   98.2210                 NaN            NaN            NaN  0.534353        1.23426                 NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.101425E-001   98.2485                 NaN            NaN            NaN  0.525378        1.21601                 NaN            NaN            NaN            NaN            NaN
