|6.6.6
Archiving\03_Data\DeqfracLP/QFM/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1573.72        500.000       0.375717E-002            NaN   99.3944                 NaN  0.601877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        500.000                 NaN            NaN   99.2440                 NaN  0.755976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        500.000                 NaN            NaN   99.2545                 NaN  0.733942       0.115661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        500.000                 NaN            NaN   99.2606                 NaN  0.699258       0.401560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        500.000                 NaN            NaN   99.2679                 NaN  0.693497       0.385713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        500.000                 NaN            NaN   99.2736                 NaN  0.687772       0.386490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        500.000                 NaN            NaN   99.2815                 NaN  0.681550       0.369962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        500.000                 NaN            NaN   99.2877                 NaN  0.675812       0.364845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        500.000                 NaN            NaN   99.2933                 NaN  0.671723       0.349455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        500.000                 NaN            NaN   99.4495                 NaN  0.523189       0.273120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        500.000                 NaN            NaN   99.1554                 NaN  0.804130       0.404324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        500.000                 NaN            NaN   99.3132                 NaN  0.654648       0.321215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        500.000                 NaN            NaN   99.3160                 NaN  0.653326       0.306881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        500.000                 NaN            NaN   99.3222                 NaN  0.646890       0.308788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        500.000                 NaN            NaN   99.3281                 NaN  0.643215       0.286521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        500.000                 NaN            NaN   99.3344                 NaN  0.636702       0.288905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        500.000                 NaN            NaN   99.3400                 NaN  0.631531       0.284836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        500.000                 NaN            NaN   99.3442                 NaN  0.627750       0.280532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        500.000                 NaN            NaN   99.3502                 NaN  0.623795       0.259804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        500.000                 NaN            NaN   98.7625                 NaN   1.18275       0.547086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        500.000                 NaN            NaN   99.9406                 NaN  0.574821E-001  0.189673E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        500.000                 NaN            NaN   99.3876                 NaN  0.589598       0.227528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        500.000                 NaN            NaN   99.3713                 NaN  0.605212       0.235325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        500.000                 NaN            NaN   99.3738                 NaN  0.605094       0.211043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        500.000                 NaN            NaN   99.3797                 NaN  0.600193       0.200879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN            NaN   99.6527                 NaN  0.336256       0.110364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        500.000                 NaN            NaN   99.1209                 NaN  0.852050       0.270650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        500.000                 NaN            NaN   99.3926                 NaN  0.589819       0.176136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        500.000                 NaN            NaN   99.3984                 NaN  0.584764       0.168820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN            NaN   99.4023                 NaN  0.581311       0.164349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        500.000                 NaN            NaN   99.4063                 NaN  0.578284       0.153943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        500.000                 NaN            NaN   99.4106                 NaN  0.575199       0.141954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        500.000                 NaN            NaN   99.4127                 NaN  0.574946       0.123131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN            NaN   99.4195                 NaN  0.567227       0.132255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        500.000                 NaN            NaN   99.4208                 NaN  0.568810       0.104214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN            NaN   99.3964                 NaN  0.589030       0.145883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        500.000                 NaN            NaN   99.3357                 NaN  0.656506       0.776742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000                 NaN            NaN   99.5568                 NaN  0.437304       0.587136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000                 NaN            NaN   99.4395                 NaN  0.551467       0.902725E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000                 NaN            NaN   99.4407                 NaN  0.550013       0.927400E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        500.000                 NaN            NaN   99.4036                 NaN  0.590026       0.639880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        500.000                 NaN            NaN   99.7895                 NaN  0.210287       0.228389E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        500.000                 NaN            NaN   99.1486                 NaN  0.845559       0.584861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN            NaN   99.0289                 NaN  0.962403       0.867009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN            NaN   99.8885                 NaN  0.110464       0.100298E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN            NaN   99.4962                 NaN  0.501066       0.271068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.58        500.000                 NaN            NaN   99.4273                 NaN  0.571521       0.115566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        500.000                 NaN            NaN   99.4697                 NaN  0.519412       0.109375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        500.000                 NaN            NaN   99.4356                 NaN  0.562856       0.153867E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN            NaN   99.5659                 NaN  0.367406       0.666736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        500.000                 NaN            NaN   99.4294                 NaN  0.570640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        500.000                 NaN            NaN   99.4657                 NaN  0.524689       0.965450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        500.000                 NaN            NaN   99.4786                 NaN  0.521406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN            NaN   99.5068                 NaN  0.493198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.07        500.000                 NaN            NaN   99.4861                 NaN  0.513937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        500.000                 NaN            NaN   99.4905                 NaN  0.509525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000                 NaN            NaN   99.4933                 NaN  0.506663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000                 NaN            NaN   99.5190                 NaN  0.480968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        500.000                 NaN            NaN   99.4784                 NaN  0.521560       0.154160E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN            NaN   99.5020                 NaN  0.497997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        500.000                 NaN            NaN   99.5050                 NaN  0.494951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN            NaN   99.5504                 NaN  0.449583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        500.000                 NaN            NaN   99.4627                 NaN  0.537313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
