|6.6.6
Archiving\03_Data\DeqfracLP/QFM/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1573.72        500.000       0.582756E-002            NaN   99.3118                 NaN  0.682350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        500.000                 NaN            NaN   99.1430                 NaN  0.857042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        500.000                 NaN            NaN   99.1544                 NaN  0.832228       0.134019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        500.000                 NaN            NaN   99.1604                 NaN  0.793050       0.465491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        500.000                 NaN            NaN   99.1687                 NaN  0.786604       0.447203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        500.000                 NaN            NaN   99.1748                 NaN  0.780354       0.448201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        500.000                 NaN            NaN   99.1836                 NaN  0.773516       0.429304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        500.000                 NaN            NaN   99.1906                 NaN  0.767049       0.423437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        500.000                 NaN            NaN   99.1968                 NaN  0.762614       0.405771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        500.000                 NaN            NaN   99.3744                 NaN  0.593843       0.317086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        500.000                 NaN            NaN   99.0399                 NaN  0.913110       0.469640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        500.000                 NaN            NaN   99.2190                 NaN  0.743695       0.373298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        500.000                 NaN            NaN   99.2220                 NaN  0.742330       0.356794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        500.000                 NaN            NaN   99.2288                 NaN  0.735239       0.359147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        500.000                 NaN            NaN   99.2355                 NaN  0.731145       0.333334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        500.000                 NaN            NaN   99.2425                 NaN  0.723906       0.336227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        500.000                 NaN            NaN   99.2486                 NaN  0.718216       0.331651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        500.000                 NaN            NaN   99.2532                 NaN  0.714138       0.326770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        500.000                 NaN            NaN   99.2600                 NaN  0.709766       0.302750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        500.000                 NaN            NaN   98.5907                 NaN   1.34556       0.637531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        500.000                 NaN            NaN   99.9323                 NaN  0.654763E-001  0.221302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        500.000                 NaN            NaN   99.3023                 NaN  0.671203       0.265371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        500.000                 NaN            NaN   99.2834                 NaN  0.689177       0.274520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        500.000                 NaN            NaN   99.2862                 NaN  0.689147       0.246359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        500.000                 NaN            NaN   99.2928                 NaN  0.683750       0.234564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN            NaN   99.6039                 NaN  0.383175       0.128946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        500.000                 NaN            NaN   98.9977                 NaN  0.970639       0.316149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        500.000                 NaN            NaN   99.3072                 NaN  0.672243       0.205851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        500.000                 NaN            NaN   99.3136                 NaN  0.666629       0.197349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN            NaN   99.3179                 NaN  0.662864       0.192202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        500.000                 NaN            NaN   99.3224                 NaN  0.659541       0.180128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        500.000                 NaN            NaN   99.3272                 NaN  0.656163       0.166140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        500.000                 NaN            NaN   99.3296                 NaN  0.655954       0.144155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN            NaN   99.3371                 NaN  0.647416       0.154916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        500.000                 NaN            NaN   99.3384                 NaN  0.649340       0.122128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN            NaN   99.3105                 NaN  0.672385       0.170977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        500.000                 NaN            NaN   99.2411                 NaN  0.749826       0.910939E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000                 NaN            NaN   99.4936                 NaN  0.499526       0.688688E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000                 NaN            NaN   99.3594                 NaN  0.630053       0.105916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000                 NaN            NaN   99.3606                 NaN  0.628560       0.108869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        500.000                 NaN            NaN   99.3182                 NaN  0.674265       0.751157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        500.000                 NaN            NaN   99.7594                 NaN  0.240359       0.268312E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        500.000                 NaN            NaN   99.0268                 NaN  0.966365       0.686906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN            NaN   98.8895                 NaN   1.10035       0.101873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN            NaN   99.8724                 NaN  0.126447       0.118014E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN            NaN   99.4236                 NaN  0.573186       0.318856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.58        500.000                 NaN            NaN   99.3446                 NaN  0.654025       0.135984E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        500.000                 NaN            NaN   99.3926                 NaN  0.594483       0.128742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        500.000                 NaN            NaN   99.3538                 NaN  0.644350       0.181164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN            NaN   99.5007                 NaN  0.420712       0.785535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        500.000                 NaN            NaN   99.3464                 NaN  0.653574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        500.000                 NaN            NaN   99.3877                 NaN  0.600927       0.113765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        500.000                 NaN            NaN   99.4025                 NaN  0.597476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN            NaN   99.4346                 NaN  0.565364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
