|6.6.6
Archiving\03_Data\eqLP/QFM_m5/EETA/EETA_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  2000.00        500.000        97.6651       0.785370        1.53822       0.112722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        97.6545       0.785508        1.54873       0.112731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        97.6438       0.785646        1.55924       0.112740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        97.6332       0.785784        1.56975       0.112750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        97.6225       0.785922        1.58027       0.112759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        97.6119       0.786060        1.59079       0.112768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        97.6012       0.786198        1.60131       0.112778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        97.5906       0.786336        1.61183       0.112787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        97.5799       0.786474        1.62236       0.112797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        97.5696       0.786609        1.63247       0.112806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        97.5594       0.786744        1.64259       0.112815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        97.5491       0.786879        1.65271       0.112824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        97.5389       0.787013        1.66283       0.112833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        97.5286       0.787148        1.67296       0.112842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        97.5183       0.787283        1.68309       0.112851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        97.5081       0.787417        1.69322       0.112860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        97.4978       0.787552        1.70335       0.112869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        97.4879       0.787684        1.71308       0.112878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        97.4781       0.787815        1.72282       0.112887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        97.4682       0.787947        1.73255       0.112895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        97.4583       0.788079        1.74229       0.112904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        97.4485       0.788210        1.75203       0.112913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        97.4386       0.788342        1.76177       0.112921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        97.4287       0.788473        1.77151       0.112930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        97.4188       0.788605        1.78126       0.112939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        97.4094       0.788733        1.79061       0.112947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        97.3999       0.788862        1.79997       0.112956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        97.3904       0.788990        1.80932       0.112964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        97.3809       0.789119        1.81868       0.112972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.3714       0.789247        1.82804       0.112981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
