|6.6.6
Archiving\03_Data\eqLP/QFM_m5/EETA/EETA_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  2000.00        500.000        95.0614       0.979637        3.92695       0.320600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        95.0346       0.979712        3.95362       0.320625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        95.0079       0.979786        3.98028       0.320649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        94.9811       0.979860        4.00695       0.320673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        94.9544       0.979934        4.03363       0.320698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        94.9276       0.980008        4.06031       0.320722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        94.9009       0.980083        4.08699       0.320746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        94.8741       0.980157        4.11368       0.320770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        94.8473       0.980231        4.14037       0.320795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        94.8216       0.980302        4.16602       0.320818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        94.7959       0.980374        4.19167       0.320841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        94.7701       0.980445        4.21732       0.320865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        94.7444       0.980516        4.24298       0.320888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        94.7187       0.980588        4.26864       0.320911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        94.6929       0.980659        4.29430       0.320935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        94.6672       0.980731        4.31997       0.320958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        94.6415       0.980802        4.34564       0.320982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        94.6167       0.980871        4.37029       0.321004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        94.5920       0.980939        4.39494       0.321026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
