|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.8866       0.113376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4308       0.420550E-001  0.224418       0.302701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2947                 NaN  0.209427       0.495875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.2980                 NaN  0.493670       0.208372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.2839                 NaN  0.214487       0.501404                 NaN            NaN  0.221138E-003            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3228                 NaN  0.474459       0.202513                 NaN            NaN  0.267052E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3071                 NaN  0.208257       0.483979                 NaN            NaN  0.663634E-003            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3150                 NaN  0.479336       0.204915                 NaN            NaN  0.700405E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3062                 NaN  0.207642       0.485498                 NaN            NaN  0.656859E-003            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3310                 NaN  0.200609       0.467763                 NaN            NaN  0.607180E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3217                 NaN  0.202796       0.474942                 NaN            NaN  0.573585E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3268                 NaN  0.201949       0.470651                 NaN            NaN  0.578306E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3277                 NaN  0.200389       0.471371                 NaN            NaN  0.521134E-003            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3352                 NaN  0.199793       0.464480                 NaN            NaN  0.496524E-003  0.284349E-005            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3359                 NaN  0.464658       0.198989                 NaN            NaN  0.480504E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3970                 NaN  0.600497                 NaN            NaN            NaN  0.247663E-002            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.2745                 NaN  0.384012       0.341260                 NaN            NaN  0.209143E-003            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.3545                 NaN  0.453186       0.192361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3487                 NaN  0.196983       0.452825                 NaN            NaN  0.148966E-002            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3510                 NaN  0.449477       0.197537                 NaN            NaN  0.200935E-002            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.3522                 NaN  0.191610       0.456196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.3590                 NaN  0.191182       0.449857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3578                 NaN  0.190966       0.451269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3622                 NaN  0.189144       0.448702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.2539                 NaN  0.526953       0.219116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.9300                 NaN  0.208865E-001  0.491269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        98.1350                 NaN  0.719996       0.779182                 NaN            NaN            NaN            NaN  0.365835                 NaN            NaN            NaN
  1430.31        2500.00        98.4049                 NaN  0.683084       0.456336                 NaN            NaN            NaN            NaN  0.455704                 NaN            NaN            NaN
