|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.9036       0.964338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.5103       0.357765E-001  0.192089       0.261843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.3919                 NaN  0.179209       0.428868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.3950                 NaN  0.426782       0.178217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.3832                 NaN  0.183348       0.433352                 NaN            NaN  0.144328E-003            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.4169                 NaN  0.409861       0.173035                 NaN            NaN  0.174347E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.4039                 NaN  0.177830       0.417879                 NaN            NaN  0.433289E-003            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.4109                 NaN  0.413754       0.174919                 NaN            NaN  0.457757E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.4035                 NaN  0.177151       0.418871                 NaN            NaN  0.429440E-003            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.4251                 NaN  0.171065       0.403426                 NaN            NaN  0.397121E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.4174                 NaN  0.172824       0.409417                 NaN            NaN  0.375351E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4220                 NaN  0.172019       0.405563                 NaN            NaN  0.378538E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.4231                 NaN  0.170588       0.405971                 NaN            NaN  0.341266E-003            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4297                 NaN  0.170014       0.399929                 NaN            NaN  0.325337E-003  0.226486E-005            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4305                 NaN  0.399911       0.169240                 NaN            NaN  0.314992E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.4821                 NaN  0.516297                 NaN            NaN            NaN  0.162441E-002            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3800                 NaN  0.326313       0.293501                 NaN            NaN  0.137231E-003            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4471                 NaN  0.389535       0.163340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.4428                 NaN  0.167184       0.389059                 NaN            NaN  0.978465E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.4451                 NaN  0.386008       0.167542                 NaN            NaN  0.132029E-002            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.4459                 NaN  0.162463       0.391641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4520                 NaN  0.161994       0.385987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.4512                 NaN  0.161730       0.387103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.4552                 NaN  0.160098       0.384679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3632                 NaN  0.451480       0.185307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.9403                 NaN  0.176488E-001  0.420511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        98.3397                 NaN  0.609077       0.667776                 NaN            NaN            NaN            NaN  0.383471                 NaN            NaN            NaN
  1430.31        2500.00        98.5549                 NaN  0.577113       0.390617                 NaN            NaN            NaN            NaN  0.477325                 NaN            NaN            NaN
  1429.15        2500.00        98.3120                 NaN  0.523755       0.432584                 NaN            NaN            NaN  0.144017       0.587640                 NaN            NaN            NaN
  1427.99        2500.00        98.7738                 NaN  0.403823       0.231115                 NaN            NaN            NaN  0.153628       0.437617                 NaN            NaN            NaN
  1426.84        2500.00        98.5549                 NaN  0.483127       0.246802                 NaN            NaN            NaN  0.195737       0.519400                 NaN            NaN            NaN
  1425.68        2500.00        98.5896                 NaN  0.250906       0.470255                 NaN            NaN            NaN  0.184781       0.504502                 NaN            NaN            NaN
  1424.52        2500.00        98.6007                 NaN  0.242458       0.469343                 NaN            NaN            NaN  0.185823       0.501720                 NaN            NaN            NaN
  1423.37        2500.00        98.6190                 NaN  0.466146       0.232269                 NaN            NaN            NaN  0.186860       0.495766                 NaN            NaN            NaN
  1422.21        2500.00        98.6375                 NaN  0.224276       0.462609                 NaN            NaN            NaN  0.185939       0.489723                 NaN            NaN            NaN
  1421.05        2500.00        98.6457                 NaN  0.211219       0.468810                 NaN            NaN            NaN  0.186938       0.487329                 NaN            NaN            NaN
  1419.90        2500.00        98.6877                 NaN  0.446764       0.213631                 NaN            NaN            NaN  0.180876       0.471022                 NaN            NaN            NaN
  1418.74        2500.00        98.6914                 NaN  0.450181       0.203628                 NaN            NaN            NaN  0.183862       0.470903                 NaN            NaN            NaN
  1417.58        2500.00        98.7076                 NaN  0.446876       0.198107                 NaN            NaN            NaN  0.182252       0.465209                 NaN            NaN            NaN
  1416.43        2500.00        98.7268                 NaN  0.190469       0.442115                 NaN            NaN            NaN  0.181891       0.458694                 NaN            NaN            NaN
  1415.27        2500.00        98.4917                 NaN  0.530582       0.215800                 NaN            NaN            NaN  0.217967       0.543995                 NaN            NaN            NaN
  1414.11        2500.00        99.7884                 NaN  0.844528E-001  0.698185E-002            NaN            NaN  0.110322E-002  0.401766E-001  0.788481E-001            NaN            NaN            NaN
  1412.96        2500.00        97.9916                 NaN  0.694233       0.310516                 NaN            NaN            NaN  0.282189       0.721417                 NaN            NaN            NaN
  1411.80        2500.00        98.7884                 NaN  0.430459       0.164199                 NaN            NaN            NaN  0.179462       0.437480                 NaN            NaN            NaN
  1410.64        2500.00        98.8061                 NaN  0.155749       0.426104                 NaN            NaN            NaN  0.180267       0.431793                 NaN            NaN            NaN
  1409.49        2500.00        99.2489                 NaN  0.266191       0.101271                 NaN            NaN            NaN  0.111743       0.271913                 NaN            NaN            NaN
  1408.33        2500.00        98.3672                 NaN  0.269846       0.551262                 NaN            NaN            NaN  0.225881       0.585859                 NaN            NaN            NaN
  1407.17        2500.00        98.8846                 NaN  0.701481E-001  0.443969                 NaN            NaN            NaN  0.194172       0.407066                 NaN            NaN            NaN
  1406.02        2500.00        98.8623                 NaN  0.134399       0.415245                 NaN            NaN            NaN  0.176064       0.411979                 NaN            NaN            NaN
  1404.86        2500.00        98.8765                 NaN  0.128640       0.412285                 NaN            NaN            NaN  0.175529       0.407073                 NaN            NaN            NaN
  1403.70        2500.00        98.8892                 NaN  0.123542       0.409742                 NaN            NaN            NaN  0.174813       0.402737                 NaN            NaN            NaN
  1402.55        2500.00        98.9035                 NaN  0.118172       0.406487                 NaN            NaN            NaN  0.174286       0.397578                 NaN            NaN            NaN
  1401.39        2500.00        98.9161                 NaN  0.403648       0.113268                 NaN            NaN            NaN  0.173628       0.393312                 NaN            NaN            NaN
  1400.23        2500.00        98.9282                 NaN  0.108223       0.401861                 NaN            NaN            NaN  0.172740       0.388985                 NaN            NaN            NaN
  1399.08        2500.00        98.9300                 NaN  0.405892       0.976160E-001            NaN            NaN            NaN  0.176989       0.389475                 NaN            NaN            NaN
  1397.92        2500.00        98.9625                 NaN  0.388400       0.106358                 NaN            NaN            NaN  0.167102       0.375605                 NaN            NaN            NaN
  1396.76        2500.00        98.9660                 NaN  0.394353       0.937134E-001            NaN            NaN            NaN  0.170389       0.375554                 NaN            NaN            NaN
