|6.6.6
Archiving\03_Data\DeqLP/QFM/YM20/YM20_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.6918       0.308153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.6802       0.319825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.6685       0.331499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.6568       0.343176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.6451       0.354855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.6335       0.366536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.6218       0.378221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.6101       0.389907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5984       0.401597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5771       0.422917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5558       0.444242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5344       0.465572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5131       0.486906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4918       0.508246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4704       0.529590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.4491       0.550940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.4277       0.572294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3701       0.629871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3125       0.687464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2549       0.745074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1973       0.802699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1397       0.860340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0820       0.917997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0243       0.975670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.9666        1.03336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.8241        1.17590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.6815        1.31850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.5388        1.46116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.3961        1.60387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.2323        1.76626       0.149007E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.9692        2.01441       0.163404E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.6488        2.32035       0.308264E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.3282        2.62649       0.453226E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.8413        3.10022       0.584344E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.3541        3.57438       0.715585E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        95.8663        4.04896       0.846947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.3782        4.52396       0.978431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        94.8896        4.99939       0.111004                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.4006        5.47523       0.124176                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.9111        5.95149       0.137361                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        93.4213        6.42817       0.150557                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.8556        6.98211       0.162259                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        92.2894        7.53660       0.173973                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        91.7227        8.09162       0.185699                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        91.1554        8.64719       0.197436                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        90.5875        9.20329       0.209186                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.0191        9.75992       0.220946                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.4502        10.3171       0.232719                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        88.8807        10.8748       0.244503                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.3239        11.4208       0.255251                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        87.7666        11.9674       0.266009                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.2088        12.5145       0.276778                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        86.6504        13.0620       0.287557                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        86.0916        13.6101       0.298347                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        85.5322        14.1587       0.309146                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        84.9723        14.7077       0.319956                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        84.4119        15.2573       0.330775                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        83.8705        15.7888       0.340700                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        83.3286        16.3208       0.350635                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        82.7862        16.8532       0.360578                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        82.2434        17.3861       0.370529                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        81.7001        17.9194       0.380490                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        81.1563        18.4532       0.390460                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        80.6121        18.9875       0.400438                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        80.0674        19.5222       0.410425                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        79.5414        20.0389       0.419712                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        79.0149        20.5561       0.429008                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        78.4881        21.0736       0.438311                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        77.9608        21.5916       0.447621                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        77.4331        22.1100       0.456940                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        76.9049        22.6288       0.466265                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        76.3764        23.1480       0.475599                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        75.8474        23.6676       0.484940                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        75.3303        24.1761       0.493620                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        74.8127        24.6850       0.502307                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        74.2948        25.1942       0.511000                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        73.7765        25.7038       0.519700                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        73.2578        26.2138       0.528407                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        72.7388        26.7241       0.537120                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        72.2193        27.2348       0.545839                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        71.6995        27.7459       0.554565                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        71.1912        28.2461       0.562686                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        70.6826        28.7466       0.570812                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        70.1736        29.2474       0.578945                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        69.6643        29.7486       0.587082                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        69.1547        30.2501       0.595225                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        68.6447        30.7519       0.603374                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        68.1344        31.2541       0.611528                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        67.6238        31.7565       0.619687                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        67.1263        32.2463       0.627420                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        66.6285        32.7363       0.635158                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        66.1304        33.2267       0.642900                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        65.6320        33.7173       0.650647                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        65.1334        34.2082       0.658398                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        64.6344        34.6994       0.666154                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        64.1352        35.1909       0.673915                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        63.6357        35.6826       0.681680                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        63.1537        36.1575       0.688751                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        62.6715        36.6327       0.695826                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        62.1890        37.1081       0.702905                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        61.7063        37.5837       0.709987                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        61.2233        38.0596       0.717072                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        60.7401        38.5357       0.724161                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        60.2567        39.0120       0.731253                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        59.7731        39.4886       0.738348                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        59.3125        39.9421       0.745354                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        58.8517        40.3959       0.752363                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        58.3908        40.8499       0.759375                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        57.9296        41.3040       0.766389                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        57.4683        41.7583       0.773407                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        57.0068        42.2128       0.780427                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        56.5451        42.6674       0.787449                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        56.0833        43.1223       0.794475                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        55.6510        43.5479       0.801070                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        55.2186        43.9738       0.807668                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        54.7860        44.3997       0.814268                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        54.3534        44.8258       0.820870                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        53.9206        45.2520       0.827473                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        53.4877        45.6783       0.834079                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        53.0546        46.1047       0.840686                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        52.6215        46.5312       0.847296                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        52.2072        46.9390       0.853832                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        51.5267        47.2591       0.857109       0.357152                 NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        50.2691        47.3780       0.851559        1.50141                 NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        49.0078        47.4971       0.845990        2.64906                 NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        47.8892        47.5971       0.840528        3.67315                 NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        46.7678        47.6972       0.835051        4.69995                 NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        45.6434        47.7976       0.829557        5.72947                 NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        44.5162        47.8981       0.824047        6.76171                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        43.6072        47.9707       0.817980        7.60414                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        42.6963        48.0434       0.811898        8.44839                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        41.7835        48.1163       0.805803        9.29446                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        40.8688        48.1892       0.799692        10.1424                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        39.9522        48.2622       0.793568        10.9921                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        39.0336        48.3353       0.787428        11.8437                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        38.1132        48.4084       0.781275        12.6971                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        37.1909        48.4817       0.775107        13.5523                 NaN            NaN            NaN            NaN            NaN
