|6.6.6
Archiving\03_Data\DeqLP/QFM/YM20/YM20_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.6472       0.352850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.6346       0.365377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.6221       0.377905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.6096       0.390432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5970       0.402959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5845       0.415486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5720       0.428013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5595       0.440540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5469       0.453067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5240       0.475967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5011       0.498867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.4782       0.521766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.4553       0.544665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4324       0.567564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4095       0.590463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3866       0.613362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3637       0.636260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3019       0.698071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2401       0.759881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1783       0.821691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1165       0.883500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0547       0.945309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9929        1.00712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9311        1.06893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.8693        1.13073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.7162        1.28376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.5632        1.43678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.4102        1.58980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.2572        1.74282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.0808        1.91699       0.218233E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.7930        2.18308       0.239248E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.4438        2.51112       0.451192E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.0945        2.83917       0.663136E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.5663        3.34818       0.855273E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.0381        3.85719       0.104741                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        95.5098        4.36622       0.123956                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        94.9816        4.87525       0.143170                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        94.4533        5.38429       0.162385                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        93.9251        5.89333       0.181601                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.3968        6.40239       0.200816                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        92.8685        6.91145       0.220032                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.2565        7.50630       0.237154                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.6446        8.10116       0.254277                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        91.0326        8.69604       0.271400                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        90.4205        9.29094       0.288523                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        89.8085        9.88585       0.305647                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        89.1965        10.4808       0.322771                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        88.5844        11.0757       0.339896                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        87.9723        11.6707       0.357021                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        87.3705        12.2568       0.372734                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        86.7687        12.8429       0.388448                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        86.1668        13.4290       0.404162                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        85.5650        14.0152       0.419877                 NaN            NaN            NaN            NaN            NaN            NaN
