|6.6.6
Archiving\03_Data\eqLP/QFM_m0.25/TAY13/TAY13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.3489       0.210931       0.440207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3413       0.218478       0.440205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3338       0.226024       0.440203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3262       0.233571       0.440201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3187       0.241117       0.440199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3111       0.248663       0.440198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3036       0.256210       0.440196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2961       0.263756       0.440194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2885       0.271302       0.440192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2753       0.284514       0.440190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2621       0.297726       0.440188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2489       0.310937       0.440186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2357       0.324149       0.440184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2225       0.337360       0.440182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2092       0.350572       0.440180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1960       0.363783       0.440178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1828       0.376994       0.440175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1434       0.416470       0.440174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1039       0.455946       0.440172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0644       0.495422       0.440170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0249       0.534897       0.440168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.9855       0.574372       0.440166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9460       0.613846       0.440164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9065       0.653321       0.440162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.8670       0.692794       0.440160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.6806       0.879238       0.440160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.4942        1.06568       0.440160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.3077        1.25212       0.440160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.1213        1.43857       0.440159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.9348        1.62501       0.440159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.7484        1.81145       0.440159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.5619        1.99789       0.440159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.3755        2.18434       0.440159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.8571        2.70269       0.440163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.3388        3.22105       0.440167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        95.8204        3.73942       0.440171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.3020        4.25780       0.440175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        94.6599        4.89994       0.440181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.0177        5.54209       0.440187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.3559        6.20390       0.440194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        92.6807        6.87494       0.440200       0.417505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        91.9820        7.55598       0.440207       0.218309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.2833        8.23703       0.440213       0.394872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.1344        10.0275       0.731056E-001  0.868706E-001  0.678067                 NaN            NaN            NaN            NaN            NaN            NaN
