|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4840                 NaN  0.516009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.1497                 NaN  0.840370       0.989903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.1595                 NaN  0.823768       0.167709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.1688                 NaN  0.806454       0.247325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.1696                 NaN  0.806913       0.234472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.1948                 NaN  0.780855       0.243834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.1963                 NaN  0.779042       0.246420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.2015                 NaN  0.777433       0.210275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.1691                 NaN  0.809499       0.213784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.2598                 NaN  0.716480       0.237149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.2297                 NaN  0.754420       0.158597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.2361                 NaN  0.744875       0.189756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.2428                 NaN  0.739251       0.179684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.2514                 NaN  0.730829       0.177733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.2488                 NaN  0.733995       0.171990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        98.8848                 NaN   1.08787       0.273506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.6576                 NaN  0.334437       0.797791E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.2884                 NaN  0.697072       0.145316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.2864                 NaN  0.700017       0.135540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.2931                 NaN  0.693679       0.132571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.2996                 NaN  0.688278       0.121203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.4519                 NaN  0.538899       0.920850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.1631                 NaN  0.824549       0.123100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3166                 NaN  0.675711       0.769100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.3251                 NaN  0.666134       0.872765E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3302                 NaN  0.661697       0.807509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3353                 NaN  0.657629       0.707710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.3425                 NaN  0.650351       0.713047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
