|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.180316E-001   99.9309       0.614929E-002  0.449019E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.608496E-003   99.3683       0.183151       0.447888                 NaN  0.464662E-005            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.575677E-003   99.3729       0.182542       0.444017                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.555263E-003   99.3756       0.182386       0.441418                 NaN  0.248473E-005            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.440646E-003   99.3753       0.116767       0.470147                 NaN  0.373112E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.106187E-003   99.8604       0.359606E-001  0.101153                 NaN  0.238537E-002            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.867242E-003   98.9223       0.761507       0.315296                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.455959E-003   99.3893       0.178512       0.431726                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.410045E-003   99.3704       0.146123       0.461268                 NaN  0.218020E-001            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.641808E-004   99.9788       0.461422E-002  0.165139E-001            NaN  0.417345E-004            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.631803E-003   98.8568       0.839707       0.258044                 NaN  0.447887E-001            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.327236E-003   99.4081       0.435280       0.134037                 NaN  0.222550E-001            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.308330E-003   99.4112       0.134278       0.432515                 NaN  0.216931E-001            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.296716E-003   99.4118       0.135363       0.431631                 NaN  0.209273E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.271768E-003   99.4182       0.133219       0.427212                 NaN  0.210811E-001            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.494553E-003   98.7953       0.887864       0.274612                 NaN  0.417255E-001            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.696458E-005   99.9832       0.491379E-002  0.118595E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.238934E-004   99.9356       0.136959E-001  0.478457E-001            NaN  0.287846E-002            NaN            NaN            NaN            NaN
  1440.72        2500.00                 NaN   99.9971       0.563191E-003  0.219701E-002            NaN  0.127783E-003            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.617472E-003   98.4090       0.373673        1.16509                 NaN  0.515950E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.185936E-003   99.3891       0.144411       0.447166                 NaN  0.191863E-001            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.146502E-003   99.4787       0.123966       0.381235                 NaN  0.159346E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.147130E-003   99.4374       0.134211       0.411401                 NaN  0.168633E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.151980E-003   99.4378       0.144688       0.406900                 NaN  0.104830E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.108325E-003   99.4437       0.410924       0.123478                 NaN  0.217689E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.110054E-003   99.4435       0.137687       0.405128                 NaN  0.135734E-001            NaN            NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.6071       0.244723       0.513540                 NaN  0.173811       0.460785                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.4483       0.525926       0.268874                 NaN  0.203657       0.553232                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.4669       0.258113       0.523587                 NaN  0.204071       0.547350                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.4872       0.519486       0.249315                 NaN  0.203453       0.540500                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4789       0.205965       0.560158                 NaN  0.212688       0.542248                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5633       0.265218       0.463776                 NaN  0.191548       0.516115                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5483       0.506273       0.224285                 NaN  0.201441       0.519718                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5692       0.216047       0.501340                 NaN  0.200732       0.512649                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5861       0.498762       0.207662                 NaN  0.200474       0.507016                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6006       0.495853       0.200441                 NaN  0.200406       0.502666                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6255       0.192918       0.490109                 NaN  0.198180       0.493250                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6450       0.486004       0.184270                 NaN  0.197960       0.486773                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5369       0.167593       0.551252                 NaN  0.215661       0.528626                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.7983       0.431614       0.160635                 NaN  0.178780       0.430675                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6941       0.477120       0.162792                 NaN  0.196220       0.469805                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.7078       0.156320       0.474331                 NaN  0.196150       0.465431                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7235       0.148848       0.472411                 NaN  0.195174       0.460018                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7441       0.467098       0.141741                 NaN  0.194280       0.452826                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7544       0.466204       0.135783                 NaN  0.194319       0.449258                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7722       0.461717       0.129492                 NaN  0.193380       0.443185                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7868       0.459227       0.123014                 NaN  0.192788       0.438155                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.8008       0.116066       0.457660                 NaN  0.192085       0.433341                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.4068       0.613229       0.147625                 NaN  0.257127       0.575200                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   99.2235       0.711814E-001  0.299143                 NaN  0.126119       0.280010                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8415       0.449971       0.988078E-001            NaN  0.190272       0.419441                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8588       0.917029E-001  0.447790                 NaN  0.188905       0.412775                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.8672       0.447805       0.856810E-001            NaN  0.189150       0.410174                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.8821       0.816919E-001  0.443700                 NaN  0.187812       0.404728                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8948       0.441760       0.757865E-001            NaN  0.187257       0.400440                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9065       0.711028E-001  0.439168                 NaN  0.186767       0.396459                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.7956       0.726229E-001  0.487633                 NaN  0.207230       0.436873                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   99.0529       0.387524       0.522623E-001            NaN  0.164087       0.343196                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9441       0.433893       0.548913E-001            NaN  0.184131       0.382961                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9525       0.433164       0.496845E-001            NaN  0.184381       0.380309                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.9676       0.457103E-001  0.430062                 NaN  0.182171       0.374467                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.9758       0.431309       0.380199E-001            NaN  0.182905       0.371938                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.9873       0.383232E-001  0.424951                 NaN  0.181588       0.367882                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0034       0.423076       0.326616E-001            NaN  0.179281       0.361604                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0099       0.262752E-001  0.424837                 NaN  0.179416       0.359528                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0193       0.425233       0.206164E-001            NaN  0.178651       0.356182                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0156       0.385093       0.873648E-001            NaN  0.158696       0.353294                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0407       0.164696E-001  0.418241                 NaN  0.176576       0.348050                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0539       0.423608                 NaN            NaN  0.178451       0.343992                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0068       0.204488       0.375474                 NaN  0.738522E-001  0.339396                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.0735       0.413563                 NaN            NaN  0.176126       0.336854                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0811       0.408766                 NaN            NaN  0.175897       0.334213                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0868       0.403660                 NaN            NaN  0.177150       0.332391                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0996       0.404691                 NaN            NaN  0.169564       0.326159                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.1106       0.392270                 NaN            NaN  0.173144       0.323959                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0853       0.177871       0.298995                 NaN  0.116891       0.320919                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.1263       0.392329                 NaN            NaN  0.165601       0.315801                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.1328       0.387485                 NaN            NaN  0.165590       0.314162                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.1392       0.386352                 NaN            NaN  0.162907       0.311580                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.1484       0.386237                 NaN            NaN  0.158365       0.307011                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.1565       0.378427                 NaN            NaN  0.160329       0.304785                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.1418       0.120734       0.314263                 NaN  0.121455       0.301722                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.1761       0.371368                 NaN            NaN  0.155757       0.296748                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.1789       0.371018                 NaN            NaN  0.154285       0.295781                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1875       0.366438                 NaN            NaN  0.153566       0.292513                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1945       0.364977                 NaN            NaN  0.151051       0.289481                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.2021       0.361027                 NaN            NaN  0.150142       0.286683                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.2072       0.357463                 NaN            NaN  0.150055       0.285245                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.2164       0.354045                 NaN            NaN  0.148374       0.281226                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.4254       0.247084                 NaN            NaN  0.117110       0.210367                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0256       0.449709                 NaN            NaN  0.179651       0.345062                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.2320       0.349205                 NaN            NaN  0.143340       0.275439                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.2478       0.346706                 NaN            NaN  0.137676       0.267843                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2498       0.346193                 NaN            NaN  0.136819       0.267228                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.2563       0.343861                 NaN            NaN  0.135287       0.264555                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.2622       0.341850                 NaN            NaN  0.133729       0.262213                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.2691       0.338830                 NaN            NaN  0.132549       0.259556                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.2753       0.336830                 NaN            NaN  0.130920       0.256991                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2812       0.334755                 NaN            NaN  0.129333       0.254743                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.2844       0.338547                 NaN            NaN  0.124449       0.252582                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.2953       0.328371                 NaN            NaN  0.127283       0.249045                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2991       0.328797                 NaN            NaN  0.124789       0.247278                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.3049       0.327890                 NaN            NaN  0.122295       0.244953                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.3099       0.326317                 NaN            NaN  0.121122       0.242708                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.3165       0.322768                 NaN            NaN  0.120390       0.240305                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.3220       0.322339                 NaN            NaN  0.117843       0.237863                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.3269       0.321659                 NaN            NaN  0.115692       0.235762                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.3315       0.322279                 NaN            NaN  0.112605       0.233638                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.3361       0.319118                 NaN            NaN  0.112947       0.231873                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.3442       0.314808                 NaN            NaN  0.112197       0.228834                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.3481       0.313639                 NaN            NaN  0.111023       0.227250                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.3402       0.330747                 NaN            NaN  0.100194       0.228816                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3658       0.310062                 NaN            NaN  0.104782       0.219371                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.3636       0.311401                 NaN            NaN  0.104546       0.220428                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.3618       0.313470                 NaN            NaN  0.103497       0.221198                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.3763       0.306592                 NaN            NaN  0.101761       0.215322                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.3772       0.307982                 NaN            NaN  0.100056       0.214799                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.3796       0.310535                 NaN            NaN  0.964861E-001  0.213388                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.3843       0.306531                 NaN            NaN  0.969163E-001  0.212262                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.3906       0.306297                 NaN            NaN  0.945794E-001  0.208483                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3952       0.302170                 NaN            NaN  0.949951E-001  0.207669                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3993       0.303137                 NaN            NaN  0.920668E-001  0.205515                 NaN            NaN            NaN
