|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.5/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q             
  1615.38        2500.00        99.9938       0.619589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.2255       0.770562       0.396521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        99.1570       0.758139       0.849058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.1624       0.742163       0.954460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.1778       0.729018       0.932272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.7583       0.214298       0.273583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        98.6145        1.23037       0.155156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.1983       0.711522       0.901526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.2071       0.704520       0.883703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.2128       0.699795       0.874316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.2234       0.690166       0.863889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.2279       0.687792       0.842829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.2368       0.680077       0.831527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2404       0.676896       0.827350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.2544       0.663993       0.816502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.2581       0.662050       0.798192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.2371       0.680264       0.826602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.3013       0.621416       0.773085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        99.2777       0.645952       0.763018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.2810       0.643675       0.753276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.2331       0.679602       0.872638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.3687       0.565476       0.658024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
