|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q             
  1615.38        2500.00        99.9931       0.694606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.1318       0.863609       0.454594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        99.0529       0.849781       0.973590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.0584       0.832097       0.109507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.0755       0.817553       0.106980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.7281       0.240501       0.314118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        98.4426        1.37937       0.178053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.0980       0.798423       0.103543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.1077       0.790769       0.101551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1139       0.785631       0.100498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.1256       0.775078       0.993493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.1305       0.772528       0.969690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.1403       0.764030       0.956969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.1442       0.760585       0.952576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.1596       0.746383       0.940427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.1637       0.744378       0.919658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.1397       0.765001       0.952655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.2116       0.699205       0.891479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        99.1851       0.726853       0.880279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.1887       0.724324       0.869323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.1341       0.765173       0.100704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.2873       0.636707       0.759919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.2138       0.702350       0.838984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.2217       0.695933       0.823959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.2262       0.693119       0.806423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.2359       0.684101       0.800337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.2405       0.680763       0.787757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.2449       0.678554       0.765667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.1910       0.726234       0.827584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.3220       0.608247       0.698001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        99.2320       0.707910       0.601083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
