|6.6.6
Archiving\03_Data\DeqLP/QFM_m3/K22/K22_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.9860       0.140194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9860       0.140198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9860       0.140203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.9860       0.140207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.9860       0.140212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.9860       0.140217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.9860       0.140221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.9860       0.140226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.9860       0.140231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.9860       0.140236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.9860       0.140240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.9860       0.140245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.9860       0.140250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.9860       0.140255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.9860       0.140260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.9860       0.140265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.8503       0.137102E-001  0.135982                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0265       0.117227E-001  0.961800                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.2016       0.973294E-002   1.78867                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        97.3757       0.774089E-002   2.61659                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        96.5487       0.574658E-002   3.44555                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        95.7637       0.382235E-002   4.23250                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        94.9777       0.189605E-002   5.02039                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        94.2129                 NaN   5.78710                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        93.5906                 NaN   6.40940                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        92.9521                 NaN   7.04794                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        92.3129                 NaN   7.68713                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        91.6730                 NaN   8.32698                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        91.0325                 NaN   8.96747                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        90.3914                 NaN   9.60860                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        89.7496                 NaN   10.2504                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        89.1072                 NaN   10.8928                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        88.4641                 NaN   11.5359                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        87.8228                 NaN   12.1706       0.660070E-002            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        87.1852                 NaN   12.7957       0.190523E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        86.5560                 NaN   13.4127       0.313371E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        85.9262                 NaN   14.0302       0.436353E-001            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        85.3137                 NaN   14.6309       0.554852E-001            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        84.7005                 NaN   15.2321       0.673477E-001            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        84.0868                 NaN   15.8340       0.792226E-001            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        83.4725                 NaN   16.4364       0.911099E-001            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        82.8910                 NaN   17.0068       0.102240                 NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        82.3089                 NaN   17.5777       0.113380                 NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        81.7263                 NaN   18.1492       0.124532                 NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        81.1431                 NaN   18.7212       0.135695                 NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        80.5594                 NaN   19.2937       0.146869                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        79.9752                 NaN   19.8667       0.158054                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        79.3905                 NaN   20.4402       0.169249                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        78.8053                 NaN   21.0142       0.180456                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        78.2596                 NaN   21.5496       0.190745                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        77.7135                 NaN   22.0855       0.201043                 NaN            NaN            NaN            NaN            NaN
