|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1458.33        2500.00        99.8499       0.139826                 NaN  0.103098E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00        99.3428       0.307933       0.348962                 NaN  0.283587E-003            NaN            NaN            NaN            NaN            NaN
  1456.03        2500.00        99.2626       0.469468       0.267835                 NaN  0.125431E-003            NaN            NaN            NaN            NaN            NaN
  1454.88        2500.00        99.2659       0.464862       0.268249                 NaN  0.999762E-003            NaN            NaN            NaN            NaN            NaN
  1453.74        2500.00        99.2689       0.465369       0.265741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        99.2732       0.453816       0.269351                 NaN  0.367248E-002            NaN            NaN            NaN            NaN            NaN
  1451.44        2500.00        99.2768       0.263140       0.460015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00        99.2785       0.264956       0.454757                 NaN  0.177561E-002            NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00        99.2841       0.455865       0.259989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        2500.00        99.2876       0.452686       0.259756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        2500.00        99.2900       0.259590       0.450061                 NaN  0.363478E-003            NaN            NaN            NaN            NaN            NaN
  1445.69        2500.00        99.2925       0.259572       0.447013                 NaN  0.950910E-003            NaN            NaN            NaN            NaN            NaN
  1444.55        2500.00        99.2407       0.479941       0.278405                 NaN  0.961749E-003            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        99.3532       0.408179       0.237782                 NaN  0.821890E-003            NaN            NaN            NaN            NaN            NaN
  1442.25        2500.00        99.3005       0.441939       0.256731                 NaN  0.876832E-003            NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00        99.3068       0.438078       0.254327                 NaN  0.816659E-003            NaN            NaN            NaN            NaN            NaN
  1439.95        2500.00        99.2436       0.477827       0.277658                 NaN  0.869852E-003            NaN            NaN            NaN            NaN            NaN
  1438.80        2500.00        99.8811       0.752464E-001  0.435345E-001            NaN  0.128530E-003            NaN            NaN            NaN            NaN            NaN
  1437.65        2500.00        99.9995       0.524068E-003            NaN            NaN  0.207690E-004            NaN            NaN            NaN            NaN            NaN
  1436.50        2500.00        98.1232       0.690222        1.18452                 NaN  0.203022E-002  0.121895E-004            NaN            NaN            NaN            NaN
  1435.36        2500.00        99.2385       0.481591       0.279160                 NaN  0.759356E-003            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00        99.4011       0.378117       0.220244                 NaN  0.551433E-003            NaN            NaN            NaN            NaN            NaN
  1433.06        2500.00        99.3237       0.248692       0.426955                 NaN  0.629708E-003  0.104562E-004            NaN            NaN            NaN            NaN
  1431.91        2500.00        99.3260       0.247647       0.425748                 NaN  0.588363E-003            NaN            NaN            NaN            NaN            NaN
  1430.76        2500.00        99.3283       0.246794       0.424380                 NaN  0.573953E-003            NaN            NaN            NaN            NaN            NaN
  1429.61        2500.00        99.3307       0.245821       0.422904                 NaN  0.548516E-003            NaN            NaN            NaN            NaN            NaN
  1428.46        2500.00        99.3328       0.245326       0.421381                 NaN  0.503369E-003            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.3350       0.244301       0.420207                 NaN  0.499465E-003            NaN            NaN            NaN            NaN            NaN
  1426.17        2500.00        99.3375       0.418619       0.243363                 NaN  0.473773E-003            NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00        99.3391       0.242991       0.417429                 NaN  0.447008E-003            NaN            NaN            NaN            NaN            NaN
  1423.87        2500.00        99.3421       0.415905       0.241558                 NaN  0.426570E-003            NaN            NaN            NaN            NaN            NaN
  1422.72        2500.00        99.3436       0.414885       0.241059                 NaN  0.414681E-003            NaN            NaN            NaN            NaN            NaN
  1421.57        2500.00        99.3459       0.413652       0.240106                 NaN  0.387343E-003            NaN            NaN            NaN            NaN            NaN
  1420.42        2500.00        99.3476       0.412554       0.239486                 NaN  0.359596E-003            NaN            NaN            NaN            NaN            NaN
  1419.27        2500.00        99.3496       0.411867       0.238153                 NaN  0.334841E-003            NaN            NaN            NaN            NaN            NaN
  1418.13        2500.00        99.3510       0.410519       0.238187                 NaN  0.328040E-003            NaN            NaN            NaN            NaN            NaN
  1416.98        2500.00        99.3535       0.236899       0.409290                 NaN  0.310476E-003            NaN            NaN            NaN            NaN            NaN
  1415.83        2500.00        99.3552       0.236460       0.408061                 NaN  0.298933E-003            NaN            NaN            NaN            NaN            NaN
  1414.68        2500.00        98.8368       0.411790       0.489229                 NaN  0.131503E-002            NaN  0.260844                 NaN            NaN            NaN
  1413.53        2500.00        98.6577       0.575095       0.413622                 NaN            NaN            NaN  0.353571                 NaN            NaN            NaN
  1412.38        2500.00        98.6598       0.421492       0.515507                 NaN            NaN  0.433469E-001  0.359856                 NaN            NaN            NaN
  1411.23        2500.00        98.6492       0.252964       0.465342                 NaN            NaN  0.236014       0.396443                 NaN            NaN            NaN
  1410.08        2500.00        98.5998       0.480316       0.263591                 NaN            NaN  0.246528       0.409799                 NaN            NaN            NaN
