|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1458.33        2500.00        99.8701       0.121054                 NaN  0.886301E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00        99.4280       0.269562       0.302205                 NaN  0.184649E-003            NaN            NaN            NaN            NaN            NaN
  1456.03        2500.00        99.3572       0.410868       0.231852                 NaN  0.817238E-004            NaN            NaN            NaN            NaN            NaN
  1454.88        2500.00        99.3605       0.406730       0.232126                 NaN  0.651754E-003            NaN            NaN            NaN            NaN            NaN
  1453.74        2500.00        99.3631       0.407008       0.229856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        99.3680       0.396766       0.232850                 NaN  0.239583E-002            NaN            NaN            NaN            NaN            NaN
  1451.44        2500.00        99.3705       0.227394       0.402092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00        99.3726       0.228858       0.397348                 NaN  0.115973E-002            NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00        99.3773       0.398213       0.224477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        2500.00        99.3806       0.395279       0.224169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        2500.00        99.3830       0.223927       0.392852                 NaN  0.237761E-003            NaN            NaN            NaN            NaN            NaN
  1445.69        2500.00        99.3855       0.223802       0.390045                 NaN  0.622312E-003            NaN            NaN            NaN            NaN            NaN
  1444.55        2500.00        99.3409       0.418571       0.239915                 NaN  0.629143E-003            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        99.4388       0.355865       0.204794                 NaN  0.538379E-003            NaN            NaN            NaN            NaN            NaN
  1442.25        2500.00        99.3931       0.385245       0.221073                 NaN  0.574577E-003            NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00        99.3989       0.381667       0.218851                 NaN  0.535310E-003            NaN            NaN            NaN            NaN            NaN
  1439.95        2500.00        99.3444       0.416179       0.238822                 NaN  0.570647E-003            NaN            NaN            NaN            NaN            NaN
  1438.80        2500.00        99.8971       0.654629E-001  0.373949E-001            NaN  0.842677E-004            NaN            NaN            NaN            NaN            NaN
  1437.65        2500.00        99.9995       0.455806E-003            NaN            NaN  0.136003E-004            NaN            NaN            NaN            NaN            NaN
  1436.50        2500.00        98.3727       0.593782        1.03219                 NaN  0.133609E-002  0.981455E-005            NaN            NaN            NaN            NaN
  1435.36        2500.00        99.3410       0.418848       0.239696                 NaN  0.499301E-003            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00        99.4820       0.328698       0.188974                 NaN  0.362682E-003            NaN            NaN            NaN            NaN            NaN
  1433.06        2500.00        99.4153       0.213290       0.371037                 NaN  0.414336E-003  0.838880E-005            NaN            NaN            NaN            NaN
  1431.91        2500.00        99.4175       0.212287       0.369835                 NaN  0.387462E-003            NaN            NaN            NaN            NaN            NaN
  1430.76        2500.00        99.4197       0.211443       0.368497                 NaN  0.378116E-003            NaN            NaN            NaN            NaN            NaN
  1429.61        2500.00        99.4220       0.210510       0.367079                 NaN  0.361469E-003            NaN            NaN            NaN            NaN            NaN
  1428.46        2500.00        99.4241       0.209978       0.365617                 NaN  0.331980E-003            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.4263       0.208979       0.364425                 NaN  0.329532E-003            NaN            NaN            NaN            NaN            NaN
  1426.17        2500.00        99.4287       0.362923       0.208088                 NaN  0.312796E-003            NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00        99.4303       0.207678       0.361773                 NaN  0.295337E-003            NaN            NaN            NaN            NaN            NaN
  1423.87        2500.00        99.4331       0.360270       0.206328                 NaN  0.281920E-003            NaN            NaN            NaN            NaN            NaN
  1422.72        2500.00        99.4347       0.359251       0.205807                 NaN  0.274260E-003            NaN            NaN            NaN            NaN            NaN
  1421.57        2500.00        99.4368       0.358039       0.204884                 NaN  0.256304E-003            NaN            NaN            NaN            NaN            NaN
  1420.42        2500.00        99.4386       0.356934       0.204243                 NaN  0.238113E-003            NaN            NaN            NaN            NaN            NaN
  1419.27        2500.00        99.4405       0.356238       0.203038                 NaN  0.221822E-003            NaN            NaN            NaN            NaN            NaN
  1418.13        2500.00        99.4420       0.354870       0.202913                 NaN  0.217452E-003            NaN            NaN            NaN            NaN            NaN
  1416.98        2500.00        99.4444       0.201720       0.353656                 NaN  0.205945E-003            NaN            NaN            NaN            NaN            NaN
  1415.83        2500.00        99.4461       0.201233       0.352450                 NaN  0.198402E-003            NaN            NaN            NaN            NaN            NaN
  1414.68        2500.00        98.9512       0.355599       0.416208                 NaN  0.873058E-003            NaN  0.276170                 NaN            NaN            NaN
  1413.53        2500.00        98.7795       0.489035       0.357064                 NaN            NaN            NaN  0.374357                 NaN            NaN            NaN
  1412.38        2500.00        98.7830       0.363668       0.438087                 NaN            NaN  0.343012E-001  0.380980                 NaN            NaN            NaN
  1411.23        2500.00        98.7775       0.214956       0.401281                 NaN            NaN  0.186599       0.419618                 NaN            NaN            NaN
  1410.08        2500.00        98.7343       0.413897       0.223659                 NaN            NaN  0.194473       0.433647                 NaN            NaN            NaN
  1408.94        2500.00        98.7761       0.401018       0.211913                 NaN            NaN  0.190724       0.420206                 NaN            NaN            NaN
  1407.79        2500.00        98.7899       0.397880       0.206433                 NaN            NaN  0.190314       0.415460                 NaN            NaN            NaN
  1406.64        2500.00        98.8024       0.394799       0.200945                 NaN            NaN  0.190407       0.411453                 NaN            NaN            NaN
  1405.49        2500.00        98.8155       0.391676       0.195784                 NaN            NaN  0.190012       0.407033                 NaN            NaN            NaN
  1404.34        2500.00        98.8281       0.189904       0.388767                 NaN            NaN  0.190053       0.403126                 NaN            NaN            NaN
  1403.19        2500.00        98.8406       0.385813       0.185000                 NaN            NaN  0.189722       0.398900                 NaN            NaN            NaN
  1402.04        2500.00        98.8529       0.382564       0.180023                 NaN            NaN  0.189648       0.394882                 NaN            NaN            NaN
  1400.90        2500.00        98.8652       0.379004       0.175283                 NaN            NaN  0.189584       0.390958                 NaN            NaN            NaN
  1399.75        2500.00        98.8773       0.170154       0.376478                 NaN            NaN  0.189160       0.386910                 NaN            NaN            NaN
  1398.60        2500.00        98.6025       0.209381       0.468285                 NaN  0.501337E-004  0.237744       0.481998                 NaN            NaN            NaN
  1397.45        2500.00        99.1893       0.117063       0.273500                 NaN            NaN  0.140319       0.279769                 NaN            NaN            NaN
  1396.30        2500.00        98.9111       0.156102       0.368331                 NaN            NaN  0.188698       0.375789                 NaN            NaN            NaN
  1395.15        2500.00        98.9224       0.151246       0.365690                 NaN            NaN  0.188548       0.372117                 NaN            NaN            NaN
  1394.00        2500.00        98.9322       0.146505       0.363590                 NaN            NaN  0.188637       0.369088                 NaN            NaN            NaN
  1392.85        2500.00        98.9451       0.360259       0.142068                 NaN            NaN  0.187917       0.364655                 NaN            NaN            NaN
  1391.71        2500.00        98.9546       0.357888       0.138364                 NaN            NaN  0.187843       0.361265                 NaN            NaN            NaN
  1390.56        2500.00        98.9638       0.134057       0.355948                 NaN            NaN  0.187807       0.358353                 NaN            NaN            NaN
  1389.41        2500.00        98.9743       0.353302       0.130029                 NaN            NaN  0.187511       0.354900                 NaN            NaN            NaN
  1388.26        2500.00        98.9843       0.125986       0.350773                 NaN            NaN  0.187323       0.351587                 NaN            NaN            NaN
  1387.11        2500.00        98.9940       0.348474       0.122012                 NaN            NaN  0.187099       0.348425                 NaN            NaN            NaN
  1385.96        2500.00        97.4472       0.928417       0.236936                 NaN            NaN  0.507629       0.879771                 NaN            NaN            NaN
  1384.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1383.66        2500.00        99.4708       0.146674       0.150244                 NaN            NaN  0.595084E-001  0.172728                 NaN            NaN            NaN
  1382.52        2500.00        99.0329       0.339154       0.107041                 NaN            NaN  0.185576       0.335366                 NaN            NaN            NaN
  1381.37        2500.00        99.0420       0.336904       0.103887                 NaN            NaN  0.185075       0.332161                 NaN            NaN            NaN
  1380.22        2500.00        99.0504       0.334828       0.100735                 NaN            NaN  0.184768       0.329281                 NaN            NaN            NaN
  1379.07        2500.00        99.3705       0.639421E-001  0.223798                 NaN            NaN  0.123212       0.218576                 NaN            NaN            NaN
  1377.92        2500.00        98.7537       0.441099       0.127552                 NaN            NaN  0.245385       0.432263                 NaN            NaN            NaN
  1376.77        2500.00        99.0766       0.328705       0.909665E-001            NaN            NaN  0.183518       0.320166                 NaN            NaN            NaN
  1375.62        2500.00        99.0844       0.326763       0.879493E-001            NaN            NaN  0.183226       0.317677                 NaN            NaN            NaN
  1374.48        2500.00        99.0923       0.324375       0.850898E-001            NaN            NaN  0.183178       0.315085                 NaN            NaN            NaN
  1373.33        2500.00        99.1003       0.814065E-001  0.323168                 NaN            NaN  0.182715       0.312401                 NaN            NaN            NaN
  1372.18        2500.00        99.1089       0.321133       0.793907E-001            NaN            NaN  0.181552       0.309034                 NaN            NaN            NaN
  1371.03        2500.00        99.1097       0.323126       0.719936E-001            NaN            NaN  0.184886       0.310298                 NaN            NaN            NaN
  1369.88        2500.00        99.1132       0.318828       0.731771E-001            NaN            NaN  0.185170       0.309581                 NaN            NaN            NaN
  1368.73        2500.00        99.1485       0.311186       0.744743E-001            NaN            NaN  0.173179       0.292676                 NaN            NaN            NaN
  1367.58        2500.00        99.1377       0.683768E-001  0.314447                 NaN            NaN  0.180258       0.299230                 NaN            NaN            NaN
  1366.43        2500.00        99.1459       0.312483       0.662769E-001            NaN            NaN  0.179195       0.296173                 NaN            NaN            NaN
  1365.29        2500.00        99.1527       0.311138       0.631481E-001            NaN            NaN  0.179054       0.293943                 NaN            NaN            NaN
  1364.14        2500.00        99.1605       0.308456       0.616800E-001            NaN            NaN  0.178232       0.291137                 NaN            NaN            NaN
  1362.99        2500.00        99.1622       0.311233       0.565854E-001            NaN            NaN  0.178875       0.291089                 NaN            NaN            NaN
  1361.84        2500.00        98.7188       0.471157       0.931470E-001            NaN            NaN  0.273314       0.443581                 NaN            NaN            NaN
  1360.69        2500.00        99.6357       0.242626E-001  0.136827                 NaN            NaN  0.780070E-001  0.125227                 NaN            NaN            NaN
  1359.54        2500.00        99.5629       0.278718E-001  0.241494                 NaN            NaN  0.494699E-001  0.118252                 NaN            NaN            NaN
  1358.39        2500.00        98.8139       0.833137E-001  0.358951                 NaN            NaN  0.300372       0.443421                 NaN            NaN            NaN
  1357.24        2500.00        99.1985       0.299946       0.502212E-001            NaN            NaN  0.174032       0.277266                 NaN            NaN            NaN
  1356.10        2500.00        99.2060       0.297829       0.483883E-001            NaN            NaN  0.173150       0.274624                 NaN            NaN            NaN
  1354.95        2500.00        99.2123       0.296716       0.462979E-001            NaN            NaN  0.172426       0.272307                 NaN            NaN            NaN
  1353.80        2500.00        99.2190       0.446887E-001  0.294802                 NaN            NaN  0.171599       0.269875                 NaN            NaN            NaN
  1352.65        2500.00        99.2242       0.293686       0.435923E-001            NaN            NaN  0.170689       0.267875                 NaN            NaN            NaN
  1351.50        2500.00        99.2300       0.428367E-001  0.292031                 NaN            NaN  0.169532       0.265550                 NaN            NaN            NaN
  1350.35        2500.00        99.2367       0.290063       0.411179E-001            NaN            NaN  0.168811       0.263297                 NaN            NaN            NaN
  1349.20        2500.00        99.2421       0.289137       0.394758E-001            NaN            NaN  0.168091       0.261233                 NaN            NaN            NaN
  1348.06        2500.00        99.2481       0.287103       0.388876E-001            NaN            NaN  0.166820       0.259073                 NaN            NaN            NaN
  1346.91        2500.00        99.2533       0.285893       0.384130E-001            NaN            NaN  0.165581       0.256812                 NaN            NaN            NaN
  1345.76        2500.00        99.2574       0.366968E-001  0.285261                 NaN            NaN  0.165161       0.255531                 NaN            NaN            NaN
  1344.61        2500.00        99.2657       0.364790E-001  0.282453                 NaN            NaN  0.163221       0.252178                 NaN            NaN            NaN
  1343.46        2500.00        99.2694       0.281813       0.358743E-001            NaN            NaN  0.162282       0.250593                 NaN            NaN            NaN
  1342.31        2500.00        99.2751       0.279889       0.348065E-001            NaN            NaN  0.161516       0.248681                 NaN            NaN            NaN
  1341.16        2500.00        99.2801       0.348616E-001  0.278684                 NaN            NaN  0.159904       0.246448                 NaN            NaN            NaN
  1340.01        2500.00        99.2806       0.276476       0.395207E-001            NaN            NaN  0.157661       0.245708                 NaN            NaN            NaN
  1338.87        2500.00        99.2921       0.308828E-001  0.276470                 NaN            NaN  0.158592       0.241989                 NaN            NaN            NaN
  1337.72        2500.00        99.2947       0.337422E-001  0.274596                 NaN            NaN  0.156271       0.240704                 NaN            NaN            NaN
  1336.57        2500.00        99.3000       0.335579E-001  0.272849                 NaN            NaN  0.154970       0.238600                 NaN            NaN            NaN
  1335.42        2500.00        99.3041       0.332719E-001  0.271745                 NaN            NaN  0.153884       0.236985                 NaN            NaN            NaN
  1334.27        2500.00        99.3094       0.336165E-001  0.270389                 NaN            NaN  0.151931       0.234670                 NaN            NaN            NaN
  1333.12        2500.00        99.3137       0.268831       0.337587E-001            NaN            NaN  0.150717       0.232946                 NaN            NaN            NaN
  1331.97        2500.00        99.2893       0.280355       0.473223E-001            NaN  0.164976E-001  0.131390       0.235156                 NaN            NaN            NaN
  1330.82        2500.00        99.1994       0.323817       0.891786E-001            NaN  0.709400E-001  0.705425E-001  0.246103                 NaN            NaN            NaN
  1329.68        2500.00        99.2034       0.323433       0.897195E-001            NaN  0.720022E-001  0.673107E-001  0.244121                 NaN            NaN            NaN
  1328.53        2500.00        99.2080       0.322941       0.898091E-001            NaN  0.727186E-001  0.644730E-001  0.242072                 NaN            NaN            NaN
  1327.38        2500.00        99.2137       0.321391       0.899677E-001            NaN  0.730436E-001  0.619926E-001  0.239866                 NaN            NaN            NaN
