|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        92.8630        4.36965        2.76738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.1675       0.523690       0.308815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1733       0.306799       0.519867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1784       0.304033       0.517611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1665       0.308466       0.525024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2079       0.499109       0.292975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1948       0.298032       0.507198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2007       0.503769       0.295540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1602       0.308320       0.530651                 NaN  0.845068E-003            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2534       0.276480       0.470131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2150       0.495690       0.289308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2212       0.491623       0.287137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1740       0.303907       0.522115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.9274       0.461673E-001  0.264070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.5920       0.518696       0.889327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        97.8247       0.885272       0.713642                 NaN            NaN  0.576361                 NaN            NaN            NaN            NaN
  1433.80        500.000        97.5089        1.01412       0.795532                 NaN            NaN  0.681434                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.9692       0.647930       0.826933                 NaN            NaN  0.555950                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.7981       0.896782       0.702554                 NaN            NaN  0.602611                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.8311       0.693136       0.882531                 NaN            NaN  0.593226                 NaN            NaN            NaN            NaN
  1429.27        500.000        97.8739       0.680104       0.864401                 NaN            NaN  0.581610                 NaN            NaN            NaN            NaN
