|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        93.7689        3.83156        2.39955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2796       0.455080       0.265338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2849       0.263498       0.451616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2895       0.260973       0.449485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2796       0.264667       0.455752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.3157       0.433060       0.251223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.3046       0.255457       0.439955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3100       0.436790       0.253167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2760       0.263829       0.459671                 NaN  0.548960E-003            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3561       0.236613       0.407304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3232       0.429305       0.247458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3290       0.425578       0.245457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2883       0.259723       0.451954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.9376       0.399047E-001  0.225219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.7872       0.443121       0.769647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        98.0227       0.755816       0.617323                 NaN            NaN  0.604160                 NaN            NaN            NaN            NaN
  1433.80        500.000        97.7322       0.865369       0.687956                 NaN            NaN  0.714456                 NaN            NaN            NaN            NaN
  1432.67        500.000        98.1528       0.559793       0.704811                 NaN            NaN  0.582626                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.9978       0.763896       0.606746                 NaN            NaN  0.631597                 NaN            NaN            NaN            NaN
  1430.40        500.000        98.0289       0.598255       0.751163                 NaN            NaN  0.621709                 NaN            NaN            NaN            NaN
  1429.27        500.000        98.0686       0.586681       0.735207                 NaN            NaN  0.609473                 NaN            NaN            NaN            NaN
