|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1564.10        2500.00       0.789053E-002   99.9728       0.192743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00       0.131611E-003   99.4612       0.487056       0.516229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        2500.00                 NaN   99.4475       0.498763       0.537703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00                 NaN   99.4492       0.491695       0.590633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        2500.00                 NaN   99.4582       0.497900       0.439119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.4591       0.489254       0.516626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        2500.00                 NaN   99.4648       0.484666       0.505214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.4680       0.481995       0.499731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4722       0.477594       0.501760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.4757       0.475607       0.486774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        2500.00                 NaN   99.4792       0.472906       0.479207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   99.0952       0.818786       0.860209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        2500.00                 NaN   99.8344       0.149689       0.158786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.9217       0.712396E-001  0.703216E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        2500.00                 NaN   99.1044       0.814938       0.806788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.4990       0.456589       0.444164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        2500.00                 NaN   99.5041       0.451222       0.447063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.5045       0.451481       0.440428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        2500.00                 NaN   99.5079       0.449001       0.431139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00                 NaN   99.5114       0.445352       0.432009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        2500.00                 NaN   99.5138       0.444452       0.417137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.5175       0.441234       0.412427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        2500.00                 NaN   99.5209       0.438343       0.407112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.5242       0.434892       0.409444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        2500.00                 NaN   99.5267       0.433473       0.398726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.4582       0.216354       0.480272E-002            NaN  0.320674                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        2500.00                 NaN   99.4119       0.283706       0.100726E-001            NaN  0.294285                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4019                 NaN            NaN            NaN  0.598076                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        2500.00                 NaN   99.3403                 NaN            NaN            NaN  0.659676                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.6512                 NaN            NaN            NaN  0.348771                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00                 NaN   99.2139                 NaN  0.153525E-001            NaN  0.770777                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.4038                 NaN            NaN            NaN  0.596221                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.4035                 NaN            NaN            NaN  0.596474                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.4016                 NaN            NaN            NaN  0.598416                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.4018                 NaN            NaN            NaN  0.598214                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.4032                 NaN            NaN            NaN  0.596758                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00                 NaN   99.4007                 NaN            NaN            NaN  0.599313                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.4039                 NaN            NaN            NaN  0.596147                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00                 NaN   99.3991                 NaN            NaN            NaN  0.600852                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN   99.3986                 NaN            NaN            NaN  0.601366                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00                 NaN   99.3947                 NaN            NaN            NaN  0.605334                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00                 NaN   99.5822                 NaN            NaN            NaN  0.417839                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.1988                 NaN            NaN            NaN  0.801178                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00                 NaN   99.3862                 NaN            NaN            NaN  0.613805                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.853624E-003   99.2906                 NaN            NaN            NaN  0.708534                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.226940E-002   99.4640                 NaN            NaN            NaN  0.533731                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.411043E-002   99.3639                 NaN            NaN            NaN  0.631977                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.405201E-002   99.3541                 NaN            NaN            NaN  0.641859                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.367328E-002   99.2846                 NaN            NaN            NaN  0.124192       0.587575                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.233764E-002   99.0468                 NaN            NaN            NaN  0.613313       0.337569                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.228104E-002   99.0552                 NaN            NaN            NaN  0.335264       0.607251                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00       0.220510E-002   99.0651                 NaN            NaN            NaN  0.332019       0.600640                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.213821E-002   99.0733                 NaN            NaN            NaN  0.594487       0.330037                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.207673E-002   99.0810                 NaN            NaN            NaN  0.327757       0.589181                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00       0.203424E-002   99.0867                 NaN            NaN            NaN  0.585120       0.326099                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.195942E-002   99.0981                 NaN            NaN            NaN  0.577813       0.322168                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.189258E-002   99.1045                 NaN            NaN            NaN  0.573175       0.320457                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.184768E-002   99.1109                 NaN            NaN            NaN  0.318039       0.569229                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.178097E-002   99.1200                 NaN            NaN            NaN  0.315591       0.562678                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.172166E-002   99.1265                 NaN            NaN            NaN  0.558236       0.313565                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.166126E-002   99.1332                 NaN            NaN            NaN  0.311329       0.553831                 NaN            NaN            NaN            NaN            NaN
  1477.86        2500.00       0.100487E-002   99.4637                 NaN            NaN            NaN  0.342690       0.192562                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00       0.216732E-002   98.8230                 NaN            NaN            NaN  0.423618       0.751216                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.150226E-002   99.1538                 NaN            NaN            NaN  0.539827       0.304883                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.196478E-002   98.8491                 NaN            NaN            NaN  0.413286       0.735658                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.864077E-003   99.4789                 NaN            NaN            NaN  0.332248       0.187979                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.136033E-002   99.1723                 NaN            NaN            NaN  0.298369       0.527936                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.131201E-002   99.1787                 NaN  0.844151E-006            NaN  0.523509       0.296513                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.125009E-002   99.1861                 NaN            NaN            NaN  0.518510       0.294183                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.122338E-002   99.1930                 NaN  0.106341E-005            NaN  0.513649       0.292161                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00       0.116644E-002   99.1962                 NaN            NaN            NaN  0.511654       0.290955                 NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.114386E-002   99.2031                 NaN            NaN            NaN  0.288680       0.507037                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.129980E-002   99.0479                 NaN            NaN            NaN  0.345467       0.605301                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.825479E-003   99.3775                 NaN            NaN            NaN  0.395722       0.225960                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.101622E-002   99.2196                 NaN            NaN            NaN  0.283134       0.496232                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.974280E-003   99.2236                 NaN            NaN            NaN  0.493935       0.281519                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.924581E-003   99.2321                 NaN            NaN            NaN  0.488293       0.278728                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.886727E-003   99.2350                 NaN            NaN            NaN  0.277692       0.486371                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.836880E-003   99.2390                 NaN            NaN            NaN  0.484404       0.275738                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.824982E-003   99.2456                 NaN            NaN            NaN  0.273972       0.479629                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.776734E-003   99.2500                 NaN            NaN            NaN  0.272450       0.476740                 NaN            NaN            NaN            NaN            NaN
  1449.58        2500.00       0.749548E-003   99.2541                 NaN  0.255836E-005            NaN  0.270896       0.474294                 NaN            NaN            NaN            NaN            NaN
  1448.17        2500.00       0.288171E-002   99.8966                 NaN            NaN            NaN  0.183172E-001  0.821575E-001            NaN            NaN            NaN            NaN            NaN
  1446.76        2500.00                 NaN   98.6261                 NaN            NaN            NaN  0.456470       0.917440                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00       0.319705E-003   99.2680                 NaN            NaN            NaN  0.265314       0.466329                 NaN            NaN            NaN            NaN            NaN
  1443.93        2500.00                 NaN   99.2720                 NaN            NaN            NaN  0.465399       0.262638                 NaN            NaN            NaN            NaN            NaN
  1442.51        2500.00       0.684739E-004   99.2765                 NaN            NaN            NaN  0.461874       0.261599                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00       0.558086E-003   99.2808                 NaN            NaN            NaN  0.457702       0.260973                 NaN            NaN            NaN            NaN            NaN
  1439.69        2500.00       0.523841E-003   99.2849                 NaN            NaN            NaN  0.259313       0.455250                 NaN            NaN            NaN            NaN            NaN
  1438.27        2500.00       0.496322E-003   99.2878                 NaN            NaN            NaN  0.257910       0.453837                 NaN            NaN            NaN            NaN            NaN
  1436.86        2500.00       0.151795E-003   99.9998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00       0.786646E-003   98.5891                 NaN            NaN            NaN  0.899321       0.510766                 NaN            NaN            NaN            NaN            NaN
  1434.03        2500.00       0.560619E-003   98.9217                 NaN  0.782088E-006            NaN  0.388842       0.688941                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.128856E-003   99.7862                 NaN            NaN            NaN  0.784585E-001  0.135220                 NaN            NaN            NaN            NaN            NaN
  1431.20        2500.00       0.429500E-003   99.2010                 NaN            NaN            NaN  0.510062       0.288470                 NaN            NaN            NaN            NaN            NaN
  1429.79        2500.00       0.342442E-003   99.3105                 NaN            NaN            NaN  0.248655       0.440534                 NaN            NaN            NaN            NaN            NaN
  1428.38        2500.00       0.328946E-003   99.3155                 NaN            NaN            NaN  0.437031       0.247186                 NaN            NaN            NaN            NaN            NaN
  1426.96        2500.00       0.174164E-003   99.2258                 NaN  0.636661E-004            NaN  0.442484       0.283145       0.483731E-001            NaN            NaN            NaN            NaN
  1425.55        2500.00                 NaN   98.3634                 NaN            NaN            NaN  0.483312       0.639810       0.513456                 NaN            NaN            NaN            NaN
  1424.14        2500.00                 NaN   98.3900                 NaN            NaN            NaN  0.475582       0.629956       0.504425                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.4019                 NaN  0.370101E-001            NaN  0.568094       0.483451       0.509585                 NaN            NaN            NaN            NaN
  1421.31        2500.00                 NaN   98.3813                 NaN  0.212426                 NaN  0.302614       0.544397       0.559242                 NaN            NaN            NaN            NaN
  1419.89        2500.00                 NaN   98.4042                 NaN  0.211812                 NaN  0.293524       0.538792       0.551719                 NaN            NaN            NaN            NaN
  1418.48        2500.00                 NaN   98.4282                 NaN  0.211198                 NaN  0.533002       0.283914       0.543674                 NaN            NaN            NaN            NaN
  1417.07        2500.00                 NaN   98.4514                 NaN  0.210318                 NaN  0.526812       0.275231       0.536247                 NaN            NaN            NaN            NaN
  1415.65        2500.00                 NaN   98.4759                 NaN  0.209388                 NaN  0.521223       0.265436       0.528030                 NaN            NaN            NaN            NaN
  1414.24        2500.00                 NaN   98.4977                 NaN  0.208663                 NaN  0.516026       0.256840       0.520818                 NaN            NaN            NaN            NaN
  1412.83        2500.00                 NaN   98.5200                 NaN  0.207909                 NaN  0.510325       0.248432       0.513373                 NaN            NaN            NaN            NaN
  1411.41        2500.00                 NaN   98.5401                 NaN  0.207417                 NaN  0.240983       0.504776       0.506695                 NaN            NaN            NaN            NaN
  1410.00        2500.00                 NaN   98.5622                 NaN  0.206252                 NaN  0.500151       0.232152       0.499280                 NaN            NaN            NaN            NaN
  1408.58        2500.00                 NaN   98.5672                 NaN  0.209230                 NaN  0.221298       0.503628       0.498675                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6110                 NaN  0.201726                 NaN  0.218704       0.486824       0.481737                 NaN            NaN            NaN            NaN
  1405.76        2500.00                 NaN   98.6206                 NaN  0.204195                 NaN  0.486346       0.209099       0.479760                 NaN            NaN            NaN            NaN
  1404.34        2500.00                 NaN   98.7728                 NaN  0.183144                 NaN  0.431193       0.185056       0.427853                 NaN            NaN            NaN            NaN
  1402.93        2500.00                 NaN   98.5128                 NaN  0.223676                 NaN  0.529871       0.217270       0.516411                 NaN            NaN            NaN            NaN
  1401.51        2500.00                 NaN   98.6752                 NaN  0.201767                 NaN  0.188134       0.473492       0.461446                 NaN            NaN            NaN            NaN
  1400.10        2500.00                 NaN   98.6854                 NaN  0.202176                 NaN  0.184686       0.468720       0.458997                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.7179                 NaN  0.199356                 NaN  0.171736       0.464642       0.446316                 NaN            NaN            NaN            NaN
  1397.27        2500.00                 NaN   98.7269                 NaN  0.199357                 NaN  0.461574       0.168249       0.443911                 NaN            NaN            NaN            NaN
  1395.86        2500.00                 NaN   98.7418                 NaN  0.198785                 NaN  0.161701       0.458722       0.439016                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7599                 NaN  0.197691                 NaN  0.454264       0.155406       0.432740                 NaN            NaN            NaN            NaN
  1393.03        2500.00                 NaN   98.8017                 NaN  0.193024                 NaN  0.438114       0.148195       0.418969                 NaN            NaN            NaN            NaN
  1391.62        2500.00                 NaN   98.7606                 NaN  0.200005                 NaN  0.148471       0.459151       0.431773                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.8047                 NaN  0.195157                 NaN  0.443436       0.139322       0.417352                 NaN            NaN            NaN            NaN
  1388.79        2500.00                 NaN   98.8188                 NaN  0.194168                 NaN  0.441335       0.133299       0.412352                 NaN            NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.8342                 NaN  0.193290                 NaN  0.128396       0.436885       0.407232                 NaN            NaN            NaN            NaN
  1385.96        2500.00                 NaN   98.8473                 NaN  0.192313                 NaN  0.123250       0.434578       0.402542                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.8605                 NaN  0.191364                 NaN  0.118124       0.431999       0.398042                 NaN            NaN            NaN            NaN
  1383.14        2500.00                 NaN   98.8753                 NaN  0.190365                 NaN  0.114081       0.427564       0.392710                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8842                 NaN  0.189382                 NaN  0.108909       0.427861       0.389680                 NaN            NaN            NaN            NaN
  1380.31        2500.00                 NaN   98.8969                 NaN  0.189775                 NaN  0.424004       0.103092       0.386238                 NaN            NaN            NaN            NaN
  1378.89        2500.00                 NaN   98.9215                 NaN  0.184534                 NaN  0.415770       0.102573       0.375664                 NaN            NaN            NaN            NaN
  1377.48        2500.00                 NaN   98.9254                 NaN  0.185732                 NaN  0.966425E-001  0.417242       0.374956                 NaN            NaN            NaN            NaN
