|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1461.54        2500.00        99.9945       0.551499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4042       0.220476       0.375354                 NaN  0.133617E-005            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.3697       0.426810       0.203534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.3785       0.201620       0.419840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.3800       0.200883       0.419068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3830       0.200016       0.416946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3861       0.414932       0.198969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3901       0.411525       0.198357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3926       0.410085       0.197304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3961       0.407314       0.196564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3990       0.405559       0.195446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4029       0.401434       0.195451                 NaN            NaN  0.227153E-003            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3788       0.202588       0.418592                 NaN  0.185757E-005            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4352       0.185019       0.379508                 NaN            NaN  0.256907E-003            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4116       0.193416       0.394586                 NaN            NaN  0.437900E-003            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.4146       0.192368       0.392619                 NaN            NaN  0.410980E-003            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3507       0.435092       0.213788                 NaN            NaN  0.441759E-003            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4882       0.167826       0.343644                 NaN            NaN  0.330479E-003            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.4229       0.189164       0.387529                 NaN            NaN  0.363947E-003            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.4259       0.188151       0.385641                 NaN  0.584718E-005  0.322574E-003            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.4293       0.382815       0.187606                 NaN            NaN  0.319345E-003            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4247       0.376500       0.198431                 NaN  0.622101E-005  0.326170E-003            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.4399       0.386208       0.173650                 NaN  0.227602E-005  0.258625E-003            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.4358       0.184938       0.378986                 NaN            NaN  0.273254E-003            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3372       0.446364       0.216144                 NaN            NaN  0.324147E-003            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.9465       0.200763E-001  0.334026E-001            NaN            NaN  0.260686E-004            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.9859       0.591512E-003  0.135200E-001            NaN            NaN  0.123192E-004            NaN            NaN            NaN            NaN
  1430.31        2500.00        98.4947        1.03294       0.457013                 NaN  0.147907E-001  0.538769E-003            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.4488       0.180734       0.370246                 NaN            NaN  0.195963E-003            NaN            NaN            NaN            NaN
  1427.99        2500.00        99.4500       0.179853       0.369936                 NaN            NaN  0.194652E-003            NaN            NaN            NaN            NaN
  1426.84        2500.00        99.4540       0.168027       0.371449                 NaN  0.635667E-002  0.166707E-003            NaN            NaN            NaN            NaN
  1425.68        2500.00        99.2564       0.222144       0.382672                 NaN  0.283532E-001  0.731838E-003  0.109697                 NaN            NaN            NaN
  1424.52        2500.00        98.4941       0.284177       0.487647                 NaN  0.203537       0.729668E-003  0.529811                 NaN            NaN            NaN
  1423.37        2500.00        98.6859       0.429831       0.242446                 NaN  0.179212                 NaN  0.462614                 NaN            NaN            NaN
  1422.21        2500.00        96.2940        1.55774                 NaN            NaN  0.784574                 NaN   1.36371                 NaN            NaN            NaN
