|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1461.54        2500.00        99.9937       0.634538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.3122       0.256238       0.431567                 NaN  0.165225E-005            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2724       0.490990       0.236633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.2824       0.234555       0.483088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.2838       0.233800       0.482364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.2871       0.232882       0.480060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.2902       0.477978       0.231810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.2946       0.474214       0.231202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.2972       0.472752       0.230088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3010       0.469700       0.229322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3040       0.467878       0.228142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3081       0.463305       0.228262                 NaN            NaN  0.346875E-003            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.2800       0.236716       0.483284                 NaN  0.231452E-005            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3450       0.216292       0.438344                 NaN            NaN  0.391807E-003            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3172       0.226219       0.455930                 NaN            NaN  0.667648E-003            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3204       0.225112       0.453831                 NaN            NaN  0.626284E-003            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.2462       0.502851       0.250236                 NaN            NaN  0.672456E-003            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4052       0.196632       0.397625                 NaN            NaN  0.503234E-003            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3293       0.221696       0.448499                 NaN            NaN  0.553811E-003            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3324       0.220628       0.446505                 NaN  0.732605E-005  0.490688E-003            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.3360       0.443400       0.220098                 NaN            NaN  0.485391E-003            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.3303       0.436272       0.232905                 NaN  0.781658E-005  0.495530E-003            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3480       0.447708       0.203939                 NaN  0.285800E-005  0.392653E-003            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3428       0.217309       0.439517                 NaN            NaN  0.414670E-003            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.2273       0.518011       0.254208                 NaN            NaN  0.492256E-003            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.9375       0.236307E-001  0.388036E-001            NaN            NaN  0.395112E-004            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.9834       0.688022E-003  0.159323E-001            NaN            NaN  0.186693E-004            NaN            NaN            NaN            NaN
  1430.31        2500.00        98.2449        1.19824       0.537390                 NaN  0.186190E-001  0.814902E-003            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.3565       0.212937       0.430293                 NaN            NaN  0.296525E-003            NaN            NaN            NaN            NaN
  1427.99        2500.00        99.3575       0.212013       0.430142                 NaN            NaN  0.294431E-003            NaN            NaN            NaN            NaN
  1426.84        2500.00        99.3614       0.198178       0.432092                 NaN  0.803145E-002  0.252041E-003            NaN            NaN            NaN            NaN
  1425.68        2500.00        99.1512       0.262132       0.445359                 NaN  0.358757E-001  0.110591E-002  0.104299                 NaN            NaN            NaN
  1424.52        2500.00        98.3347       0.335422       0.567549                 NaN  0.257601       0.110268E-002  0.503652                 NaN            NaN            NaN
  1423.37        2500.00        98.5454       0.500808       0.286520                 NaN  0.227302                 NaN  0.440009                 NaN            NaN            NaN
  1422.21        2500.00        95.8983        1.81160                 NaN            NaN  0.994800                 NaN   1.29534                 NaN            NaN            NaN
  1421.05        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        2500.00        99.5272       0.353140                 NaN            NaN            NaN            NaN  0.119691                 NaN            NaN            NaN
  1418.74        2500.00        98.6321       0.213800       0.761989                 NaN            NaN            NaN  0.392099                 NaN            NaN            NaN
  1417.58        2500.00        98.5512       0.343186       0.489485                 NaN  0.185884                 NaN  0.430249                 NaN            NaN            NaN
  1416.43        2500.00        98.5518       0.511405       0.256277                 NaN  0.241958                 NaN  0.438566                 NaN            NaN            NaN
  1415.27        2500.00        98.5719       0.504296       0.250377                 NaN  0.240905                 NaN  0.432498                 NaN            NaN            NaN
  1414.11        2500.00        99.3805       0.106930       0.218891                 NaN  0.105859                 NaN  0.187845                 NaN            NaN            NaN
  1412.96        2500.00        97.8038       0.372520       0.781520                 NaN  0.377238                 NaN  0.664873                 NaN            NaN            NaN
  1411.80        2500.00        98.6182       0.493671       0.228419                 NaN  0.240891                 NaN  0.418844                 NaN            NaN            NaN
  1410.64        2500.00        98.6325       0.490720       0.221466                 NaN  0.240806                 NaN  0.414482                 NaN            NaN            NaN
  1409.49        2500.00        98.6463       0.214312       0.488190                 NaN  0.240875                 NaN  0.410300                 NaN            NaN            NaN
  1408.33        2500.00        98.6620       0.485301       0.205736                 NaN  0.241047                 NaN  0.405881                 NaN            NaN            NaN
  1407.17        2500.00        98.6775       0.479248       0.203470                 NaN  0.239170                 NaN  0.400584                 NaN            NaN            NaN
  1406.02        2500.00        98.6910       0.477027       0.195292                 NaN  0.239965                 NaN  0.396755                 NaN            NaN            NaN
  1404.86        2500.00        98.7014       0.189558       0.474388                 NaN  0.241059                 NaN  0.393575                 NaN            NaN            NaN
  1403.70        2500.00        98.7207       0.182995       0.470170                 NaN  0.238635                 NaN  0.387528                 NaN            NaN            NaN
  1402.55        2500.00        98.7308       0.177795       0.467196                 NaN  0.239390                 NaN  0.384855                 NaN            NaN            NaN
  1401.39        2500.00        98.7468       0.464062       0.170648                 NaN  0.238643                 NaN  0.379856                 NaN            NaN            NaN
  1400.23        2500.00        98.7562       0.462800       0.164641                 NaN  0.239304                 NaN  0.377034                 NaN            NaN            NaN
  1399.08        2500.00        98.7711       0.459098       0.159511                 NaN  0.237900                 NaN  0.372389                 NaN            NaN            NaN
  1397.92        2500.00        98.7833       0.456070       0.153292                 NaN  0.238304                 NaN  0.369042                 NaN            NaN            NaN
  1396.76        2500.00        98.7955       0.454328       0.147447                 NaN  0.237754                 NaN  0.364987                 NaN            NaN            NaN
  1395.61        2500.00        98.8058       0.142667       0.452030                 NaN  0.237703                 NaN  0.361816                 NaN            NaN            NaN
  1394.45        2500.00        98.8179       0.137632       0.449301                 NaN  0.237181                 NaN  0.357994                 NaN            NaN            NaN
  1393.29        2500.00        98.8294       0.446886       0.132233                 NaN  0.237007                 NaN  0.354492                 NaN            NaN            NaN
  1392.14        2500.00        98.8401       0.125722       0.445731                 NaN  0.237042                 NaN  0.351364                 NaN            NaN            NaN
  1390.98        2500.00        98.8528       0.122800       0.441577                 NaN  0.235696                 NaN  0.347162                 NaN            NaN            NaN
  1389.82        2500.00        98.8619       0.440247       0.117652                 NaN  0.235827                 NaN  0.344398                 NaN            NaN            NaN
  1388.67        2500.00        98.8725       0.111929       0.437544                 NaN  0.236523                 NaN  0.341518                 NaN            NaN            NaN
  1387.51        2500.00        98.8853       0.432516       0.110439                 NaN  0.234376                 NaN  0.337382                 NaN            NaN            NaN
  1386.35        2500.00        98.8917       0.435392       0.102228                 NaN  0.235635                 NaN  0.335024                 NaN            NaN            NaN
  1385.20        2500.00        98.9059       0.100359       0.430520                 NaN  0.232843                 NaN  0.330418                 NaN            NaN            NaN
  1384.04        2500.00        98.9129       0.429669       0.945933E-001            NaN  0.234077                 NaN  0.328713                 NaN            NaN            NaN
  1382.88        2500.00        98.9257       0.426377       0.914301E-001            NaN  0.232242                 NaN  0.324254                 NaN            NaN            NaN
  1381.72        2500.00        98.9327       0.425202       0.861467E-001            NaN  0.233519                 NaN  0.322482                 NaN            NaN            NaN
  1380.57        2500.00        98.9436       0.852184E-001  0.421891                 NaN  0.230815                 NaN  0.318500                 NaN            NaN            NaN
  1379.41        2500.00        98.9456       0.789472E-001  0.422578                 NaN  0.234143                 NaN  0.318725                 NaN            NaN            NaN
  1378.25        2500.00        98.6987       0.833978E-001  0.532936                 NaN  0.292046                 NaN  0.392939                 NaN            NaN            NaN
  1377.10        2500.00        99.2429       0.302931       0.618856E-001            NaN  0.165268                 NaN  0.227026                 NaN            NaN            NaN
  1375.94        2500.00        98.9786       0.416571       0.679146E-001            NaN  0.229331                 NaN  0.307623                 NaN            NaN            NaN
  1374.78        2500.00        98.4374       0.435211       0.268129                 NaN  0.387175                 NaN  0.472087                 NaN            NaN            NaN
  1373.63        2500.00        99.4563       0.392646                 NaN            NaN            NaN            NaN  0.151029                 NaN            NaN            NaN
  1372.47        2500.00        99.0632       0.457477                 NaN            NaN  0.200458                 NaN  0.278844                 NaN            NaN            NaN
  1371.31        2500.00        99.0238       0.431227                 NaN            NaN  0.248281                 NaN  0.296697                 NaN            NaN            NaN
  1370.16        2500.00        99.0297       0.428800                 NaN            NaN  0.246865                 NaN  0.294657                 NaN            NaN            NaN
  1369.00        2500.00        99.0376       0.428847                 NaN            NaN  0.242190                 NaN  0.291381                 NaN            NaN            NaN
  1367.84        2500.00        99.0441       0.423941                 NaN            NaN  0.242718                 NaN  0.289198                 NaN            NaN            NaN
  1366.69        2500.00        99.0478       0.402203       0.421294E-001            NaN  0.222732                 NaN  0.285171                 NaN            NaN            NaN
  1365.53        2500.00        99.0552       0.408790       0.247074E-001            NaN  0.227750                 NaN  0.283548                 NaN            NaN            NaN
  1364.37        2500.00        99.0648       0.144975E-001  0.410917                 NaN  0.228985                 NaN  0.280788                 NaN            NaN            NaN
  1363.22        2500.00        99.2056       0.343495       0.221134E-001            NaN  0.190640                 NaN  0.238162                 NaN            NaN            NaN
  1362.06        2500.00        98.9348       0.530506E-001  0.450111                 NaN  0.245553                 NaN  0.316486                 NaN            NaN            NaN
  1360.90        2500.00        99.0817       0.395416       0.327729E-001            NaN  0.216548                 NaN  0.273549                 NaN            NaN            NaN
  1359.75        2500.00        99.0904       0.392544       0.311483E-001            NaN  0.215109                 NaN  0.270759                 NaN            NaN            NaN
  1358.59        2500.00        99.0973       0.391085       0.285119E-001            NaN  0.214434                 NaN  0.268645                 NaN            NaN            NaN
  1357.43        2500.00        99.1029       0.390234       0.273491E-001            NaN  0.213100                 NaN  0.266461                 NaN            NaN            NaN
  1356.28        2500.00        99.1087       0.194239E-001  0.390664                 NaN  0.215380                 NaN  0.265806                 NaN            NaN            NaN
  1355.12        2500.00        99.1237       0.384153       0.271845E-001            NaN  0.206256                 NaN  0.258702                 NaN            NaN            NaN
  1353.96        2500.00        99.1530       0.366827       0.267050E-001            NaN  0.201692                 NaN  0.251793                 NaN            NaN            NaN
  1352.81        2500.00        99.1027       0.398447       0.188695E-001            NaN  0.215037                 NaN  0.264942                 NaN            NaN            NaN
  1351.65        2500.00        99.1381       0.381662       0.213050E-001            NaN  0.204673                 NaN  0.254308                 NaN            NaN            NaN
  1350.49        2500.00        99.1429       0.382206       0.162905E-001            NaN  0.205449                 NaN  0.253177                 NaN            NaN            NaN
  1349.34        2500.00        99.1511       0.191708E-001  0.378626                 NaN  0.201378                 NaN  0.249680                 NaN            NaN            NaN
