|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.25/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1580.13        500.000        99.4410       0.559018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        500.000        99.2409       0.728672       0.304156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        500.000        99.2528       0.708862       0.383761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        500.000        99.2583       0.704298       0.374416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        500.000        99.2650       0.698384       0.366276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        500.000        99.2721       0.690072       0.378424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        500.000        99.2781       0.687372       0.345653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        500.000        99.2863       0.677502       0.361982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        500.000        99.2693       0.696922       0.338017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        500.000        99.3194       0.649955       0.306659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        500.000        99.3025       0.667005       0.304801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        500.000        99.3110       0.659568       0.294084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        500.000        99.3167       0.654072       0.292560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        500.000        99.5966       0.386407       0.170111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        500.000        99.0532       0.907014       0.397544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        500.000        99.3363       0.636239       0.274292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        500.000        99.3400       0.634384       0.256311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        500.000        99.3461       0.628308       0.256236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        500.000        99.3531       0.602638       0.442674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        500.000        99.3553       0.642362       0.231213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        500.000        99.3226       0.652894       0.244679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        500.000        99.4040       0.576058       0.199580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        500.000        99.3756       0.567861       0.565694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        500.000        98.7063        1.28981       0.388349E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        500.000        99.9919       0.562320E-003  0.749045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.4485       0.538710       0.127727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        500.000        99.3915       0.590437       0.180129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        98.8865        1.07692       0.366128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        500.000        99.8508       0.145161       0.403885E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        500.000        99.4769       0.509554       0.135724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        500.000        99.4101       0.575683       0.142135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        500.000        99.4130       0.573496       0.135437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        500.000        99.4213       0.566170       0.125010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000        99.4228       0.565730       0.114256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000        99.4263       0.563785       0.987836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000        99.4290       0.562244       0.879893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000        99.4346       0.557807       0.759210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        500.000        99.4386       0.553705       0.764606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        500.000        99.4457       0.484790       0.695358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        500.000        99.4515       0.548451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        500.000        99.4501       0.549923       0.851161E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000        99.4516       0.548393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        500.000        99.4623       0.520481       0.172422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000        99.4667       0.500766       0.325743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        500.000        99.4334       0.566602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.5641       0.435866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        500.000        99.4089       0.591094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
