|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.5/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1625.00        2500.00        99.1358       0.765681       0.984828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        98.9396       0.916783       0.143618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00        98.9441       0.913506       0.142357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00        98.9638       0.896537       0.139680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00        98.9366       0.925359       0.138062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0125       0.854242       0.133295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00        98.9942       0.871837       0.133994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.9993       0.868768       0.131970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        98.9998       0.867422       0.132823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00        99.0388       0.833822       0.127420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00        99.0332       0.836123       0.130662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00        99.0435       0.831052       0.125448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00        99.0575       0.817416       0.125074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.7012       0.258826       0.399639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00        98.4334        1.36165       0.204983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.0799       0.799853       0.120248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00        99.0898       0.791500       0.118674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.0946       0.787920       0.117453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00        99.1074       0.777149       0.115480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00        98.5801        1.23679       0.183104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00        99.5905       0.356371       0.531476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.8018       0.176542       0.216197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00        98.5455        1.26579       0.188670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.1459       0.745991       0.108067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00        99.1431       0.748923       0.107969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.6385       0.314813       0.466951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00        98.7048        1.13445       0.160708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00        99.1729       0.726455       0.100633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00        99.1846       0.714992       0.100397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00        99.2311       0.674128       0.947362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00        99.1589       0.735726       0.105341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.2050       0.697416       0.975886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00        99.2129       0.691892       0.951801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00        99.2170       0.688252       0.947623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00        99.2268       0.680078       0.930927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00        99.2299       0.679031       0.910994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00        99.2371       0.673423       0.894362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00        99.6995       0.264942       0.355222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
