|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000        99.9767       0.233456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5505       0.273431E-001  0.422131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5138       0.478488E-002  0.481414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5158       0.449444E-002  0.479663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5135       0.378500E-002  0.482716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5274       0.366996E-002  0.468890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5251       0.253656E-002  0.472373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.1152       0.163315E-001  0.868168       0.308935E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.9365       0.336454E-003  0.631865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.8914       0.626645E-003  0.107975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.1998                 NaN  0.800232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.3554       0.547297E-002  0.639129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.7311       0.189527E-002  0.266986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5468       0.308306E-005  0.453213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5493       0.805849E-003  0.449865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5505       0.928162E-004  0.449448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5391       0.422391E-001  0.418701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5817                 NaN  0.418324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5601                 NaN  0.439894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.5646                 NaN  0.435445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.5659                 NaN  0.434093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5684       0.464920E-003  0.431102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.5167                 NaN  0.227710                 NaN  0.255593                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4625                 NaN  0.227730E-001            NaN  0.514758                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.4647                 NaN  0.207363E-001            NaN  0.514564                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4653                 NaN  0.187727E-001            NaN  0.515920                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4664                 NaN  0.171238E-001            NaN  0.516456                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4680                 NaN  0.137661E-001            NaN  0.518255                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4683                 NaN  0.122639E-001            NaN  0.519457                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4685                 NaN  0.102184E-001            NaN  0.521322                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.4688                 NaN  0.880815E-002            NaN  0.522377                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.4699                 NaN  0.440499E-002            NaN  0.525715                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.4030                 NaN  0.294658E-002            NaN  0.594029                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.5354                 NaN  0.714753E-003            NaN  0.463849                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.7695                 NaN  0.433823E-001            NaN  0.187109                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.1711                 NaN            NaN            NaN  0.828859                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.4704                 NaN  0.200755E-001            NaN  0.509566                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.5514                 NaN  0.296570E-002            NaN  0.445592                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.3797                 NaN            NaN            NaN  0.620340                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        98.8936                 NaN            NaN            NaN   1.10637                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.9421                 NaN            NaN            NaN  0.578555E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.5679                 NaN  0.841949E-001            NaN  0.347950                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.4562                 NaN            NaN            NaN  0.543792                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.4532                 NaN            NaN            NaN  0.546843                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        99.4356                 NaN            NaN            NaN  0.178523E-001  0.546581                 NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        99.1575                 NaN            NaN            NaN  0.489951       0.352552                 NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        99.1326                 NaN            NaN            NaN  0.326770       0.540598                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        99.1376                 NaN            NaN  0.175186E-002  0.533406       0.327209                 NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.1492                 NaN            NaN  0.213133E-002  0.323533       0.525175                 NaN            NaN            NaN            NaN            NaN
  1463.90        500.000        99.1564                 NaN            NaN  0.206431E-002  0.320393       0.521167                 NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.1639                 NaN            NaN  0.200957E-002  0.317460       0.516598                 NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.1691                 NaN            NaN  0.194549E-002  0.315099       0.513841                 NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.1832                 NaN            NaN  0.189035E-002  0.504890       0.310064                 NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.1889                 NaN            NaN  0.183695E-002  0.501337       0.307881                 NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.1954                 NaN            NaN  0.177911E-002  0.304978       0.497865                 NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        99.2030                 NaN            NaN  0.172953E-002  0.302216       0.493087                 NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.2108                 NaN            NaN  0.167879E-002  0.299240       0.488331                 NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.2182                 NaN            NaN  0.162332E-002  0.296270       0.483940                 NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        99.2257                 NaN            NaN  0.157218E-002  0.293385       0.479384                 NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.2320                 NaN            NaN  0.151506E-002  0.290810       0.475637                 NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        99.2400                 NaN            NaN  0.147275E-002  0.287795       0.470757                 NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.5310                 NaN            NaN  0.879252E-003  0.177045       0.291048                 NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        98.9669                 NaN            NaN  0.190289E-002  0.390938       0.640248                 NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.2599                 NaN            NaN  0.132724E-002  0.280044       0.458738                 NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.2658                 NaN            NaN  0.128765E-002  0.277574       0.455307                 NaN            NaN            NaN            NaN            NaN
