|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000        99.9720       0.280483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.4788       0.328286E-001  0.488407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4370       0.574801E-002  0.557216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4393       0.540224E-002  0.555347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4364       0.455112E-002  0.559017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4524       0.441484E-002  0.543167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4497       0.305270E-002  0.547266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        98.9738       0.196555E-001   1.00604       0.490381E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.9263       0.405807E-003  0.733266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.8739       0.755923E-003  0.125295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.0724                 NaN  0.927598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.2519       0.660592E-002  0.741468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.6878       0.228683E-002  0.309887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.4740       0.372147E-005  0.526045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4767       0.973219E-003  0.522283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.4780       0.112110E-003  0.521920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4626       0.510665E-001  0.486362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5139                 NaN  0.486120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4887                 NaN  0.511278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4937                 NaN  0.506271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.4952                 NaN  0.504793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4980       0.563277E-003  0.501418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.4393                 NaN  0.264923                 NaN  0.295727                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3778                 NaN  0.265021E-001            NaN  0.595687                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3801                 NaN  0.241407E-001            NaN  0.595755                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3807                 NaN  0.218591E-001            NaN  0.597444                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3816                 NaN  0.199525E-001            NaN  0.598449                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.3832                 NaN  0.160445E-001            NaN  0.600711                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3833                 NaN  0.142996E-001            NaN  0.602355                 NaN            NaN            NaN            NaN            NaN            NaN
