|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q              hed           
  1560.90        500.000       0.874382E-002   99.7327                 NaN  0.220031       0.385140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000       0.103483E-002   99.2398                 NaN  0.759184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000       0.398132E-002   99.2588                 NaN  0.737231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.2477                 NaN  0.752278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN   99.2524                 NaN  0.747617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.2591                 NaN  0.740868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.2622                 NaN  0.737796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   99.2650                 NaN  0.734956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.2691                 NaN  0.730903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.2721                 NaN  0.727942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.2769                 NaN  0.723096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   99.2817                 NaN  0.718270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN   99.2846                 NaN  0.715355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.2861                 NaN  0.713888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.2919                 NaN  0.708073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   99.2932                 NaN  0.706791       0.474996E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.2969                 NaN  0.703135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.2989                 NaN  0.701109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   99.1769                 NaN  0.180450                 NaN  0.642667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   99.0826                 NaN            NaN            NaN  0.917448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN   99.0127                 NaN            NaN            NaN  0.987319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000       0.475297E-002   99.0851                 NaN            NaN            NaN  0.910179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000       0.745161E-003   99.0033                 NaN            NaN            NaN  0.995924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000       0.580175E-002   98.6932                 NaN            NaN            NaN  0.504296       0.796751                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        500.000       0.785701E-002   98.1391                 NaN            NaN            NaN  0.587196        1.26582                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        500.000       0.546245E-002   98.6904                 NaN            NaN            NaN  0.890734       0.413439                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        500.000       0.639823E-002   98.4521                 NaN            NaN            NaN  0.485778        1.05571                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000       0.176872E-002   98.4834                 NaN  0.335263                 NaN   1.17957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        500.000       0.920600E-003   98.2789                 NaN  0.453608                 NaN   1.26653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000       0.700345E-003   98.6958                 NaN  0.334281                 NaN  0.969215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        500.000       0.646739E-003   98.5215                 NaN  0.380608                 NaN   1.09727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000       0.503208E-003   98.5474                 NaN  0.374356                 NaN   1.07776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        500.000       0.302771E-003   98.4712                 NaN  0.399382                 NaN   1.12912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000       0.242034E-003   98.6904                 NaN  0.337294                 NaN  0.972069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        500.000       0.100162E-003   98.6200                 NaN  0.356887                 NaN   1.02298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        500.000       0.857759E-004   98.6388                 NaN  0.352131                 NaN   1.00895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000       0.165551E-003   98.4338                 NaN  0.400845                 NaN   1.16521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000                 NaN   98.9085                 NaN  0.278107                 NaN  0.813347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        500.000       0.362397E-002   98.7110                 NaN  0.304444                 NaN  0.980899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        500.000       0.998409E-004   98.7247                 NaN  0.325963                 NaN  0.949204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        500.000                 NaN   98.7430                 NaN  0.321529                 NaN  0.935464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN   98.7604                 NaN  0.310598                 NaN  0.929014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        500.000                 NaN   98.7802                 NaN  0.304578                 NaN  0.915190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   98.7987                 NaN  0.298924                 NaN  0.902407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        500.000                 NaN   98.8151                 NaN  0.291529                 NaN  0.893414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000                 NaN   98.8325                 NaN  0.285351                 NaN  0.882188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        500.000                 NaN   98.8489                 NaN  0.279109                 NaN  0.872007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        500.000                 NaN   98.8649                 NaN  0.272626                 NaN  0.862502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        500.000                 NaN   98.8792                 NaN  0.262181                 NaN  0.858653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        500.000                 NaN   98.8954                 NaN  0.257475                 NaN  0.847120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        500.000                 NaN   98.9113                 NaN  0.255999                 NaN  0.832707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        500.000                 NaN   98.9261                 NaN  0.244652                 NaN  0.829244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN   98.9397                 NaN  0.240325                 NaN  0.819975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   98.9532                 NaN  0.233634                 NaN  0.812261       0.913695E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        500.000                 NaN   98.9654                 NaN  0.217309                 NaN  0.187012E-001  0.798609                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN   98.9633                 NaN  0.113700                 NaN  0.748473       0.174507                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        500.000                 NaN   98.9759                 NaN  0.104732                 NaN  0.181839       0.737568                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000                 NaN   98.9852                 NaN  0.957154E-001            NaN  0.190490       0.728563                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        500.000                 NaN   98.9949                 NaN  0.868710E-001            NaN  0.719766       0.198419                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN   99.0090                 NaN  0.784514E-001            NaN  0.706606       0.205963                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        500.000                 NaN   99.0205                 NaN  0.695067E-001            NaN  0.213281       0.696730                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000                 NaN   99.0287                 NaN  0.626759E-001            NaN  0.688964       0.219679                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        500.000                 NaN   99.0385                 NaN  0.549201E-001            NaN  0.679468       0.227097                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        500.000                 NaN   99.0501                 NaN  0.487349E-001            NaN  0.230948       0.670260                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        500.000                 NaN   99.0575                 NaN  0.421226E-001            NaN  0.237042       0.663373                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        500.000                 NaN   99.0700                 NaN  0.622416E-001            NaN  0.657353       0.210363                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000       0.167927E-002   99.0755                 NaN            NaN            NaN  0.285171       0.637648                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        500.000       0.228595E-002   99.0844                 NaN            NaN            NaN  0.283720       0.629624                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        500.000       0.221952E-002   99.0942                 NaN            NaN            NaN  0.622434       0.281141                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        500.000       0.215741E-002   99.1028                 NaN            NaN            NaN  0.616383       0.278630                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        500.000       0.208977E-002   99.1123                 NaN            NaN            NaN  0.275836       0.609812                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        500.000       0.204604E-002   99.1126                 NaN            NaN            NaN  0.610744       0.274656                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        500.000       0.236835E-002   98.9572                 NaN            NaN            NaN  0.325860       0.714569                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        500.000       0.149658E-002   99.3208                 NaN            NaN            NaN  0.465482       0.212206                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        500.000       0.184794E-002   99.1472                 NaN            NaN            NaN  0.265703       0.585240                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        500.000       0.179281E-002   99.1551                 NaN            NaN            NaN  0.579624       0.263527                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        500.000       0.173492E-002   99.1637                 NaN            NaN            NaN  0.573361       0.261204                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        500.000       0.167964E-002   99.1714                 NaN            NaN            NaN  0.567878       0.259079                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        500.000       0.162708E-002   99.1788                 NaN            NaN            NaN  0.256859       0.562693                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        500.000       0.156814E-002   99.1876                 NaN            NaN            NaN  0.254296       0.556509                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        500.000       0.151894E-002   99.1946                 NaN            NaN            NaN  0.252306       0.551526                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        500.000       0.146926E-002   99.2008                 NaN            NaN            NaN  0.547223       0.250491                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        500.000       0.141613E-002   99.2105                 NaN            NaN            NaN  0.247943       0.540131                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        500.000       0.136264E-002   99.2159                 NaN            NaN            NaN  0.246280       0.536477                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        500.000       0.131812E-002   99.2236                 NaN            NaN            NaN  0.244188       0.530856                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        500.000       0.126787E-002   99.2309                 NaN            NaN            NaN  0.242100       0.525704                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        500.000       0.122214E-002   99.2373                 NaN            NaN            NaN  0.240179       0.521288                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        500.000       0.117205E-002   99.2444                 NaN            NaN            NaN  0.516074       0.238398                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        500.000       0.112707E-002   99.2508                 NaN            NaN            NaN  0.511902       0.236185                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        500.000       0.108124E-002   99.2570                 NaN            NaN            NaN  0.234549       0.507363                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        500.000       0.103689E-002   99.2635                 NaN            NaN            NaN  0.233016       0.502452                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        500.000       0.993817E-003   99.2698                 NaN            NaN            NaN  0.498472       0.230761                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        500.000       0.953322E-003   99.2761                 NaN            NaN            NaN  0.494070       0.228908                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        500.000       0.910127E-003   99.2817                 NaN            NaN            NaN  0.489923       0.227507                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        500.000       0.863214E-003   99.2834                 NaN            NaN            NaN  0.226605       0.489128                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        500.000       0.829368E-003   99.2981                 NaN            NaN            NaN  0.223401       0.477643                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        500.000       0.788892E-003   99.2994                 NaN            NaN            NaN  0.477553       0.222290                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.54        500.000       0.750288E-003   99.3048                 NaN            NaN            NaN  0.220451       0.474036                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.14        500.000       0.714428E-003   99.3111                 NaN            NaN            NaN  0.219142       0.469086                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.73        500.000       0.676375E-003   99.3163                 NaN            NaN            NaN  0.217335       0.465729                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.32        500.000       0.634482E-003   99.3215                 NaN            NaN            NaN  0.461919       0.215991                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.92        500.000       0.596927E-003   99.3255                 NaN            NaN            NaN  0.214609       0.459324                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.51        500.000       0.574162E-003   99.3323                 NaN            NaN            NaN  0.454468       0.212618                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.11        500.000       0.530486E-003   99.3373                 NaN            NaN            NaN  0.451082       0.211066                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.70        500.000       0.493311E-003   99.3419                 NaN            NaN            NaN  0.448051       0.209535                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.29        500.000       0.464734E-003   99.3468                 NaN            NaN            NaN  0.444232       0.208506                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.89        500.000       0.430784E-003   99.3516                 NaN            NaN            NaN  0.440905       0.207022                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.48        500.000       0.395225E-003   99.3565                 NaN            NaN            NaN  0.205643       0.437480                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.08        500.000       0.367866E-003   99.3610                 NaN            NaN            NaN  0.204128       0.434506                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.67        500.000       0.330299E-003   99.3655                 NaN            NaN            NaN  0.202535       0.431684                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.27        500.000       0.302649E-003   99.3710                 NaN            NaN            NaN  0.427272       0.201446                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.86        500.000       0.274128E-003   99.3747                 NaN            NaN            NaN  0.200115       0.424872                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.45        500.000       0.247026E-003   99.3785                 NaN            NaN            NaN  0.199034       0.422247                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.05        500.000       0.212668E-003   99.3840                 NaN            NaN            NaN  0.418627       0.197143                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.64        500.000       0.722145E-005   99.2217                 NaN            NaN            NaN  0.429934       0.263837                 NaN  0.845332E-001            NaN            NaN            NaN            NaN
  1399.24        500.000       0.186287E-002   98.3859                 NaN            NaN            NaN  0.612827       0.481964                 NaN  0.517471                 NaN            NaN            NaN            NaN
  1397.83        500.000                 NaN   98.4056                 NaN            NaN            NaN  0.482705       0.600743                 NaN  0.510960                 NaN            NaN            NaN            NaN
  1396.43        500.000                 NaN   98.4311                 NaN            NaN            NaN  0.590953       0.475084                 NaN  0.502881                 NaN            NaN            NaN            NaN
  1395.02        500.000                 NaN   98.4536                 NaN            NaN            NaN  0.468614       0.582192                 NaN  0.495593                 NaN            NaN            NaN            NaN
  1393.61        500.000                 NaN   98.4782                 NaN            NaN            NaN  0.573059       0.460781                 NaN  0.487946                 NaN            NaN            NaN            NaN
  1392.21        500.000                 NaN   98.5018                 NaN            NaN            NaN  0.564185       0.454074                 NaN  0.479953                 NaN            NaN            NaN            NaN
  1390.80        500.000                 NaN   98.5235                 NaN            NaN            NaN  0.447619       0.556025                 NaN  0.472820                 NaN            NaN            NaN            NaN
  1389.40        500.000                 NaN   98.5449                 NaN            NaN            NaN  0.441038       0.548051                 NaN  0.466041                 NaN            NaN            NaN            NaN
  1387.99        500.000                 NaN   98.5640                 NaN            NaN            NaN  0.435730       0.540628                 NaN  0.459687                 NaN            NaN            NaN            NaN
  1386.59        500.000                 NaN   98.5868                 NaN            NaN            NaN  0.428429       0.532525                 NaN  0.452218                 NaN            NaN            NaN            NaN
  1385.18        500.000                 NaN   98.6055                 NaN            NaN            NaN  0.423117       0.525304                 NaN  0.446082                 NaN            NaN            NaN            NaN
  1383.77        500.000                 NaN   98.6246                 NaN            NaN            NaN  0.417619       0.517930                 NaN  0.439844                 NaN            NaN            NaN            NaN
  1382.37        500.000                 NaN   98.6419                 NaN            NaN            NaN  0.511399       0.412456                 NaN  0.434230                 NaN            NaN            NaN            NaN
  1380.96        500.000                 NaN   98.6638                 NaN            NaN            NaN  0.405192       0.504129                 NaN  0.426878                 NaN            NaN            NaN            NaN
  1379.56        500.000                 NaN   98.6796                 NaN            NaN            NaN  0.498113       0.400627                 NaN  0.421677                 NaN            NaN            NaN            NaN
  1378.15        500.000                 NaN   98.6966                 NaN            NaN            NaN  0.395124       0.492309                 NaN  0.415981                 NaN            NaN            NaN            NaN
  1376.74        500.000                 NaN   98.7125                 NaN            NaN            NaN  0.486347       0.390586                 NaN  0.410588                 NaN            NaN            NaN            NaN
  1375.34        500.000                 NaN   98.7319                 NaN            NaN            NaN  0.383950       0.479674                 NaN  0.404438                 NaN            NaN            NaN            NaN
  1373.93        500.000                 NaN   98.7465                 NaN            NaN            NaN  0.474233       0.379782                 NaN  0.399490                 NaN            NaN            NaN            NaN
  1372.53        500.000                 NaN   98.7609                 NaN            NaN            NaN  0.469190       0.375378                 NaN  0.394572                 NaN            NaN            NaN            NaN
  1371.12        500.000                 NaN   98.7783                 NaN            NaN            NaN  0.369887       0.462896                 NaN  0.388887                 NaN            NaN            NaN            NaN
  1369.72        500.000                 NaN   98.7922                 NaN            NaN            NaN  0.365523       0.458078                 NaN  0.384175                 NaN            NaN            NaN            NaN
  1368.31        500.000                 NaN   98.8070                 NaN            NaN            NaN  0.452553       0.361263                 NaN  0.379176                 NaN            NaN            NaN            NaN
  1366.90        500.000                 NaN   98.8212                 NaN            NaN            NaN  0.447771       0.356459                 NaN  0.374538                 NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   98.8341                 NaN            NaN            NaN  0.351936       0.443660                 NaN  0.370273                 NaN            NaN            NaN            NaN
  1364.09        500.000                 NaN   98.8489                 NaN            NaN            NaN  0.347369       0.438621                 NaN  0.365123                 NaN            NaN            NaN            NaN
  1362.69        500.000                 NaN   98.8604                 NaN            NaN            NaN  0.343275       0.435070                 NaN  0.361207                 NaN            NaN            NaN            NaN
  1361.28        500.000                 NaN   98.8747                 NaN            NaN            NaN  0.339333       0.429444                 NaN  0.356511                 NaN            NaN            NaN            NaN
  1359.88        500.000                 NaN   98.8882                 NaN            NaN            NaN  0.334600       0.425040                 NaN  0.352169                 NaN            NaN            NaN            NaN
  1358.47        500.000                 NaN   98.8981                 NaN            NaN            NaN  0.421500       0.331910                 NaN  0.348480                 NaN            NaN            NaN            NaN
  1357.06        500.000                 NaN   98.9110                 NaN            NaN            NaN  0.327122       0.417759                 NaN  0.344155                 NaN            NaN            NaN            NaN
  1355.66        500.000                 NaN   98.9220                 NaN            NaN            NaN  0.413881       0.323765                 NaN  0.340385                 NaN            NaN            NaN            NaN
  1354.25        500.000                 NaN   98.9333                 NaN            NaN            NaN  0.319840       0.410268                 NaN  0.336547                 NaN            NaN            NaN            NaN
  1352.85        500.000                 NaN   98.9446                 NaN            NaN            NaN  0.316098       0.406611                 NaN  0.332692                 NaN            NaN            NaN            NaN
  1351.44        500.000                 NaN   98.9557                 NaN            NaN            NaN  0.312813       0.402575                 NaN  0.328948                 NaN            NaN            NaN            NaN
  1350.04        500.000                 NaN   98.9641                 NaN            NaN            NaN  0.309808       0.399899                 NaN  0.326197                 NaN            NaN            NaN            NaN
  1348.63        500.000                 NaN   98.9775                 NaN            NaN            NaN  0.396030       0.305230                 NaN  0.321221                 NaN            NaN            NaN            NaN
  1347.22        500.000                 NaN   98.9856                 NaN            NaN            NaN  0.393419       0.302469                 NaN  0.318559                 NaN            NaN            NaN            NaN
  1345.82        500.000                 NaN   98.9967                 NaN            NaN            NaN  0.389793       0.298669                 NaN  0.314831                 NaN            NaN            NaN            NaN
  1344.41        500.000                 NaN   99.0057                 NaN            NaN            NaN  0.387930       0.294650                 NaN  0.311751                 NaN            NaN            NaN            NaN
