|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q              hed           
  1560.90        500.000       0.140272E-001   99.6898                 NaN  0.250625       0.455015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000       0.165937E-002   99.1341                 NaN  0.864195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000       0.638583E-002   99.1540                 NaN  0.839643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.1431                 NaN  0.856922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN   99.1482                 NaN  0.851844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.1556                 NaN  0.844393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.1590                 NaN  0.841003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   99.1620                 NaN  0.837963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.1664                 NaN  0.833570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.1695                 NaN  0.830479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.1749                 NaN  0.825143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   99.1802                 NaN  0.819798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
