|6.6.6
Archiving\03_Data\Dfrac/QFM/WD94/WD94_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1822.06        2500.00        99.4300       0.131088E-001  0.556873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4306       0.130713E-001  0.556297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4608       0.123623E-001  0.526791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3956       0.138056E-001  0.590591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4266       0.130228E-001  0.560417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4266       0.129987E-001  0.560361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4264       0.129638E-001  0.560665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4207       0.130813E-001  0.566215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4244       0.128572E-001  0.562748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4205       0.129417E-001  0.566603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4177       0.129514E-001  0.569317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4138       0.129636E-001  0.573199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2563       0.252475E-001  0.718424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5736       0.422071E-003  0.425950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4094       0.128651E-001  0.577750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4060       0.128921E-001  0.581086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4036       0.128536E-001  0.583594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4030       0.128058E-001  0.584200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4050       0.126677E-001  0.582323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3875       0.130072E-001  0.599524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3957       0.127245E-001  0.591625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3873       0.128281E-001  0.599845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.3980       0.125372E-001  0.589460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3713       0.130172E-001  0.615638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.2774       0.128931E-001  0.709720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4767       0.126788E-001  0.510596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3714       0.127436E-001  0.615864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3676       0.127395E-001  0.619710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3630       0.127507E-001  0.624200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3576       0.127675E-001  0.629658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3539       0.127472E-001  0.633382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3504       0.127297E-001  0.636914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3451       0.127483E-001  0.642178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3409       0.127307E-001  0.646411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3735       0.120414E-001  0.614436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2943       0.134305E-001  0.692277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3266       0.127201E-001  0.660700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3199       0.127599E-001  0.667374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3962       0.111727E-001  0.592631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2306       0.142346E-001  0.755191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3080       0.127085E-001  0.679288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3022       0.127189E-001  0.685068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2973       0.127219E-001  0.690025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2880       0.127941E-001  0.699239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        98.9970       0.129012E-001  0.990146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.5716       0.125660E-001  0.415808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2794       0.126911E-001  0.707921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2712       0.127486E-001  0.716004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2645       0.127635E-001  0.722742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2649       0.126834E-001  0.722373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2771       0.123926E-001  0.710557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2327       0.130620E-001  0.754277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2455       0.127767E-001  0.741720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2441       0.127303E-001  0.743220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2435       0.126368E-001  0.743859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2309       0.127908E-001  0.756353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2298       0.127124E-001  0.757491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2292       0.126827E-001  0.758091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2232       0.127022E-001  0.764126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2189       0.127127E-001  0.768432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2151       0.127127E-001  0.772180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2125       0.126988E-001  0.774844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2099       0.126822E-001  0.777437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.2059       0.126927E-001  0.781402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2024       0.126844E-001  0.784922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2026       0.126517E-001  0.784775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.1978       0.126882E-001  0.789545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.1982       0.126256E-001  0.789139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.1240       0.116328E-001  0.769212       0.951646E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        96.8245       0.217940E-002  0.569535        2.60383                 NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.1478                 NaN  0.142807       0.709377                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        97.9916                 NaN  0.332056        1.67632                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.0249                 NaN  0.326773        1.64837                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.0701                 NaN  0.320145        1.60973                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.1000                 NaN  0.315105        1.58487                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.1361                 NaN  0.309721        1.55419                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.1631                 NaN  0.304624        1.53227                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.2078                 NaN  0.297592        1.49457                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.2292                 NaN  0.291423        1.47942                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.2643                 NaN  0.287536        1.44821                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.2929                 NaN  0.282682        1.42438                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.3164                 NaN  0.279273        1.40428                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.2036                 NaN  0.291370        1.50505                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.0731                 NaN  0.151157       0.775744                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        97.8471                 NaN  0.353727        1.79913                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.4269                 NaN  0.256996        1.31606                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.4517                 NaN  0.252095        1.29620                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.4741                 NaN  0.249626        1.27627                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.4986                 NaN  0.243570        1.25787                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5199                 NaN  0.239399        1.24068                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5420                 NaN  0.235459        1.22257                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.5653                 NaN  0.232127        1.20260                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.5864                 NaN  0.227377        1.18624                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6050                 NaN  0.222406        1.17263                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6238                 NaN  0.221028        1.15514                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        97.8670                 NaN  0.307234        1.82580                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.4451                 NaN  0.115579       0.439355                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.6820                 NaN  0.207783        1.11017                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.6987                 NaN  0.202773        1.09853                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7146                 NaN  0.198906        1.08650                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7333                 NaN  0.194634        1.07204                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.7473                 NaN  0.192052        1.06066                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.7649                 NaN  0.187570        1.04749                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.7810                 NaN  0.185905        1.03310                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.7897                 NaN  0.180999        1.02927                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8117                 NaN  0.174886        1.01346                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8242                 NaN  0.174440        1.00140                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8390                 NaN  0.172269       0.988773                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8538                 NaN  0.168524       0.977635                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8648                 NaN  0.166215       0.969002                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.8791                 NaN  0.161614       0.959304                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.8852                 NaN  0.155764       0.959066                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9050                 NaN  0.154536       0.940450                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9169                 NaN  0.154144       0.928942                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9284                 NaN  0.150311       0.921289                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9377                 NaN  0.146329       0.915992                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9472                 NaN  0.141305       0.911518                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.9592                 NaN  0.139834       0.900979                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.9712                 NaN  0.139761       0.889040                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.2451                 NaN  0.107393       0.647492                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.7244                 NaN  0.165518        1.11012                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.9983                 NaN  0.124837       0.876891                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0094                 NaN  0.126164       0.864466                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0019                 NaN  0.115852       0.882282                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0352                 NaN  0.118046       0.846709                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0352                 NaN  0.118845       0.845906                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.0415                 NaN  0.114367       0.844131                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0507                 NaN  0.110610       0.838731                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.0560                 NaN  0.108323       0.835637                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.0662                 NaN  0.104281       0.829497                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.0720                 NaN  0.102287       0.825750                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.0753                 NaN  0.979671E-001  0.826764                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.0855                 NaN  0.952050E-001  0.819274                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        99.0847                 NaN  0.916630E-001  0.823617                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        99.0973                 NaN  0.896502E-001  0.813077                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        99.1034                 NaN  0.871126E-001  0.809472                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        99.1075                 NaN  0.842278E-001  0.808287                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        99.1078                 NaN  0.880657E-001  0.804179                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1228                 NaN  0.715437E-001  0.805635                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.1196                 NaN  0.734614E-001  0.806951                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        2500.00        99.1241                 NaN  0.710659E-001  0.804831                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00        99.1247                 NaN  0.714116E-001  0.803913                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.17        2500.00        98.8406                 NaN  0.104564       0.619143       0.435653                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00        98.1924                 NaN  0.209569       0.188982        1.40900                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        98.2128                 NaN  0.207801       0.185462        1.39393                 NaN            NaN            NaN            NaN            NaN
  1458.65        2500.00        98.2322                 NaN  0.205337       0.183634        1.37880                 NaN            NaN            NaN            NaN            NaN
  1456.14        2500.00        98.2510                 NaN  0.204468       0.180676        1.36388                 NaN            NaN            NaN            NaN            NaN
  1453.63        2500.00        98.2652                 NaN  0.199589       0.180119        1.35506                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        98.2850                 NaN  0.197484       0.177769        1.33972                 NaN            NaN            NaN            NaN            NaN
  1448.62        2500.00        98.3004                 NaN  0.196411       0.174363        1.32887                 NaN            NaN            NaN            NaN            NaN
  1446.12        2500.00        98.3110                 NaN  0.191169       0.178545        1.31928                 NaN            NaN            NaN            NaN            NaN
  1443.61        2500.00        98.3327                 NaN  0.189559       0.172516        1.30526                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00        98.3232                 NaN  0.173558       0.177692        1.32554                 NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        98.3610                 NaN  0.183564       0.171826        1.28365                 NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        98.3650                 NaN  0.183270       0.169786        1.28193                 NaN            NaN            NaN            NaN            NaN
  1433.58        2500.00        98.3769                 NaN  0.180704       0.169110        1.27328                 NaN            NaN            NaN            NaN            NaN
  1431.08        2500.00        98.3816                 NaN  0.180449       0.168119        1.26979                 NaN            NaN            NaN            NaN            NaN
  1428.57        2500.00        98.3980                 NaN  0.180638       0.164934        1.25645                 NaN            NaN            NaN            NaN            NaN
  1426.07        2500.00        98.4062                 NaN  0.169788       0.172081        1.25195                 NaN            NaN            NaN            NaN            NaN
  1423.56        2500.00        98.4087                 NaN  0.167155       0.171362        1.25275                 NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00        98.4176                 NaN  0.163721       0.173703        1.24502                 NaN            NaN            NaN            NaN            NaN
  1418.55        2500.00        98.4217                 NaN  0.158495       0.175601        1.24420                 NaN            NaN            NaN            NaN            NaN
  1416.04        2500.00        98.4278                 NaN  0.157482       0.174973        1.23974                 NaN            NaN            NaN            NaN            NaN
  1413.53        2500.00        98.4323                 NaN  0.152197       0.180316        1.23519                 NaN            NaN            NaN            NaN            NaN
  1411.03        2500.00        97.2593                 NaN  0.660157       0.423887E-001   1.42101                 NaN  0.617144                 NaN            NaN            NaN
  1408.52        2500.00        96.3720                 NaN   1.01555                 NaN   1.52845                 NaN   1.08399                 NaN            NaN            NaN
  1406.02        2500.00        96.4166                 NaN   1.02596                 NaN   1.48696                 NaN   1.07045                 NaN            NaN            NaN
  1403.51        2500.00        96.4400                 NaN  0.909262                 NaN  0.227060        1.37782        1.04589                 NaN            NaN            NaN
  1401.00        2500.00        96.4690                 NaN  0.882269                 NaN  0.293740        1.32262        1.03241                 NaN            NaN            NaN
  1398.50        2500.00        96.5327                 NaN  0.891567                 NaN   1.31009       0.251905        1.01372                 NaN            NaN            NaN
