|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/T13/T13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000       0.152884E-001   99.9847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000       0.656480E-002   99.2067       0.411471       0.375243                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000                 NaN   99.1601       0.839948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000                 NaN   99.1582       0.841804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000                 NaN   99.1590       0.840988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000                 NaN   99.1783       0.821712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000                 NaN   99.1856       0.814442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000                 NaN   99.1919       0.808124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000                 NaN   99.1991       0.800899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000                 NaN   99.2097       0.723477       0.667894E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000                 NaN   99.2189       0.781134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000                 NaN   99.2247       0.775334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000                 NaN   99.2311       0.763282       0.559070E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000                 NaN   99.2372       0.727956       0.347966E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000                 NaN   99.2523       0.710362       0.372893E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000                 NaN   99.2554       0.710181       0.344463E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000                 NaN   99.2629       0.702939       0.341855E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000                 NaN   99.2700       0.697762       0.322834E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000                 NaN   99.2691       0.699387       0.314679E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000                 NaN   99.2878       0.682503       0.297314E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000                 NaN   99.2189       0.748589       0.325262E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000                 NaN   99.3673       0.605717       0.270154E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000                 NaN   99.3028       0.668791       0.284409E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000                 NaN   99.3105       0.662506       0.270197E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000                 NaN   99.3125       0.660164       0.273013E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000                 NaN   99.3254       0.649300       0.252712E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000                 NaN   99.3260       0.649318       0.246843E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000                 NaN   99.3355       0.639098       0.254082E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000                 NaN   99.2245       0.759317       0.162114E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000                 NaN   99.8325       0.163164       0.431885E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000                 NaN   98.9676       0.999511       0.329085E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000                 NaN   99.3582       0.619418       0.223542E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000                 NaN   99.3627       0.609265       0.279947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.3663       0.622465       0.112746E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000                 NaN   99.3730       0.608562       0.184504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000                 NaN   99.3763       0.606699       0.169856E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000                 NaN   99.3828       0.600854       0.163121E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000                 NaN   99.3871       0.597582       0.152932E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000                 NaN   99.3929       0.586703       0.203803E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000                 NaN   99.3959       0.595882       0.824921E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000                 NaN   99.4013       0.586424       0.122289E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000                 NaN   99.4039       0.583884       0.122080E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000                 NaN   99.4152       0.555524       0.292364E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000                 NaN   99.4128       0.587095       0.137257E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000                 NaN   99.4190       0.579769       0.121396E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000                 NaN   99.4128       0.514542       0.727013E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000                 NaN   99.4458       0.554182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000                 NaN   99.4304       0.569645       0.395153E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000                 NaN   99.4352       0.564786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000                 NaN   99.4389       0.561139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000                 NaN   99.4485       0.518126       0.333752E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000                 NaN   99.4502       0.543426       0.633775E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000                 NaN   99.4521       0.531607       0.162510E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000                 NaN   99.4554       0.544632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000                 NaN   99.4605       0.539458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000                 NaN   99.4631       0.536906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000                 NaN   99.4671       0.532939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000                 NaN   99.4706       0.529437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000                 NaN   99.4737       0.526254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000                 NaN   99.4768       0.523224       0.139112E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000                 NaN   99.4797       0.520311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000                 NaN   99.4827       0.517266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000                 NaN   99.4860       0.513978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000                 NaN   99.4907       0.509278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000                 NaN   99.4943       0.505722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000                 NaN   99.4964       0.503643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000                 NaN   99.4962       0.503764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        500.000                 NaN   99.5039       0.496131       0.133767E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        500.000                 NaN   99.4081       0.362038       0.229870                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000                 NaN   99.6839       0.316138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        500.000                 NaN   99.4959       0.504085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000                 NaN   99.5151       0.484929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        500.000                 NaN   99.5197       0.480278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000                 NaN   99.5195       0.480462       0.693884E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        500.000                 NaN   99.7586                 NaN  0.241419                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000                 NaN   99.3530       0.647020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        500.000                 NaN   99.5292       0.470763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        500.000                 NaN   99.5320       0.467957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        500.000                 NaN   99.8555       0.144468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        500.000                 NaN   99.2155       0.784474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000                 NaN   99.5389       0.461141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        500.000                 NaN   99.5008       0.270315                 NaN  0.228849                 NaN            NaN            NaN            NaN            NaN
  1473.63        500.000                 NaN   99.4131                 NaN            NaN  0.586863                 NaN            NaN            NaN            NaN            NaN
  1472.14        500.000                 NaN   99.4115                 NaN            NaN  0.588474                 NaN            NaN            NaN            NaN            NaN
  1470.64        500.000                 NaN   99.4117                 NaN            NaN  0.588254                 NaN            NaN            NaN            NaN            NaN
  1469.15        500.000                 NaN   99.4096                 NaN            NaN  0.590406                 NaN            NaN            NaN            NaN            NaN
  1467.66        500.000                 NaN   99.4072                 NaN            NaN  0.592817                 NaN            NaN            NaN            NaN            NaN
  1466.16        500.000                 NaN   99.4037                 NaN            NaN  0.596260                 NaN            NaN            NaN            NaN            NaN
  1464.67        500.000                 NaN   99.3995                 NaN            NaN  0.600489                 NaN            NaN            NaN            NaN            NaN
  1463.17        500.000                 NaN   99.3921                 NaN            NaN  0.607899                 NaN            NaN            NaN            NaN            NaN
  1461.68        500.000                 NaN   99.3868                 NaN            NaN  0.613211                 NaN            NaN            NaN            NaN            NaN
  1460.19        500.000                 NaN   99.0350                 NaN            NaN  0.618406       0.346587                 NaN            NaN            NaN            NaN
  1458.69        500.000                 NaN   99.0378                 NaN            NaN  0.624775       0.337447                 NaN            NaN            NaN            NaN
  1457.20        500.000                 NaN   99.0471                 NaN            NaN  0.619253       0.333626                 NaN            NaN            NaN            NaN
  1455.70        500.000                 NaN   99.0565                 NaN            NaN  0.613172       0.330335                 NaN            NaN            NaN            NaN
  1454.21        500.000                 NaN   99.0663                 NaN            NaN  0.607585       0.326148                 NaN            NaN            NaN            NaN
  1452.72        500.000                 NaN   99.0749                 NaN            NaN  0.602626       0.322427                 NaN            NaN            NaN            NaN
  1451.22        500.000                 NaN   99.0836                 NaN            NaN  0.319017       0.597386                 NaN            NaN            NaN            NaN
