|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1631.41        2500.00        99.3850       0.604223       0.108218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0522       0.877648       0.701505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0608       0.848501       0.907042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0665       0.844062       0.894618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.0849       0.827510       0.875933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.3627       0.579446       0.578324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        98.8308        1.05570       0.113456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1109       0.804616       0.844401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.1210       0.796830       0.821724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1314       0.786353       0.822236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1413       0.778199       0.804545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1499       0.771337       0.788024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.1560       0.766453       0.775226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1671       0.754759       0.781777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1781       0.747305       0.745603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1859       0.740150       0.739532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.1928       0.734003       0.732235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.2016       0.726652       0.717537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2043       0.725981       0.696709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2177       0.712857       0.694405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.1290       0.791257       0.797916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.3362       0.605590       0.582603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.2406       0.692819       0.666032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2486       0.686044       0.653113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.2514       0.684360       0.642354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.7153       0.244014       0.406907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        98.8205        1.09582       0.837084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2770       0.661996       0.610520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2448       0.692197       0.630303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.3289       0.614988       0.561231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.2956       0.646615       0.577485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3036       0.639570       0.568759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3104       0.633879       0.557069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.6333       0.336300       0.303591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.0058       0.895114       0.990459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3250       0.640710       0.343361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.3385       0.613391       0.481574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3399       0.603932       0.561803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.3439       0.606601       0.494511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.3529       0.597525       0.495877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.2423       0.699706       0.579580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.4782       0.483044       0.387965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
