|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1400.64        500.000       0.118396E-001   96.0766        1.23201        1.27685                 NaN   1.34750       0.552276E-001            NaN            NaN            NaN            NaN
  1399.64        500.000                 NaN   98.8119       0.385464       0.369754                 NaN  0.409141       0.237498E-001            NaN            NaN            NaN            NaN
  1398.63        500.000                 NaN   98.8327       0.378725       0.363487                 NaN  0.401932       0.232049E-001            NaN            NaN            NaN            NaN
  1397.63        500.000                 NaN   98.8535       0.371738       0.357254                 NaN  0.394886       0.226507E-001            NaN            NaN            NaN            NaN
  1396.62        500.000                 NaN   98.8595       0.355904       0.369620                 NaN  0.392590       0.223811E-001            NaN            NaN            NaN            NaN
  1395.62        500.000                 NaN   98.9071       0.341395       0.353671                 NaN  0.376423       0.213641E-001            NaN            NaN            NaN            NaN
  1394.62        500.000                 NaN   98.9077       0.341328       0.353515                 NaN  0.376210       0.212199E-001            NaN            NaN            NaN            NaN
  1393.61        500.000                 NaN   98.9347       0.344769       0.333491                 NaN  0.366539       0.205374E-001            NaN            NaN            NaN            NaN
  1392.61        500.000                 NaN   98.8980       0.345685       0.355863                 NaN  0.379256       0.211817E-001            NaN            NaN            NaN            NaN
  1391.60        500.000                 NaN   99.0148       0.309011       0.318388                 NaN  0.339043       0.187671E-001            NaN            NaN            NaN            NaN
  1390.60        500.000                 NaN   98.9813       0.319726       0.329073                 NaN  0.350636       0.192970E-001            NaN            NaN            NaN            NaN
  1389.59        500.000                 NaN   98.9983       0.323443       0.314729                 NaN  0.344703       0.188475E-001            NaN            NaN            NaN            NaN
  1388.59        500.000                 NaN   99.0127       0.310106       0.319079                 NaN  0.339675       0.184716E-001            NaN            NaN            NaN            NaN
  1387.59        500.000                 NaN   99.0303       0.305655       0.312483                 NaN  0.333583       0.180033E-001            NaN            NaN            NaN            NaN
  1386.58        500.000                 NaN   99.0444       0.307866       0.301366                 NaN  0.328712       0.176331E-001            NaN            NaN            NaN            NaN
  1385.58        500.000                 NaN   99.0590       0.303031       0.297056                 NaN  0.323609       0.172613E-001            NaN            NaN            NaN            NaN
  1384.57        500.000                 NaN   99.0016       0.315876       0.321103                 NaN  0.343219       0.181561E-001            NaN            NaN            NaN            NaN
  1383.57        500.000                 NaN   99.1590       0.266301       0.270426                 NaN  0.289041       0.152042E-001            NaN            NaN            NaN            NaN
  1382.57        500.000                 NaN   99.1005       0.285104       0.289008                 NaN  0.309206       0.161562E-001            NaN            NaN            NaN            NaN
  1381.56        500.000                 NaN   99.1143       0.281407       0.284131                 NaN  0.304357       0.157844E-001            NaN            NaN            NaN            NaN
  1380.56        500.000                 NaN   99.1274       0.277504       0.279886                 NaN  0.299803       0.154395E-001            NaN            NaN            NaN            NaN
  1379.55        500.000                 NaN   99.7876       0.682365E-001  0.674206E-001            NaN  0.730653E-001  0.372249E-002            NaN            NaN            NaN            NaN
  1378.55        500.000                 NaN   98.5056       0.477606       0.477732                 NaN  0.513121       0.259404E-001            NaN            NaN            NaN            NaN
  1377.55        500.000                 NaN   99.1641       0.267070       0.267442                 NaN  0.286920       0.144410E-001            NaN            NaN            NaN            NaN
  1376.54        500.000                 NaN   99.1756       0.263470       0.263850                 NaN  0.282914       0.141360E-001            NaN            NaN            NaN            NaN
  1375.54        500.000                 NaN   99.1866       0.259515       0.260893                 NaN  0.279138       0.138263E-001            NaN            NaN            NaN            NaN
