|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1400.64        500.000       0.187671E-001   95.4846        1.47336        1.55090                 NaN   1.32194       0.150403                 NaN            NaN            NaN            NaN
  1399.64        500.000                 NaN   98.6168       0.463352       0.451435                 NaN  0.403413       0.650082E-001            NaN            NaN            NaN            NaN
  1398.63        500.000                 NaN   98.6398       0.455704       0.444304                 NaN  0.396651       0.635739E-001            NaN            NaN            NaN            NaN
  1397.63        500.000                 NaN   98.6629       0.447807       0.437154                 NaN  0.390035       0.621111E-001            NaN            NaN            NaN            NaN
  1396.62        500.000                 NaN   98.6688       0.435996       0.445707                 NaN  0.388098       0.614258E-001            NaN            NaN            NaN            NaN
  1395.62        500.000                 NaN   98.7233       0.418695       0.426903                 NaN  0.372450       0.586887E-001            NaN            NaN            NaN            NaN
  1394.62        500.000                 NaN   98.7229       0.419087       0.427156                 NaN  0.372546       0.583424E-001            NaN            NaN            NaN            NaN
  1393.61        500.000                 NaN   98.7533       0.416999       0.409909                 NaN  0.363281       0.565160E-001            NaN            NaN            NaN            NaN
  1392.61        500.000                 NaN   98.7093       0.425353       0.430789                 NaN  0.376184       0.583370E-001            NaN            NaN            NaN            NaN
  1391.60        500.000                 NaN   98.8450       0.380694       0.385912                 NaN  0.336623       0.517387E-001            NaN            NaN            NaN            NaN
  1390.60        500.000                 NaN   98.8048       0.394275       0.399245                 NaN  0.348395       0.532408E-001            NaN            NaN            NaN            NaN
  1389.59        500.000                 NaN   98.8238       0.392792       0.388547                 NaN  0.342785       0.520453E-001            NaN            NaN            NaN            NaN
  1388.59        500.000                 NaN   98.8397       0.383261       0.387874                 NaN  0.338064       0.510509E-001            NaN            NaN            NaN            NaN
  1387.59        500.000                 NaN   98.8595       0.378158       0.380243                 NaN  0.332275       0.497990E-001            NaN            NaN            NaN            NaN
  1386.58        500.000                 NaN   98.8752       0.374995       0.373252                 NaN  0.327691       0.488163E-001            NaN            NaN            NaN            NaN
  1385.58        500.000                 NaN   98.8916       0.369459       0.368297                 NaN  0.322866       0.478273E-001            NaN            NaN            NaN            NaN
  1384.57        500.000                 NaN   98.8230       0.392052       0.391875                 NaN  0.342686       0.503453E-001            NaN            NaN            NaN            NaN
  1383.57        500.000                 NaN   99.0076       0.330911       0.330402                 NaN  0.288882       0.422033E-001            NaN            NaN            NaN            NaN
  1382.57        500.000                 NaN   98.9379       0.354597       0.353398                 NaN  0.309242       0.448772E-001            NaN            NaN            NaN            NaN
  1381.56        500.000                 NaN   98.9533       0.350366       0.347776                 NaN  0.304636       0.438807E-001            NaN            NaN            NaN            NaN
  1380.56        500.000                 NaN   98.9679       0.345866       0.342918                 NaN  0.300316       0.429573E-001            NaN            NaN            NaN            NaN
  1379.55        500.000                 NaN   99.7484       0.837368E-001  0.841915E-001            NaN  0.732916E-001  0.103717E-001            NaN            NaN            NaN            NaN
  1378.55        500.000                 NaN   98.2321       0.595801       0.585755                 NaN  0.514190       0.722045E-001            NaN            NaN            NaN            NaN
  1377.55        500.000                 NaN   99.0091       0.333901       0.328616                 NaN  0.288088       0.402770E-001            NaN            NaN            NaN            NaN
  1376.54        500.000                 NaN   99.0220       0.324044       0.330212                 NaN  0.284287       0.394580E-001            NaN            NaN            NaN            NaN
  1375.54        500.000                 NaN   99.0343       0.319472       0.326860                 NaN  0.280708       0.386244E-001            NaN            NaN            NaN            NaN
  1374.53        500.000                 NaN   99.0472       0.315201       0.322893                 NaN  0.276778       0.378950E-001            NaN            NaN            NaN            NaN
  1373.53        500.000                 NaN   99.0602       0.319316       0.310508                 NaN  0.272938       0.370152E-001            NaN            NaN            NaN            NaN
  1372.52        500.000                 NaN   99.0718       0.316391       0.306193                 NaN  0.269477       0.361247E-001            NaN            NaN            NaN            NaN
  1371.52        500.000                 NaN   99.0836       0.301822       0.313316                 NaN  0.265913       0.353272E-001            NaN            NaN            NaN            NaN
  1370.52        500.000                 NaN   99.0952       0.297628       0.310158                 NaN  0.262457       0.345984E-001            NaN            NaN            NaN            NaN
  1369.51        500.000                 NaN   99.1062       0.293912       0.306774                 NaN  0.259194       0.338876E-001            NaN            NaN            NaN            NaN
  1368.51        500.000                 NaN   99.1169       0.303955       0.289945                 NaN  0.256002       0.331728E-001            NaN            NaN            NaN            NaN
  1367.50        500.000                 NaN   99.1227       0.289058       0.301122                 NaN  0.254393       0.327454E-001            NaN            NaN            NaN            NaN
  1366.50        500.000                 NaN   99.1438       0.297134       0.280009                 NaN  0.247710       0.313429E-001            NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   99.1488       0.278464       0.295215                 NaN  0.246453       0.310525E-001            NaN            NaN            NaN            NaN
  1364.49        500.000                 NaN   99.1591       0.292502       0.274718                 NaN  0.243334       0.303324E-001            NaN            NaN            NaN            NaN
  1363.49        500.000                 NaN   99.1690       0.270985       0.290014                 NaN  0.240370       0.296435E-001            NaN            NaN            NaN            NaN
  1362.48        500.000                 NaN   99.1785       0.267792       0.287142                 NaN  0.237508       0.290681E-001            NaN            NaN            NaN            NaN
  1361.48        500.000                 NaN   99.1883       0.263957       0.284924                 NaN  0.234562       0.283042E-001            NaN            NaN            NaN            NaN
  1360.48        500.000                 NaN   99.1972       0.282756       0.260527                 NaN  0.231845       0.276332E-001            NaN            NaN            NaN            NaN
  1359.47        500.000                 NaN   99.2067       0.279992       0.257266                 NaN  0.228999       0.270420E-001            NaN            NaN            NaN            NaN
  1358.47        500.000                 NaN   99.2153       0.254243       0.277558                 NaN  0.226409       0.264997E-001            NaN            NaN            NaN            NaN
  1357.46        500.000                 NaN   99.2241       0.250444       0.275920                 NaN  0.223767       0.257957E-001            NaN            NaN            NaN            NaN
  1356.46        500.000                 NaN   99.2333       0.247437       0.272979                 NaN  0.220982       0.252662E-001            NaN            NaN            NaN            NaN
  1355.46        500.000                 NaN   99.2414       0.271194       0.244405                 NaN  0.218490       0.245458E-001            NaN            NaN            NaN            NaN
  1354.45        500.000                 NaN   99.2498       0.268825       0.241331                 NaN  0.216022       0.240413E-001            NaN            NaN            NaN            NaN
  1353.45        500.000                 NaN   99.2575       0.267367       0.238082                 NaN  0.213648       0.234073E-001            NaN            NaN            NaN            NaN
  1352.44        500.000                 NaN   99.2659       0.235181       0.264900                 NaN  0.211140       0.228713E-001            NaN            NaN            NaN            NaN
  1351.44        500.000                 NaN   99.2739       0.263187       0.232022                 NaN  0.208657       0.222424E-001            NaN            NaN            NaN            NaN
  1350.43        500.000                 NaN   99.2800       0.262011       0.229278                 NaN  0.206926       0.218272E-001            NaN            NaN            NaN            NaN
  1349.43        500.000                 NaN   99.2903       0.226012       0.258998                 NaN  0.203657       0.210728E-001            NaN            NaN            NaN            NaN
  1348.43        500.000                 NaN   99.2961       0.223674       0.257720                 NaN  0.201878       0.205894E-001            NaN            NaN            NaN            NaN
  1347.42        500.000                 NaN   99.3027       0.221396       0.255669                 NaN  0.200014       0.201716E-001            NaN            NaN            NaN            NaN
  1346.42        500.000                 NaN   99.3110       0.254689       0.217557                 NaN  0.197347       0.194281E-001            NaN            NaN            NaN            NaN
  1345.41        500.000                 NaN   99.3180       0.252595       0.215197                 NaN  0.195183       0.189864E-001            NaN            NaN            NaN            NaN
  1344.41        500.000                 NaN   99.2717       0.230015       0.269825                 NaN  0.208456       0.199842E-001            NaN            NaN            NaN            NaN
  1343.41        500.000                 NaN   99.3838       0.193224       0.230393                 NaN  0.176100       0.165293E-001            NaN            NaN            NaN            NaN
  1342.40        500.000                 NaN   99.3379       0.248103       0.207449                 NaN  0.189128       0.174153E-001            NaN            NaN            NaN            NaN
  1341.40        500.000                 NaN   99.3443       0.246899       0.204725                 NaN  0.187152       0.168949E-001            NaN            NaN            NaN            NaN
  1340.39        500.000                 NaN   99.3503       0.202455       0.245577                 NaN  0.185307       0.163741E-001            NaN            NaN            NaN            NaN
  1339.39        500.000                 NaN   99.3571       0.244245       0.199467                 NaN  0.183293       0.159143E-001            NaN            NaN            NaN            NaN
  1338.39        500.000                 NaN   99.3620       0.197622       0.242908                 NaN  0.181894       0.156200E-001            NaN            NaN            NaN            NaN
  1337.38        500.000                 NaN   99.3694       0.195560       0.240645                 NaN  0.179438       0.149684E-001            NaN            NaN            NaN            NaN
  1336.38        500.000                 NaN   99.3762       0.240299       0.191732                 NaN  0.177346       0.143931E-001            NaN            NaN            NaN            NaN
  1335.37        500.000                 NaN   99.3812       0.239262       0.189729                 NaN  0.175845       0.139699E-001            NaN            NaN            NaN            NaN
  1334.37        500.000                 NaN   99.3861       0.187300       0.238644                 NaN  0.174436       0.135141E-001            NaN            NaN            NaN            NaN
  1333.36        500.000                 NaN   99.3929       0.236827       0.185148                 NaN  0.172169       0.129801E-001            NaN            NaN            NaN            NaN
  1332.36        500.000                 NaN   99.3969       0.235543       0.183786                 NaN  0.171048       0.126837E-001            NaN            NaN            NaN            NaN
  1331.36        500.000                 NaN   99.4044       0.234666       0.180273                 NaN  0.168596       0.120259E-001            NaN            NaN            NaN            NaN
  1330.35        500.000                 NaN   99.4086       0.234145       0.178273                 NaN  0.167370       0.116180E-001            NaN            NaN            NaN            NaN
  1329.35        500.000                 NaN   99.4142       0.176093       0.232839                 NaN  0.165677       0.112343E-001            NaN            NaN            NaN            NaN
  1328.34        500.000                 NaN   99.4193       0.173798       0.232061                 NaN  0.164104       0.107527E-001            NaN            NaN            NaN            NaN
  1327.34        500.000                 NaN   99.4243       0.231094       0.171713                 NaN  0.162530       0.103270E-001            NaN            NaN            NaN            NaN
  1326.34        500.000                 NaN   99.4295       0.230236       0.169401                 NaN  0.160968       0.992137E-002            NaN            NaN            NaN            NaN
  1325.33        500.000                 NaN   99.4343       0.167538       0.229234                 NaN  0.159437       0.948265E-002            NaN            NaN            NaN            NaN
  1324.33        500.000                 NaN   99.4392       0.228584       0.165322                 NaN  0.157926       0.900946E-002            NaN            NaN            NaN            NaN
  1323.32        500.000                 NaN   99.4951       0.207371       0.147647                 NaN  0.142097       0.777039E-002            NaN            NaN            NaN            NaN
  1322.32        500.000                 NaN   99.3971       0.248428       0.176221                 NaN  0.169392       0.885965E-002            NaN            NaN            NaN            NaN
  1321.32        500.000                 NaN   99.4532       0.226275       0.158980                 NaN  0.153701       0.787750E-002            NaN            NaN            NaN            NaN
  1320.31        500.000                 NaN   99.4576       0.158246       0.224450                 NaN  0.152206       0.748674E-002            NaN            NaN            NaN            NaN
  1319.31        500.000                 NaN   99.4628       0.154650       0.225130                 NaN  0.150569       0.686150E-002            NaN            NaN            NaN            NaN
  1318.30        500.000                 NaN   99.4656       0.153238       0.224795                 NaN  0.149797       0.655334E-002            NaN            NaN            NaN            NaN
  1317.30        500.000                 NaN   99.4714       0.151113       0.223758                 NaN  0.147767       0.600065E-002            NaN            NaN            NaN            NaN
  1316.29        500.000                 NaN   99.4750       0.223917       0.148540                 NaN  0.146839       0.566318E-002            NaN            NaN            NaN            NaN
  1315.29        500.000                 NaN   99.4790       0.223346       0.146862                 NaN  0.145534       0.524482E-002            NaN            NaN            NaN            NaN
  1314.29        500.000                 NaN   99.4840       0.222625       0.144653                 NaN  0.143940       0.478578E-002            NaN            NaN            NaN            NaN
  1313.28        500.000                 NaN   99.4872       0.222277       0.143108                 NaN  0.142983       0.445356E-002            NaN            NaN            NaN            NaN
  1312.28        500.000                 NaN   99.4912       0.141107       0.221987                 NaN  0.141675       0.399696E-002            NaN            NaN            NaN            NaN
  1311.27        500.000                 NaN   99.4952       0.139090       0.221671                 NaN  0.140405       0.358637E-002            NaN            NaN            NaN            NaN
  1310.27        500.000                 NaN   99.4991       0.137152       0.221336                 NaN  0.139216       0.322736E-002            NaN            NaN            NaN            NaN
  1309.27        500.000                 NaN   99.5027       0.135467       0.220871                 NaN  0.138121       0.287055E-002            NaN            NaN            NaN            NaN
  1308.26        500.000                 NaN   99.5064       0.220841       0.133411                 NaN  0.136927       0.244243E-002            NaN            NaN            NaN            NaN
  1307.26        500.000                 NaN   99.5099       0.131449       0.220697                 NaN  0.135865       0.207356E-002            NaN            NaN            NaN            NaN
  1306.25        500.000                 NaN   99.9808       0.843827E-002  0.724207E-003            NaN  0.903886E-002  0.956994E-003            NaN            NaN            NaN            NaN
  1305.25        500.000                 NaN   99.0508       0.433759       0.255128                 NaN  0.258883       0.146047E-002            NaN            NaN            NaN            NaN
  1304.25        500.000                 NaN   99.5202       0.125652       0.220760                 NaN  0.132573       0.814535E-003            NaN            NaN            NaN            NaN
  1303.24        500.000                 NaN   99.5242       0.123815       0.220154                 NaN  0.131361       0.503429E-003            NaN            NaN            NaN            NaN
  1302.24        500.000                 NaN   99.5273       0.121260       0.221001                 NaN  0.130372       0.292406E-004            NaN            NaN            NaN            NaN
  1301.23        500.000                 NaN   99.5305       0.120455       0.219636                 NaN  0.129428       0.264555E-005            NaN            NaN            NaN            NaN
  1300.23        500.000                 NaN   99.5326       0.121388       0.215315                 NaN  0.129222       0.148440E-002            NaN            NaN            NaN            NaN
  1299.22        500.000                 NaN   99.5850       0.106600       0.194000                 NaN  0.114351                 NaN            NaN            NaN            NaN            NaN
  1298.22        500.000                 NaN   99.4909       0.239675       0.129314                 NaN  0.140116                 NaN            NaN            NaN            NaN            NaN
  1297.22        500.000       0.224726E-003   99.9399       0.222860E-001  0.166196E-001  0.248498E-004  0.170978E-001  0.380392E-002            NaN            NaN            NaN            NaN
  1296.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1295.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1294.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1293.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1292.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
