|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1625.00        2500.00       0.156968E-001   99.1642       0.820085       0.460262E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00                 NaN   99.7340       0.101608       0.164408                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00                 NaN   98.1760        1.81725       0.674133E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00                 NaN   98.9658       0.929665       0.104566                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00                 NaN   98.9768       0.920458       0.102791                 NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   98.9892       0.910005       0.100842                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00                 NaN   98.9989       0.900760       0.100337                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.0029       0.897746       0.993525E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   98.9461       0.948552       0.105355                 NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00                 NaN   99.1036       0.808453       0.879382E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00                 NaN   99.0453       0.861004       0.937134E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00                 NaN   99.0476       0.859201       0.931962E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00                 NaN   99.0617       0.846093       0.922047E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN   99.0647       0.844407       0.909217E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00                 NaN   99.0822       0.828954       0.888509E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN   99.0868       0.824979       0.882560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00                 NaN   99.0337       0.873824       0.924785E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN   99.1672       0.753103       0.797083E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00                 NaN   98.8916       0.997025       0.111360                 NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00                 NaN   99.3394       0.605962       0.546447E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00                 NaN   99.1317       0.786930       0.813345E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.1365       0.782587       0.808786E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00                 NaN   99.1462       0.773584       0.802507E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.1572       0.766210       0.765632E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00                 NaN   99.1624       0.761192       0.764400E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.1407       0.780826       0.784383E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00                 NaN   99.2056       0.721189       0.732078E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00                 NaN   99.1842       0.742749       0.730961E-001            NaN            NaN            NaN            NaN            NaN            NaN
