|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1625.00        2500.00       0.101797E-001   99.2596       0.730227       0.401942E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00                 NaN   99.7660       0.904806E-001  0.143562                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00                 NaN   98.3750        1.61907       0.588892E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00                 NaN   99.0813       0.827417       0.912448E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00                 NaN   99.0914       0.818921       0.896357E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.1026       0.809475       0.879181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00                 NaN   99.1116       0.800998       0.874426E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.1153       0.798130       0.865401E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   99.0655       0.842784       0.916704E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00                 NaN   99.2050       0.718472       0.765694E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00                 NaN   99.1535       0.764949       0.815586E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00                 NaN   99.1558       0.763109       0.810777E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00                 NaN   99.1686       0.751227       0.801893E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN   99.1714       0.749547       0.790404E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00                 NaN   99.1871       0.735666       0.772096E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN   99.1914       0.731962       0.766650E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00                 NaN   99.1445       0.775158       0.802979E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN   99.2630       0.667792       0.691885E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00                 NaN   99.0196       0.883838       0.965482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00                 NaN   99.4157       0.536957       0.473758E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00                 NaN   99.2323       0.697219       0.705181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.2365       0.693357       0.701060E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00                 NaN   99.2453       0.685200       0.695389E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.2551       0.678599       0.663202E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00                 NaN   99.2601       0.673778       0.661620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.2413       0.690892       0.678362E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00                 NaN   99.2986       0.638024       0.633333E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00                 NaN   99.2799       0.656905       0.632067E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00                 NaN   99.2784       0.658712       0.629332E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00                 NaN   99.3011       0.638728       0.601514E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00                 NaN   99.2999       0.644818       0.552626E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.3034       0.632156       0.644709E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00                 NaN   99.3140       0.627749       0.582766E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.3171       0.626184       0.566921E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00                 NaN   99.3207       0.623480       0.557818E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00                 NaN   99.2547       0.680205       0.650771E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00                 NaN   99.4158       0.537235       0.469946E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN   99.3401       0.607064       0.527999E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00                 NaN   99.3443       0.604908       0.507452E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.1776       0.754484       0.679344E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00                 NaN   99.5340       0.431567       0.344743E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00                 NaN   99.3608       0.589567       0.496745E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00                 NaN   99.3656       0.585659       0.487471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN   99.3739       0.579750       0.463983E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00                 NaN   99.3791       0.573703       0.471846E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN   99.3816       0.573358       0.450012E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00                 NaN   99.3873       0.567559       0.451187E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.3910       0.565615       0.433734E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00                 NaN   99.3955       0.561852       0.426177E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN   99.3988       0.560048       0.411387E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.4071       0.551942       0.409575E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN   99.4084       0.552258       0.393844E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00                 NaN   99.4142       0.546451       0.393050E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN   99.4188       0.542015       0.392238E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00                 NaN   99.4206       0.542656       0.367660E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00                 NaN   99.4259       0.538635       0.354435E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00                 NaN   99.4300       0.519277       0.506974E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00                 NaN   99.4317       0.549903       0.183580E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00                 NaN   99.4370       0.529258       0.337451E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00                 NaN   99.4414       0.526153       0.324736E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00                 NaN   99.4439       0.524472       0.316744E-001            NaN            NaN            NaN            NaN            NaN            NaN
