|6.6.6
Archiving\03_Data\eqLP/QFM_m5/YM20/YM20_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        95.8969       0.374771        3.68855       0.397965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        95.8711       0.374799        3.71433       0.397994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        95.8453       0.374826        3.74011       0.398023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        95.7922       0.350104        3.77219       0.398059E-001  0.457255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        95.7171       0.305383        3.80935       0.398101E-001  0.128399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        95.6431       0.261374        3.84594       0.398143E-001  0.209756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        95.5692       0.217355        3.88253       0.398184E-001  0.291129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        95.4952       0.173328        3.91914       0.398226E-001  0.372520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        95.4212       0.129292        3.95575       0.398267E-001  0.453928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        95.3990       0.116295        3.96689       0.398280E-001  0.477955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.3769       0.103297        3.97804       0.398292E-001  0.501983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.2356       0.186665E-001   4.04747       0.398371E-001  0.658433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.1793                 NaN   4.08785       0.398416E-001  0.692990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.1549                 NaN   4.11223       0.398444E-001  0.693038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.1305                 NaN   4.13661       0.398471E-001  0.693086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.1060                 NaN   4.16100       0.398499E-001  0.693134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.0816                 NaN   4.18539       0.398527E-001  0.693182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.0576                 NaN   4.20929       0.398554E-001  0.693228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.0337                 NaN   4.23318       0.398581E-001  0.693275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.0097                 NaN   4.25708       0.398608E-001  0.693322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        94.9858                 NaN   4.28099       0.398635E-001  0.693369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        94.9618                 NaN   4.30489       0.398662E-001  0.693416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        94.9379                 NaN   4.32880       0.398689E-001  0.693463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        94.9139                 NaN   4.35272       0.398716E-001  0.693510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        94.8899                 NaN   4.37663       0.398743E-001  0.693557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.8666                 NaN   4.39989       0.398769E-001  0.693603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        94.8433                 NaN   4.42315       0.398795E-001  0.693649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        94.8200                 NaN   4.44641       0.398822E-001  0.693695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        94.7967                 NaN   4.46968       0.398848E-001  0.693740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        94.7734                 NaN   4.49295       0.398874E-001  0.693786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        94.7501                 NaN   4.51622       0.398900E-001  0.693832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        94.7267                 NaN   4.53950       0.398927E-001  0.693878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        94.7034                 NaN   4.56278       0.398953E-001  0.693923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.6806                 NaN   4.58558       0.398979E-001  0.693968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.6577                 NaN   4.60839       0.399005E-001  0.694013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        94.6348                 NaN   4.63120       0.399030E-001  0.694058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        94.6120                 NaN   4.65401       0.399056E-001  0.694103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        94.5893                 NaN   4.67660       0.399082E-001  0.694147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        93.9576                 NaN   4.67817       0.394460E-001  0.694150       0.630683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.3233                 NaN   4.67793       0.389726E-001  0.694149        1.26568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        92.6890                 NaN   4.67769       0.384991E-001  0.694148        1.90068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.0892                 NaN   4.67323       0.380248E-001  0.694138        2.50544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.4894                 NaN   4.66876       0.375505E-001  0.694129        3.11018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        90.8896                 NaN   4.66430       0.370762E-001  0.694120        3.71491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        90.2898                 NaN   4.65983       0.366019E-001  0.694110        4.31961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        89.6901                 NaN   4.65537       0.361276E-001  0.694101        4.92431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        89.0904                 NaN   4.65090       0.356534E-001  0.694092        5.52898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        88.4907                 NaN   4.64644       0.351791E-001  0.694083        6.13364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        87.8910                 NaN   4.64198       0.347049E-001  0.694073        6.73829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        87.3194                 NaN   4.63278       0.342213E-001  0.694055        7.31952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        86.7479                 NaN   4.62359       0.337378E-001  0.694036        7.90072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        86.1839                 NaN   4.61322       0.332544E-001  0.694015        8.47564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        85.6234                 NaN   4.60183       0.327701E-001  0.693992        9.04646       0.150365E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        85.0586                 NaN   4.58629       0.322789E-001  0.693961        9.60931       0.195645E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        84.4938                 NaN   4.57075       0.317877E-001  0.693930        10.1721       0.376238E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        83.9290                 NaN   4.55521       0.312965E-001  0.693899        10.7349       0.556814E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        83.3644                 NaN   4.53968       0.308054E-001  0.693868        11.2976       0.737375E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        82.8182                 NaN   4.51809       0.302970E-001  0.693825        11.8485       0.910480E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        82.2722                 NaN   4.49651       0.297887E-001  0.693782        12.3994       0.108356                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        81.7262                 NaN   4.47494       0.292804E-001  0.693739        12.9502       0.125663                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        81.1803                 NaN   4.45337       0.287722E-001  0.693696        13.5009       0.142967                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        80.6345                 NaN   4.43179       0.282641E-001  0.693653        14.0515       0.160269                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        80.0887                 NaN   4.41023       0.277561E-001  0.693610        14.6021       0.177568                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        79.5430                 NaN   4.38866       0.272481E-001  0.693566        15.1527       0.194866                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        78.9974                 NaN   4.36710       0.267401E-001  0.693523        15.7031       0.212161                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        78.4660                 NaN   4.33685       0.262020E-001  0.693463        16.2489       0.228576                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        77.9348                 NaN   4.30661       0.256639E-001  0.693403        16.7946       0.244988                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        77.4036                 NaN   4.27638       0.251259E-001  0.693343        17.3402       0.261396                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        76.8725                 NaN   4.24615       0.245880E-001  0.693283        17.8856       0.277802                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        76.3416                 NaN   4.21593       0.240502E-001  0.693223        18.4310       0.294206                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        75.8107                 NaN   4.18571       0.235126E-001  0.693163        18.9763       0.310606                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        75.2799                 NaN   4.15550       0.229750E-001  0.693103        19.5215       0.327003                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        74.7492                 NaN   4.12529       0.224374E-001  0.693043        20.0666       0.343398                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        74.2221                 NaN   4.08529       0.218595E-001  0.692964        20.6187       0.359070                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        73.6951                 NaN   4.04531       0.212817E-001  0.692884        21.1707       0.374738                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        73.1682                 NaN   4.00534       0.207040E-001  0.692805        21.7225       0.390402                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        72.6415                 NaN   3.96537       0.201265E-001  0.692726        22.2742       0.406063                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        72.1148                 NaN   3.92541       0.195490E-001  0.692647        22.8258       0.421721                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        71.5883                 NaN   3.88547       0.189718E-001  0.692567        23.3773       0.437375                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        71.0620                 NaN   3.84553       0.183946E-001  0.692488        23.9286       0.453025                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        70.5357                 NaN   3.80560       0.178176E-001  0.692409        24.4798       0.468671                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        70.0069                 NaN   3.75538       0.172001E-001  0.692310        25.0445       0.483631                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        69.4784                 NaN   3.70518       0.165828E-001  0.692210        25.6091       0.498586                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        68.9499                 NaN   3.65499       0.159657E-001  0.692111        26.1735       0.513536                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        68.4216                 NaN   3.60482       0.153487E-001  0.692012        26.7377       0.528483                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        67.8935                 NaN   3.55466       0.147320E-001  0.691912        27.3018       0.543425                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        67.3655                 NaN   3.50452       0.141154E-001  0.691813        27.8657       0.558363                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        66.8377                 NaN   3.45439       0.134989E-001  0.691714        28.4294       0.573296                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        66.3100                 NaN   3.40427       0.128827E-001  0.691614        28.9930       0.588225                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        65.7763                 NaN   3.34258       0.122210E-001  0.691492        29.5748       0.602665                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        65.2428                 NaN   3.28090       0.115595E-001  0.691370        30.1563       0.617100                 NaN            NaN            NaN            NaN            NaN            NaN
