|6.6.6
Archiving\03_Data\eqLP/QFM/TIS/TIS_3.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.1987       0.795740       0.560275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1986       0.795821       0.560280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1985       0.795903       0.560286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1984       0.795985       0.560292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1983       0.796067       0.560298E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1982       0.796148       0.560304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1982       0.796230       0.560310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1981       0.796312       0.560316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1980       0.796394       0.560322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1979       0.796476       0.560328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1978       0.796558       0.560335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1978       0.796639       0.560341E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1977       0.796721       0.560347E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1976       0.796803       0.560354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1975       0.796885       0.560361E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1974       0.796966       0.560367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1973       0.797048       0.560374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1973       0.797130       0.560381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1972       0.797212       0.560388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1971       0.797293       0.560395E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1970       0.797375       0.560402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1969       0.797457       0.560409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1969       0.797539       0.560417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1968       0.797620       0.560424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1529       0.797698                 NaN  0.493901E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1524       0.797780                 NaN  0.498368E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1519       0.797861                 NaN  0.502835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1513       0.797943                 NaN  0.507303E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1508       0.798025                 NaN  0.511772E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1503       0.798106                 NaN  0.516242E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1497       0.798188                 NaN  0.520713E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1492       0.798270                 NaN  0.525184E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1487       0.798352                 NaN  0.529656E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1481       0.798433                 NaN  0.534855E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1475       0.798515                 NaN  0.540056E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1469       0.798596                 NaN  0.545257E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1463       0.798678                 NaN  0.550459E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1457       0.798760                 NaN  0.555662E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1451       0.798841                 NaN  0.560866E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1445       0.798923                 NaN  0.566071E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1439       0.799005                 NaN  0.571276E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1431       0.799086                 NaN  0.577860E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1424       0.799168                 NaN  0.584444E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1416       0.799249                 NaN  0.591029E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1409       0.799331                 NaN  0.597616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1402       0.799412                 NaN  0.604204E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1394       0.799494                 NaN  0.610793E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1387       0.799575                 NaN  0.617383E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1379       0.799657                 NaN  0.623975E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1371       0.799738                 NaN  0.631876E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1362       0.799819                 NaN  0.639779E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1353       0.799900                 NaN  0.647684E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1345       0.799982                 NaN  0.655590E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1336       0.800063                 NaN  0.663497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1327       0.800144                 NaN  0.671406E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1318       0.800226                 NaN  0.679316E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1310       0.800307                 NaN  0.687228E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.1298       0.800388                 NaN  0.697991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.1287       0.800469                 NaN  0.708756E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.1275       0.800550                 NaN  0.719522E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.1263       0.800631                 NaN  0.730291E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.1252       0.800713                 NaN  0.741061E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.1240       0.800794                 NaN  0.751833E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.1229       0.800875                 NaN  0.762608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.1217       0.800956                 NaN  0.773384E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.1202       0.801037                 NaN  0.787316E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.1188       0.801118                 NaN  0.801250E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.1173       0.801199                 NaN  0.815187E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.1158       0.801280                 NaN  0.829126E-001            NaN            NaN            NaN            NaN            NaN            NaN
