|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            ne             lc            
  1631.41        2500.00        99.4842       0.478447       0.373452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0556       0.852891       0.915263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0778       0.847040       0.751656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0598       0.840903       0.992740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.1138       0.800273       0.858932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.1022       0.813326       0.845025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.1112       0.804809       0.839792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1206       0.795997       0.833644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.0969       0.819983       0.831517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1772       0.746281       0.764778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1544       0.767564       0.779941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1588       0.764446       0.767645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.1681       0.756692       0.752165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1728       0.752582       0.746393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1897       0.737106       0.731765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1914       0.734757       0.738166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.2067       0.721845       0.714982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.2075       0.722309       0.702227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2224       0.708529       0.690472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2261       0.706202       0.676593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.1824       0.746783       0.708360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2935       0.644742       0.617537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.2429       0.694566       0.625248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2606       0.677501       0.619330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.2641       0.673022       0.629131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.2679       0.671944       0.601653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.2806       0.658688       0.607174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
