|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/K22/K22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            ne             lc            
  1631.41        2500.00        99.4176       0.539431       0.430056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        98.9328       0.961747       0.105424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.9585       0.954946       0.865681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        98.9370       0.948624       0.114362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.9983       0.902750       0.989950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        98.9848       0.917741       0.974339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        98.9948       0.908361       0.968619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.0051       0.898704       0.961851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        98.9783       0.925744       0.959781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0687       0.843007       0.883312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.0426       0.867321       0.901048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.0473       0.863989       0.887235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.0576       0.855441       0.869662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.0625       0.851156       0.863460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.0815       0.833804       0.846730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.0831       0.831452       0.854353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.1001       0.817070       0.828282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.1009       0.817777       0.813570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.1175       0.802425       0.800370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.1216       0.799978       0.784316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.0718       0.846089       0.821493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.1975       0.730869       0.716613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.1403       0.787080       0.725809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.1599       0.768223       0.719088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.1633       0.763580       0.731071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.1677       0.762362       0.699288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.1818       0.747613       0.705944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1793       0.751366       0.692949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2007       0.732119       0.671687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.1988       0.735589       0.656184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.2098       0.723985       0.662097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.2107       0.724300       0.650048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
