|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.0204       0.979597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.0651       0.927043       0.789738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.0709       0.907064       0.220231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.0793       0.880372       0.402785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.0821       0.892029       0.258239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.0904       0.873580       0.343977E-001  0.160624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.1046       0.853216       0.376635E-001  0.453254E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        98.9526       0.641000       0.406372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.2822       0.717793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.1065       0.893486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.1136       0.886401       0.475910E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.1153       0.884705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.1196       0.880389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.1284       0.862567       0.899042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.1299       0.870085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.1024       0.696529                 NaN            NaN  0.201057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        98.9214                 NaN            NaN            NaN   1.07857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        98.9801                 NaN            NaN            NaN   1.01994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
