|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          an             San(TH)        San(TH)        ilm            q             
  1416.67        500.000       0.910725E-003   99.9683                 NaN  0.259259E-001            NaN            NaN  0.488977E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1415.63        500.000                 NaN   99.5708                 NaN  0.279923       0.130718                 NaN  0.503736E-002  0.135364E-001            NaN            NaN            NaN            NaN            NaN
  1414.58        500.000                 NaN   99.0116                 NaN  0.369634       0.374726                 NaN  0.279535E-001            NaN  0.216126                 NaN            NaN            NaN            NaN
  1413.54        500.000                 NaN   98.5723                 NaN  0.440941       0.523566                 NaN  0.485238E-001            NaN  0.414674                 NaN            NaN            NaN            NaN
  1412.49        500.000                 NaN   98.5684                 NaN  0.525755       0.441616                 NaN  0.483136E-001            NaN  0.415936                 NaN            NaN            NaN            NaN
  1411.45        500.000                 NaN   98.6536                 NaN  0.494986       0.415055                 NaN  0.452113E-001            NaN  0.391134                 NaN            NaN            NaN            NaN
  1410.40        500.000                 NaN   98.6458                 NaN  0.417266       0.498072                 NaN  0.452604E-001            NaN  0.393597                 NaN            NaN            NaN            NaN
  1409.36        500.000                 NaN   98.6731                 NaN  0.488846       0.408553                 NaN  0.441326E-001            NaN  0.385396                 NaN            NaN            NaN            NaN
  1408.32        500.000                 NaN   98.6237                 NaN  0.424573       0.506473                 NaN  0.456031E-001            NaN  0.399686                 NaN            NaN            NaN            NaN
  1407.27        500.000                 NaN   98.7883                 NaN  0.372402       0.447436                 NaN  0.398235E-001            NaN  0.352072                 NaN            NaN            NaN            NaN
  1406.23        500.000                 NaN   98.7301                 NaN  0.390173       0.468936                 NaN  0.416203E-001            NaN  0.369214                 NaN            NaN            NaN            NaN
  1405.18        500.000                 NaN   98.7679                 NaN  0.455819       0.378702                 NaN  0.399392E-001            NaN  0.357666                 NaN            NaN            NaN            NaN
