|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          an             San(TH)        San(TH)        ilm            q             
  1416.67        500.000       0.573050E-003   99.9760                 NaN  0.216173E-001            NaN            NaN  0.176117E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1415.63        500.000                 NaN   99.6461                 NaN  0.233416       0.107996                 NaN  0.181504E-002  0.106960E-001            NaN            NaN            NaN            NaN            NaN
  1414.58        500.000                 NaN   99.1560                 NaN  0.305371       0.312481                 NaN  0.100731E-001            NaN  0.216115                 NaN            NaN            NaN            NaN
  1413.54        500.000                 NaN   98.7681                 NaN  0.367552       0.432329                 NaN  0.174798E-001            NaN  0.414527                 NaN            NaN            NaN            NaN
  1412.49        500.000                 NaN   98.7657                 NaN  0.433684       0.367757                 NaN  0.173891E-001            NaN  0.415444                 NaN            NaN            NaN            NaN
  1411.45        500.000                 NaN   98.8402                 NaN  0.407870       0.345308                 NaN  0.162573E-001            NaN  0.390315                 NaN            NaN            NaN            NaN
  1410.40        500.000                 NaN   98.8344                 NaN  0.346846       0.410023                 NaN  0.162615E-001            NaN  0.392460                 NaN            NaN            NaN            NaN
  1409.36        500.000                 NaN   98.8589                 NaN  0.402036       0.339281                 NaN  0.158425E-001            NaN  0.383959                 NaN            NaN            NaN            NaN
  1408.32        500.000                 NaN   98.8173                 NaN  0.352300       0.416176                 NaN  0.163572E-001            NaN  0.397889                 NaN            NaN            NaN            NaN
  1407.27        500.000                 NaN   98.9597                 NaN  0.308669       0.367222                 NaN  0.142697E-001            NaN  0.350144                 NaN            NaN            NaN            NaN
  1406.23        500.000                 NaN   98.9105                 NaN  0.323148       0.384511                 NaN  0.149025E-001            NaN  0.366931                 NaN            NaN            NaN            NaN
  1405.18        500.000                 NaN   98.9438                 NaN  0.373389       0.313360                 NaN  0.142882E-001            NaN  0.355158                 NaN            NaN            NaN            NaN
  1404.14        500.000                 NaN   98.9087                 NaN  0.322866       0.386319                 NaN  0.146904E-001            NaN  0.367469                 NaN            NaN            NaN            NaN
  1403.09        500.000                 NaN   99.0197                 NaN  0.347414       0.289734                 NaN  0.131305E-001            NaN  0.330071                 NaN            NaN            NaN            NaN
  1402.05        500.000                 NaN   98.9883                 NaN  0.299008       0.358417                 NaN  0.135239E-001            NaN  0.340792                 NaN            NaN            NaN            NaN
  1401.01        500.000                 NaN   99.0091                 NaN  0.352187       0.292126                 NaN  0.130906E-001            NaN  0.333503                 NaN            NaN            NaN            NaN
  1399.96        500.000                 NaN   99.0241                 NaN  0.287537       0.347059                 NaN  0.128287E-001            NaN  0.328512                 NaN            NaN            NaN            NaN
  1398.92        500.000                 NaN   99.0395                 NaN  0.341879       0.282771                 NaN  0.125477E-001            NaN  0.323347                 NaN            NaN            NaN            NaN
  1397.87        500.000                 NaN   99.0550                 NaN  0.336815       0.277805                 NaN  0.122700E-001            NaN  0.318073                 NaN            NaN            NaN            NaN
  1396.83        500.000                 NaN   99.0701                 NaN  0.331724       0.273191                 NaN  0.119745E-001            NaN  0.312981                 NaN            NaN            NaN            NaN
  1395.78        500.000                 NaN   99.0848                 NaN  0.326954       0.268443                 NaN  0.117214E-001            NaN  0.308122                 NaN            NaN            NaN            NaN
  1394.74        500.000                 NaN   99.0992                 NaN  0.322200       0.264007                 NaN  0.114612E-001            NaN  0.303178                 NaN            NaN            NaN            NaN
  1393.70        500.000                 NaN   99.1126                 NaN  0.259739       0.317808                 NaN  0.112106E-001            NaN  0.298626                 NaN            NaN            NaN            NaN
  1392.65        500.000                 NaN   99.1273                 NaN  0.313048       0.255142                 NaN  0.109405E-001            NaN  0.293602                 NaN            NaN            NaN            NaN
  1391.61        500.000                 NaN   99.1401                 NaN  0.251050       0.308891                 NaN  0.107026E-001            NaN  0.289298                 NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   99.8111                 NaN  0.551998E-001  0.675596E-001            NaN  0.236046E-002            NaN  0.638076E-001            NaN            NaN            NaN            NaN
  1389.52        500.000                 NaN   98.5094                 NaN  0.536902       0.434335                 NaN  0.182136E-001            NaN  0.501193                 NaN            NaN            NaN            NaN
  1388.47        500.000                 NaN   99.1774                 NaN  0.296641       0.239283                 NaN  0.100133E-001            NaN  0.276685                 NaN            NaN            NaN            NaN
  1387.43        500.000                 NaN   99.1903                 NaN  0.292572       0.235153                 NaN  0.978772E-002            NaN  0.272208                 NaN            NaN            NaN            NaN
  1386.39        500.000                 NaN   99.2018                 NaN  0.288731       0.231592                 NaN  0.957156E-002            NaN  0.268323                 NaN            NaN            NaN            NaN
  1385.34        500.000                 NaN   99.2126                 NaN  0.228178       0.285260                 NaN  0.934707E-002            NaN  0.264613                 NaN            NaN            NaN            NaN
  1384.30        500.000                 NaN   99.2238                 NaN  0.224478       0.281613                 NaN  0.918237E-002            NaN  0.260910                 NaN            NaN            NaN            NaN
  1383.25        500.000                 NaN   99.2361                 NaN  0.220734       0.277669                 NaN  0.892605E-002            NaN  0.256589                 NaN            NaN            NaN            NaN
  1382.21        500.000                 NaN   99.2457                 NaN  0.217473       0.274680                 NaN  0.874954E-002            NaN  0.253385                 NaN            NaN            NaN            NaN
  1381.16        500.000                 NaN   99.2564                 NaN  0.271242       0.214108                 NaN  0.854811E-002            NaN  0.249685                 NaN            NaN            NaN            NaN
  1380.12        500.000                 NaN   99.2661                 NaN  0.267948       0.211102                 NaN  0.838628E-002            NaN  0.246415                 NaN            NaN            NaN            NaN
  1379.08        500.000                 NaN   99.1782                 NaN  0.236158       0.300556                 NaN  0.928252E-002            NaN  0.275802                 NaN            NaN            NaN            NaN
  1378.03        500.000                 NaN   99.3849                 NaN  0.176266       0.225544                 NaN  0.688083E-002            NaN  0.206371                 NaN            NaN            NaN            NaN
  1376.99        500.000                 NaN   99.2959                 NaN  0.201592       0.258518                 NaN  0.780983E-002            NaN  0.236188                 NaN            NaN            NaN            NaN
  1375.94        500.000                 NaN   99.3051                 NaN  0.255613       0.198609                 NaN  0.762791E-002            NaN  0.233066                 NaN            NaN            NaN            NaN
  1374.90        500.000                 NaN   99.3145                 NaN  0.252640       0.195629                 NaN  0.746340E-002            NaN  0.229813                 NaN            NaN            NaN            NaN
  1373.85        500.000                 NaN   99.3233                 NaN  0.192713       0.249890                 NaN  0.728945E-002            NaN  0.226798                 NaN            NaN            NaN            NaN
  1372.81        500.000                 NaN   99.3322                 NaN  0.189800       0.247108                 NaN  0.712038E-002            NaN  0.223736                 NaN            NaN            NaN            NaN
  1371.77        500.000                 NaN   99.3402                 NaN  0.244610       0.187195                 NaN  0.697383E-002            NaN  0.221026                 NaN            NaN            NaN            NaN
  1370.72        500.000                 NaN   99.3494                 NaN  0.241765       0.184259                 NaN  0.677518E-002            NaN  0.217814                 NaN            NaN            NaN            NaN
