|6.6.6
Archiving\03_Data\eq/QFM_m4.75/TAY13/TAY13_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.0418       0.445777        3.48850       0.238834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.0112       0.445816        3.51908       0.238855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        95.9806       0.445855        3.54967       0.238876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        95.9499       0.445893        3.58027       0.238896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        95.9193       0.445932        3.61087       0.238917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        95.8887       0.445971        3.64148       0.238938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        95.8580       0.446010        3.67209       0.238959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        95.8273       0.446049        3.70271       0.238980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        95.7967       0.446087        3.73333       0.239000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        95.7632       0.446130        3.76675       0.239023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        95.7297       0.446172        3.80018       0.239046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        95.6963       0.446214        3.83361       0.239068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        95.6628       0.446257        3.86705       0.239091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        95.6293       0.446299        3.90049       0.239114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        95.5958       0.446342        3.93394       0.239137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        95.5623       0.446384        3.96740       0.239159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        95.5288       0.446426        4.00086       0.239182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.4978       0.446466        4.03180       0.239203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.4668       0.446505        4.06274       0.239224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.4358       0.446544        4.09369       0.239245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.4049       0.446583        4.12464       0.239266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.3739       0.446622        4.15560       0.239287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        95.3428       0.446662        4.18656       0.239308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        95.3118       0.446701        4.21753       0.239329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.2808       0.446740        4.24851       0.239350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.2503       0.446779        4.27901       0.239371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        95.2197       0.446817        4.30952       0.239391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        95.1893       0.446856        4.33991       0.239412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        94.4478       0.446854        4.33898       0.231922E-001  0.743208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        92.3428       0.115922        4.42624       0.214395E-001   2.48221       0.611436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        91.1423                 NaN   4.45314       0.203391E-001   3.55857       0.825606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        90.4328                 NaN   4.44644       0.195813E-001   4.27554       0.825590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        89.7234                 NaN   4.43975       0.188235E-001   4.99248       0.825573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        89.0504                 NaN   4.42679       0.180550E-001   5.67925       0.825542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
