|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.256536E-001   95.0625        3.33437        1.57742                 NaN            NaN  0.210097E-005            NaN            NaN            NaN            NaN
  1425.21        2500.00       0.578585E-003   99.4959       0.693978E-002  0.405178                 NaN            NaN  0.914414E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.265587E-003   99.4793       0.163844       0.356560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.191248E-002   99.4821       0.164976       0.350266                 NaN            NaN  0.788021E-003            NaN            NaN            NaN            NaN
  1422.01        2500.00                 NaN   99.4780       0.359122       0.161870                 NaN            NaN  0.102902E-002            NaN            NaN            NaN            NaN
  1420.94        2500.00                 NaN   99.9402       0.418572E-001  0.178948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        2500.00                 NaN   99.0388       0.669876       0.276399                 NaN            NaN  0.149064E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.217397E-002   99.2202       0.548265       0.200169                 NaN            NaN  0.291717E-001            NaN            NaN            NaN            NaN
  1417.73        2500.00                 NaN   99.7690       0.163402       0.595993E-001            NaN            NaN  0.804172E-002            NaN            NaN            NaN            NaN
  1416.66        2500.00                 NaN   99.4959       0.358524       0.127026                 NaN            NaN  0.185498E-001            NaN            NaN            NaN            NaN
  1415.60        2500.00                 NaN   99.4558       0.133725       0.360471                 NaN            NaN  0.282219E-001  0.217524E-001            NaN            NaN            NaN
  1414.53        2500.00                 NaN   98.7727       0.236719       0.421498                 NaN            NaN  0.190537       0.378592                 NaN            NaN            NaN
  1413.46        2500.00                 NaN   98.7271       0.241845       0.438042                 NaN            NaN  0.200042       0.393016                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   97.3614       0.479452       0.249498E-001  0.900771       0.837432E-002  0.411725       0.813308                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.25        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.19        2500.00                 NaN   97.7588       0.413913       0.778003                 NaN            NaN  0.357631       0.691618                 NaN            NaN            NaN
  1408.12        2500.00                 NaN   98.9638       0.361790       0.185742                 NaN            NaN  0.168954       0.319677                 NaN            NaN            NaN
  1407.05        2500.00                 NaN   98.8649       0.199407       0.398043                 NaN            NaN  0.187113       0.350500                 NaN            NaN            NaN
  1405.98        2500.00                 NaN   98.8769       0.193384       0.395768                 NaN            NaN  0.187029       0.346969                 NaN            NaN            NaN
  1404.91        2500.00                 NaN   98.8888       0.189645       0.392408                 NaN            NaN  0.186012       0.343184                 NaN            NaN            NaN
  1403.84        2500.00                 NaN   98.8993       0.184269       0.390132                 NaN            NaN  0.186178       0.340111                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   98.9099       0.180043       0.388045                 NaN            NaN  0.185483       0.336487                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   98.9207       0.385726       0.175316                 NaN            NaN  0.184957       0.333269                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   98.9332       0.382680       0.170217                 NaN            NaN  0.184495       0.329444                 NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.9447       0.163652       0.379433                 NaN            NaN  0.185410       0.326768                 NaN            NaN            NaN
  1398.50        2500.00                 NaN   98.9560       0.375427       0.164352                 NaN            NaN  0.182270       0.321909                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.9604       0.155811       0.378137                 NaN            NaN  0.184249       0.321392                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   98.8889       0.168645       0.402362                 NaN            NaN  0.197399       0.342673                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   99.0744       0.337872       0.135713                 NaN            NaN  0.166306       0.285701                 NaN            NaN            NaN
