|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1397.44        500.000        99.9765       0.189073E-002            NaN            NaN  0.172796E-001            NaN  0.431410E-002            NaN            NaN            NaN
  1396.44        500.000        98.8888       0.476239       0.301919                 NaN  0.192425E-001            NaN  0.313820                 NaN            NaN            NaN
  1395.45        500.000        98.8770       0.361477       0.334165                 NaN  0.103212                 NaN  0.324099                 NaN            NaN            NaN
  1394.45        500.000        98.8932       0.355786       0.329661                 NaN  0.102150                 NaN  0.319220                 NaN            NaN            NaN
  1393.46        500.000        98.9041       0.353767       0.322852                 NaN  0.103126                 NaN  0.316181                 NaN            NaN            NaN
  1392.46        500.000        98.9149       0.350613       0.316834                 NaN  0.104248                 NaN  0.313367                 NaN            NaN            NaN
  1391.46        500.000        98.9270       0.347763       0.310275                 NaN  0.104828                 NaN  0.310145                 NaN            NaN            NaN
  1390.47        500.000        98.9388       0.344167       0.305606                 NaN  0.104796                 NaN  0.306676                 NaN            NaN            NaN
  1389.47        500.000        98.9014       0.357445       0.312334                 NaN  0.111020                 NaN  0.317757                 NaN            NaN            NaN
  1388.48        500.000        99.0098       0.322509       0.280058                 NaN  0.101193                 NaN  0.286473                 NaN            NaN            NaN
  1387.48        500.000        98.9709       0.336015       0.288473                 NaN  0.106828                 NaN  0.297784                 NaN            NaN            NaN
  1386.48        500.000        98.9810       0.283433       0.333263                 NaN  0.107300                 NaN  0.295029                 NaN            NaN            NaN
  1385.49        500.000        98.9905       0.277110       0.331401                 NaN  0.108586                 NaN  0.292424                 NaN            NaN            NaN
  1384.49        500.000        99.0020       0.273205       0.326828                 NaN  0.108787                 NaN  0.289215                 NaN            NaN            NaN
  1383.49        500.000        99.0143       0.324389       0.267295                 NaN  0.108398                 NaN  0.285583                 NaN            NaN            NaN
  1382.50        500.000        99.0233       0.262003       0.322088                 NaN  0.109366                 NaN  0.283273                 NaN            NaN            NaN
  1381.50        500.000        98.9306       0.285770       0.353261                 NaN  0.120443                 NaN  0.309961                 NaN            NaN            NaN
  1380.51        500.000        99.1401       0.284759       0.226787                 NaN  0.989372E-001            NaN  0.249381                 NaN            NaN            NaN
  1379.51        500.000        99.0496       0.315922       0.246822                 NaN  0.111583                 NaN  0.276050                 NaN            NaN            NaN
  1378.51        500.000        99.0618       0.311582       0.243513                 NaN  0.110698                 NaN  0.272371                 NaN            NaN            NaN
  1377.52        500.000        99.0663       0.239304       0.311043                 NaN  0.112006                 NaN  0.271305                 NaN            NaN            NaN
  1376.52        500.000        99.0827       0.232037       0.306690                 NaN  0.112086                 NaN  0.266495                 NaN            NaN            NaN
  1375.53        500.000        99.0875       0.229109       0.305547                 NaN  0.112636                 NaN  0.265258                 NaN            NaN            NaN
  1374.53        500.000        99.0964       0.303259       0.224428                 NaN  0.113131                 NaN  0.262739                 NaN            NaN            NaN
  1373.53        500.000        99.0448       0.321888       0.233615                 NaN  0.121763                 NaN  0.277922                 NaN            NaN            NaN
  1372.54        500.000        99.1734       0.278400       0.201985                 NaN  0.105842                 NaN  0.240402                 NaN            NaN            NaN
  1371.54        500.000        99.1217       0.211633       0.296732                 NaN  0.114319                 NaN  0.255646                 NaN            NaN            NaN
  1370.55        500.000        99.1298       0.294887       0.206826                 NaN  0.115038                 NaN  0.253466                 NaN            NaN            NaN
  1369.55        500.000        99.1381       0.292484       0.203599                 NaN  0.114904                 NaN  0.250903                 NaN            NaN            NaN
  1368.55        500.000        99.1454       0.290001       0.200401                 NaN  0.115274                 NaN  0.248880                 NaN            NaN            NaN
  1367.56        500.000        99.1540       0.288348       0.194494                 NaN  0.116413                 NaN  0.246706                 NaN            NaN            NaN
  1366.56        500.000        99.1618       0.191717       0.286322                 NaN  0.115888                 NaN  0.244244                 NaN            NaN            NaN
  1365.57        500.000        99.1690       0.188105       0.284542                 NaN  0.116258                 NaN  0.242115                 NaN            NaN            NaN
  1364.57        500.000        99.1760       0.183937       0.282912                 NaN  0.116913                 NaN  0.240243                 NaN            NaN            NaN
  1363.57        500.000        99.1839       0.280572       0.180717                 NaN  0.116921                 NaN  0.237934                 NaN            NaN            NaN
  1362.58        500.000        99.1909       0.177012       0.278883                 NaN  0.117274                 NaN  0.235976                 NaN            NaN            NaN
  1361.58        500.000        99.1978       0.277109       0.173583                 NaN  0.117467                 NaN  0.234011                 NaN            NaN            NaN
  1360.58        500.000        99.2049       0.275766       0.169486                 NaN  0.117906                 NaN  0.231930                 NaN            NaN            NaN
  1359.59        500.000        99.2127       0.273359       0.166300                 NaN  0.117947                 NaN  0.229667                 NaN            NaN            NaN
  1358.59        500.000        99.2171       0.165060       0.272062                 NaN  0.117443                 NaN  0.228385                 NaN            NaN            NaN
  1357.60        500.000        99.2271       0.158504       0.269665                 NaN  0.119111                 NaN  0.225611                 NaN            NaN            NaN
  1356.60        500.000        99.2327       0.268084       0.156961                 NaN  0.118389                 NaN  0.223913                 NaN            NaN            NaN
  1355.60        500.000        99.2390       0.266636       0.153905                 NaN  0.118480                 NaN  0.222012                 NaN            NaN            NaN
  1354.61        500.000        99.2439       0.264626       0.151545                 NaN  0.119094                 NaN  0.220877                 NaN            NaN            NaN
  1353.61        500.000        99.1820       0.158632       0.289809                 NaN  0.130862                 NaN  0.238680                 NaN            NaN            NaN
  1352.62        500.000        99.3296       0.130952       0.236353                 NaN  0.107463                 NaN  0.195584                 NaN            NaN            NaN
  1351.62        500.000        99.2641       0.259341       0.143428                 NaN  0.118485                 NaN  0.214653                 NaN            NaN            NaN
  1350.62        500.000        99.2675       0.259097       0.139373                 NaN  0.119798                 NaN  0.214257                 NaN            NaN            NaN
  1349.63        500.000        99.2803       0.254748       0.137586                 NaN  0.117878                 NaN  0.209521                 NaN            NaN            NaN
  1348.63        500.000        99.2830       0.256269       0.131098                 NaN  0.120289                 NaN  0.209319                 NaN            NaN            NaN
  1347.64        500.000        99.2885       0.131471       0.253427                 NaN  0.119059                 NaN  0.207567                 NaN            NaN            NaN
  1346.64        500.000        99.2928       0.123521       0.251744                 NaN  0.124035                 NaN  0.207950                 NaN            NaN            NaN
  1345.64        500.000        99.3027       0.250086       0.130759                 NaN  0.114467                 NaN  0.201978                 NaN            NaN            NaN
  1344.65        500.000        99.3044       0.124303       0.249436                 NaN  0.118966                 NaN  0.202884                 NaN            NaN            NaN
  1343.65        500.000        99.3120       0.247840       0.120537                 NaN  0.119033                 NaN  0.200625                 NaN            NaN            NaN
  1342.66        500.000        99.3157       0.119163       0.246743                 NaN  0.118917                 NaN  0.199477                 NaN            NaN            NaN
  1341.66        500.000        99.3225       0.244487       0.117367                 NaN  0.118237                 NaN  0.197388                 NaN            NaN            NaN
  1340.66        500.000        99.4974       0.180109       0.887868E-001            NaN  0.871179E-001            NaN  0.146603                 NaN            NaN            NaN
  1339.67        500.000        99.1619       0.305163       0.139998                 NaN  0.149095                 NaN  0.243796                 NaN            NaN            NaN
  1338.67        500.000        99.3374       0.240462       0.111520                 NaN  0.117717                 NaN  0.192895                 NaN            NaN            NaN
  1337.67        500.000        99.3435       0.108570       0.238830                 NaN  0.117931                 NaN  0.191141                 NaN            NaN            NaN
  1336.68        500.000        99.4959       0.184718       0.811319E-001            NaN  0.914279E-001            NaN  0.146844                 NaN            NaN            NaN
  1335.68        500.000        99.2043       0.131955       0.289693                 NaN  0.142878                 NaN  0.231168                 NaN            NaN            NaN
  1334.69        500.000        99.3580       0.103184       0.235116                 NaN  0.116988                 NaN  0.186757                 NaN            NaN            NaN
